
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[03:43:40.300 --> 03:43:43.280]   that you want variety, you
[03:43:43.280 --> 03:43:45.920]   want freedom for people to
[03:43:45.920 --> 03:43:49.140]   choose the best thing and in
[03:43:49.140 --> 03:43:51.060]   so doing create this large
[03:43:51.060 --> 03:43:53.300]   network of humans interacting
[03:43:53.300 --> 03:43:54.440]   freely with each other.
[03:43:54.440 --> 03:43:55.040]   Okay.
[03:43:55.040 --> 03:43:57.160]   That said, one of the
[03:43:57.160 --> 03:43:59.440]   competitive pressures that
[03:43:59.440 --> 03:44:01.160]   Epic has created a few years
[03:44:01.160 --> 03:44:03.040]   ago was by launching the
[03:44:03.040 --> 03:44:03.800]   Epic Game Store.
[03:44:03.800 --> 03:44:06.860]   And instead of Steam's 30%
[03:44:06.860 --> 03:44:09.960]   revenue cut, you went with 12%
[03:44:09.960 --> 03:44:12.220]   revenue cut, creating the
[03:44:12.220 --> 03:44:13.780]   competitive pressure saying,
[03:44:13.780 --> 03:44:16.120]   you know, listen, this
[03:44:16.120 --> 03:44:18.240]   shouldn't be that high of a
[03:44:18.240 --> 03:44:18.560]   cut.
[03:44:18.560 --> 03:44:21.240]   And, uh, which I thought was
[03:44:21.240 --> 03:44:22.000]   like amazing.
[03:44:22.000 --> 03:44:23.800]   This is, this is a brilliant
[03:44:23.800 --> 03:44:24.120]   idea.
[03:44:24.120 --> 03:44:25.140]   And I think it still is a
[03:44:25.140 --> 03:44:25.680]   brilliant idea.
[03:44:25.680 --> 03:44:26.160]   It's wonderful.
[03:44:26.160 --> 03:44:27.900]   Now in preparing for this
[03:44:27.900 --> 03:44:28.920]   conversation, I looked on the
[03:44:28.920 --> 03:44:30.260]   internet and I saw there's a
[03:44:30.260 --> 03:44:33.760]   lot of criticism of, uh, EGS,
[03:44:33.760 --> 03:44:34.920]   Epic Game Store.
[03:44:35.400 --> 03:44:36.780]   Uh, first of all, I should
[03:44:36.780 --> 03:44:41.560]   say the internet is full of
[03:44:41.560 --> 03:44:42.600]   drama and criticism.
[03:44:42.600 --> 03:44:44.740]   Like there's not enough
[03:44:44.740 --> 03:44:46.360]   celebrating of awesome shit
[03:44:46.360 --> 03:44:48.140]   that let's get, if I can ask
[03:44:48.140 --> 03:44:50.240]   the internet as a blob, one
[03:44:50.240 --> 03:44:51.520]   request, can we just celebrate
[03:44:51.520 --> 03:44:53.820]   awesome shit and also
[03:44:53.820 --> 03:44:55.080]   criticize, but just like, there's
[03:44:55.080 --> 03:44:56.200]   not enough celebration.
[03:44:56.200 --> 03:44:58.800]   Anyway, the, the two, uh,
[03:44:58.800 --> 03:45:02.000]   directions of criticism is just
[03:45:02.700 --> 03:45:03.740]   straight up to launch your
[03:45:03.740 --> 03:45:05.480]   interface is clunky and lacks a
[03:45:05.480 --> 03:45:06.640]   lot of the features of steam.
[03:45:06.640 --> 03:45:09.980]   And then the second, uh, set of
[03:45:09.980 --> 03:45:12.300]   criticism is, uh, the
[03:45:12.300 --> 03:45:16.700]   exclusive contracts, which, uh,
[03:45:16.700 --> 03:45:18.520]   were made with some of the games
[03:45:18.520 --> 03:45:21.520]   that are on Epic Game Store.
[03:45:21.520 --> 03:45:24.760]   So first huge props on the 12%.
[03:45:24.760 --> 03:45:26.160]   Maybe you could speak to the
[03:45:26.160 --> 03:45:26.760]   vision of that.
[03:45:26.760 --> 03:45:29.660]   And second, can you comment on
[03:45:29.660 --> 03:45:30.480]   those two criticisms?
[03:45:30.480 --> 03:45:31.740]   Uh, sure.
[03:45:31.880 --> 03:45:34.540]   Yeah, uh, I think, yeah, one of
[03:45:34.540 --> 03:45:35.500]   the reasons that people
[03:45:35.500 --> 03:45:37.360]   characterize the Epic Games
[03:45:37.360 --> 03:45:39.280]   launcher as clunky is because
[03:45:39.280 --> 03:45:40.720]   like the Epic Games launcher is
[03:45:40.720 --> 03:45:41.000]   clunky.
[03:45:41.000 --> 03:45:43.540]   Um, and, uh, we need to improve
[03:45:43.540 --> 03:45:43.840]   this.
[03:45:43.840 --> 03:45:45.860]   Um, you know, there's a lot of
[03:45:45.860 --> 03:45:47.760]   work going on there and, um,
[03:45:47.760 --> 03:45:50.020]   you know, I, I wish we'd gotten
[03:45:50.020 --> 03:45:51.960]   better at addressing quality of
[03:45:51.960 --> 03:45:53.740]   life features, uh, and prioritize
[03:45:53.740 --> 03:45:55.560]   them above, uh, all of the other
[03:45:55.560 --> 03:45:57.420]   features, you know, because steam
[03:45:57.420 --> 03:46:00.320]   has 15 years of built up work by
[03:46:00.320 --> 03:46:01.700]   many of the best programmers in
[03:46:01.700 --> 03:46:02.780]   the whole industry working on
[03:46:02.780 --> 03:46:05.160]   that much larger team, uh, working
[03:46:05.160 --> 03:46:07.600]   on steam and, uh, a lot more
[03:46:07.600 --> 03:46:08.660]   time working on it.
[03:46:08.660 --> 03:46:10.120]   And so, uh, we've had to make a
[03:46:10.120 --> 03:46:11.400]   lot of prioritization decisions
[03:46:11.400 --> 03:46:12.740]   about what do we support with the
[03:46:12.740 --> 03:46:15.280]   Epic Game Store and when, um, a
[03:46:15.280 --> 03:46:16.000]   lot of the time it's been
[03:46:16.000 --> 03:46:17.120]   supporting, uh, commercial
[03:46:17.120 --> 03:46:18.500]   features like merchandising,
[03:46:18.500 --> 03:46:20.020]   offering multiple versions of a
[03:46:20.020 --> 03:46:21.160]   game for sale and offering
[03:46:21.160 --> 03:46:22.460]   upgrades from the regular
[03:46:22.460 --> 03:46:23.940]   edition, the deluxe edition and
[03:46:23.940 --> 03:46:25.180]   other things that partners work.
[03:46:25.180 --> 03:46:27.080]   And, you know, other priorities
[03:46:27.080 --> 03:46:28.500]   have been quality of life and
[03:46:28.500 --> 03:46:29.800]   launch or load times and other
[03:46:29.800 --> 03:46:31.460]   things and we've not put enough
[03:46:31.460 --> 03:46:33.520]   emphasis on the quality of life
[03:46:33.520 --> 03:46:33.940]   features.
[03:46:33.940 --> 03:46:35.620]   Uh, we've recognized this very
[03:46:35.620 --> 03:46:37.380]   clearly multiple times and we've
[03:46:37.380 --> 03:46:38.760]   gone through multiple refactorings,
[03:46:38.760 --> 03:46:40.220]   but, you know, that, that's
[03:46:40.220 --> 03:46:41.560]   definitely been a disappointment to
[03:46:41.560 --> 03:46:43.040]   us and to a lot of users.
[03:46:43.040 --> 03:46:45.940]   Um, and I think one thing we had to,
[03:46:45.940 --> 03:46:47.260]   it took us a while to realize was
[03:46:47.260 --> 03:46:49.800]   it's, it's non-uniform, um,
[03:46:49.800 --> 03:46:52.440]   depending on your proximity to a CDN
[03:46:52.440 --> 03:46:53.400]   and the size of your game
[03:46:53.400 --> 03:46:55.280]   collection, um, it can be either
[03:46:55.280 --> 03:46:56.840]   awesome or really clunky.
[03:46:56.840 --> 03:46:59.640]   Um, and the users for whom it's
[03:46:59.640 --> 03:47:01.660]   really clunky, uh, are the people
[03:47:01.660 --> 03:47:04.180]   like, I think they're a large part
[03:47:04.180 --> 03:47:05.140]   of the complaints.
[03:47:05.140 --> 03:47:06.180]   They're going to speak up.
[03:47:06.180 --> 03:47:07.680]   And I should also say that the
[03:47:07.680 --> 03:47:10.280]   steam launcher for a long time
[03:47:10.280 --> 03:47:11.940]   from my memory, but also just
[03:47:11.940 --> 03:47:13.500]   looking online was also very
[03:47:13.500 --> 03:47:14.640]   clunky in the beginning.
[03:47:14.640 --> 03:47:15.280]   Yeah.
[03:47:15.280 --> 03:47:17.340]   And you know, one of the, the
[03:47:17.340 --> 03:47:19.140]   criticisms of Epic game store
[03:47:19.140 --> 03:47:20.240]   from the beginning was you don't
[03:47:20.240 --> 03:47:21.460]   have all of the features of steam,
[03:47:21.460 --> 03:47:22.940]   but we very much don't want to have
[03:47:22.940 --> 03:47:24.060]   all of the features of steam.
[03:47:24.060 --> 03:47:25.840]   Like steam has forums to get to
[03:47:25.840 --> 03:47:26.280]   your game.
[03:47:26.280 --> 03:47:27.720]   And like, we decided we don't want
[03:47:27.720 --> 03:47:29.340]   to create forums and our partners,
[03:47:29.340 --> 03:47:30.420]   when we talked to them generally
[03:47:30.420 --> 03:47:31.600]   didn't want us to create Epic
[03:47:31.600 --> 03:47:33.020]   game store forums for their games
[03:47:33.020 --> 03:47:34.780]   because there's already, you know,
[03:47:34.780 --> 03:47:36.220]   channels that they prefer to them.
[03:47:36.220 --> 03:47:37.840]   Um, there's social media and a
[03:47:37.840 --> 03:47:39.160]   number of platforms and there's
[03:47:39.160 --> 03:47:40.560]   Reddit and there's lots of places
[03:47:40.560 --> 03:47:42.480]   for gamers to, to discuss their
[03:47:42.480 --> 03:47:44.080]   game and they prefer those
[03:47:44.080 --> 03:47:45.160]   discussions to be there.
[03:47:45.160 --> 03:47:47.100]   And so it's very much not our goal
[03:47:47.100 --> 03:47:48.460]   to mimic everything of steam.
[03:47:48.460 --> 03:47:50.620]   Um, but we do want to have all
[03:47:50.620 --> 03:47:51.960]   of the convenience features that
[03:47:51.960 --> 03:47:54.280]   makes it as easy and fun to use
[03:47:54.280 --> 03:47:54.740]   as steam.
[03:47:54.740 --> 03:47:56.260]   So there's a long journey ahead,
[03:47:56.260 --> 03:47:57.880]   but, you know, we continue to
[03:47:57.880 --> 03:47:59.700]   reinvest and, you know, we're
[03:47:59.700 --> 03:48:00.940]   working to build a multi-billion
[03:48:00.940 --> 03:48:02.160]   dollar business there and think
[03:48:02.160 --> 03:48:03.120]   we'll succeed.
[03:48:03.120 --> 03:48:05.940]   Um, already at the Epic game store,
[03:48:05.940 --> 03:48:09.440]   uh, supports an immense amount of
[03:48:09.440 --> 03:48:10.980]   Epic games, commerce and fortnight
[03:48:10.980 --> 03:48:13.660]   on PC, um, now on Android and iOS
[03:48:13.660 --> 03:48:14.880]   and the European union too.
[03:48:14.880 --> 03:48:17.200]   Um, so it's a forever facet of the
[03:48:17.200 --> 03:48:18.800]   industry and we are never losing
[03:48:18.800 --> 03:48:19.440]   heart in it.
[03:48:19.800 --> 03:48:21.460]   Um, and when you think at some
[03:48:21.460 --> 03:48:22.580]   point, you know, I really feel
[03:48:22.580 --> 03:48:24.680]   that the benefits of the Epic games
[03:48:24.680 --> 03:48:26.740]   approach are going to outweigh the
[03:48:26.740 --> 03:48:27.960]   benefits of the steam approach,
[03:48:27.960 --> 03:48:29.100]   especially as gaming becomes
[03:48:29.100 --> 03:48:29.940]   multi-platform.
[03:48:29.940 --> 03:48:32.100]   One of the things that really sucks
[03:48:32.100 --> 03:48:34.760]   for all gamers is that, you know,
[03:48:34.760 --> 03:48:36.640]   you have a lot of friends in the
[03:48:36.640 --> 03:48:37.140]   real world.
[03:48:37.140 --> 03:48:38.620]   Some have, everyone has different
[03:48:38.620 --> 03:48:39.180]   platforms.
[03:48:39.180 --> 03:48:41.460]   Your steam friends aren't connected
[03:48:41.460 --> 03:48:43.000]   to your Xbox friends and they're
[03:48:43.000 --> 03:48:43.960]   not connected to your PlayStation
[03:48:43.960 --> 03:48:45.580]   friends, your Nintendo friends.
[03:48:45.580 --> 03:48:48.040]   And so you're very much bottling up
[03:48:48.040 --> 03:48:50.280]   PC gaming into, uh, kind of a hard
[03:48:50.280 --> 03:48:52.100]   core group of PC only folks and
[03:48:52.100 --> 03:48:53.560]   making all of the other aspects of
[03:48:53.560 --> 03:48:54.480]   it difficult.
[03:48:54.480 --> 03:48:55.620]   You know, a lot of games have
[03:48:55.620 --> 03:48:57.840]   flocked towards discord, which is a
[03:48:57.840 --> 03:48:58.460]   mess in itself.
[03:48:58.460 --> 03:48:59.860]   Cause now your steam name is not your
[03:48:59.860 --> 03:49:00.960]   discord name and that's not your
[03:49:00.960 --> 03:49:01.700]   PlayStation name.
[03:49:01.700 --> 03:49:03.140]   And so now you have three, two people
[03:49:03.140 --> 03:49:04.740]   in a game and they have four different
[03:49:04.740 --> 03:49:06.320]   identities and that sucks.
[03:49:06.320 --> 03:49:09.700]   Um, you know, our aim for that is, uh,
[03:49:09.700 --> 03:49:11.460]   you know, with Epic online services and
[03:49:11.460 --> 03:49:13.360]   the social systems that we built, uh, for
[03:49:13.360 --> 03:49:15.680]   Fortnite opened up to all developers to
[03:49:15.680 --> 03:49:17.720]   have cross cat platform, social
[03:49:17.720 --> 03:49:19.740]   features be super easy and free for
[03:49:19.740 --> 03:49:20.260]   all developers.
[03:49:20.260 --> 03:49:21.780]   This is not something we're trying to
[03:49:21.780 --> 03:49:24.960]   gatekeep or rent seek on, um, or lock
[03:49:24.960 --> 03:49:25.560]   people into.
[03:49:25.560 --> 03:49:27.920]   It's just a way that we're making social
[03:49:27.920 --> 03:49:29.300]   gaming easier for everybody.
[03:49:29.300 --> 03:49:31.320]   As more and more games follow the
[03:49:31.320 --> 03:49:32.520]   Fortnite approach of being multi
[03:49:32.520 --> 03:49:34.380]   platform, especially multiplayer games,
[03:49:34.380 --> 03:49:36.920]   you know, Metcalf's law is a very real
[03:49:36.920 --> 03:49:38.060]   phenomena in the industry.
[03:49:38.060 --> 03:49:40.540]   It's the thing that's upending some
[03:49:40.540 --> 03:49:42.580]   games and causing growth in other
[03:49:42.580 --> 03:49:42.940]   games.
[03:49:42.940 --> 03:49:44.940]   Um, it is the number one trend for
[03:49:44.940 --> 03:49:46.580]   pervading the world of gaming today.
[03:49:46.580 --> 03:49:49.060]   And it says that, you know, your game
[03:49:49.060 --> 03:49:51.420]   is quadratically more valuable, the
[03:49:51.420 --> 03:49:53.580]   more percentage of a user's real world
[03:49:53.580 --> 03:49:54.780]   friends they can connect to.
[03:49:54.780 --> 03:49:58.500]   Um, your game vastly benefits by
[03:49:58.500 --> 03:50:00.120]   connecting all of its players together
[03:50:00.120 --> 03:50:01.680]   and not, you know, segregating them
[03:50:01.680 --> 03:50:03.400]   off into different online platform
[03:50:03.400 --> 03:50:04.680]   populations and so on.
[03:50:04.680 --> 03:50:06.300]   And so, you know, I think the future
[03:50:06.300 --> 03:50:07.440]   trend is in that direction.
[03:50:07.440 --> 03:50:10.220]   I wish Velvet opened up Steamworks to
[03:50:10.220 --> 03:50:11.280]   just work on all platforms.
[03:50:11.400 --> 03:50:12.380]   They could have easily done it.
[03:50:12.380 --> 03:50:13.840]   Um, we did it.
[03:50:13.840 --> 03:50:16.000]   Um, but you know, they seem to be using
[03:50:16.000 --> 03:50:17.880]   it as a lever to keep people locked into
[03:50:17.880 --> 03:50:19.240]   the Steam PC game store.
[03:50:19.240 --> 03:50:23.260]   Um, and you know, there's, you know,
[03:50:23.260 --> 03:50:24.660]   that's going to be a long term, long
[03:50:24.660 --> 03:50:26.300]   running battle because there's always a
[03:50:26.300 --> 03:50:28.540]   very toxic group of Steam users who like
[03:50:28.540 --> 03:50:30.040]   they even created an entire subreddit
[03:50:30.040 --> 03:50:32.060]   dedicated to criticizing Epic in our store.
[03:50:32.760 --> 03:50:34.420]   Um, and they create, you know, basically
[03:50:34.420 --> 03:50:38.020]   harassment campaigns at times, uh, against, uh,
[03:50:38.020 --> 03:50:39.780]   developers who use Epic online services.
[03:50:39.780 --> 03:50:42.940]   Uh, you know, developers do that so they can
[03:50:42.940 --> 03:50:44.700]   connect their players across platforms and
[03:50:44.700 --> 03:50:46.740]   have friends across platforms and voices across
[03:50:46.740 --> 03:50:47.360]   platforms.
[03:50:47.360 --> 03:50:50.800]   So, you know, uh, suddenly that's, uh, that's
[03:50:50.800 --> 03:50:52.240]   trying to be turned into a negative.
[03:50:52.240 --> 03:50:56.440]   It's clear that Epic wants developers to win,
[03:50:56.440 --> 03:51:02.480]   wants gamers to win, and wants Steam to do awesome
[03:51:02.480 --> 03:51:03.100]   also.
[03:51:03.320 --> 03:51:07.240]   and in the competition between Steam and Epic
[03:51:07.240 --> 03:51:11.280]   Game Store, like, uh, create awesome stuff
[03:51:11.280 --> 03:51:11.740]   together.
[03:51:11.740 --> 03:51:13.660]   I mean, there's just, it's like, it's obvious
[03:51:13.660 --> 03:51:16.260]   to me if you don't read this stuff online, but
[03:51:16.260 --> 03:51:20.360]   online, it's like, there, there is this just
[03:51:20.360 --> 03:51:23.440]   negativity that I don't think is constructive, uh,
[03:51:23.440 --> 03:51:23.980]   in general.
[03:51:23.980 --> 03:51:28.620]   And I should give a big sort of, uh, positive
[03:51:28.620 --> 03:51:32.700]   thank you and props for the push to
[03:51:32.700 --> 03:51:35.840]   multi-platform that was always there with, for
[03:51:35.840 --> 03:51:40.020]   Fortnite, uh, perhaps before the pressure that
[03:51:40.020 --> 03:51:43.500]   Epic created on breaking the barriers of Xbox and
[03:51:43.500 --> 03:51:47.840]   PlayStation and PC and being multi-platform.
[03:51:47.840 --> 03:51:50.140]   Like I got a chance to play with Fortnite a
[03:51:50.140 --> 03:51:52.340]   little bit with you and all the people in the
[03:51:52.340 --> 03:51:55.040]   group, by the way, awesome interface, audio
[03:51:55.040 --> 03:51:58.140]   chat, really fun, but you could see like a
[03:51:58.140 --> 03:52:00.500]   couple of PC folks, a PlayStation person, Xbox
[03:52:00.500 --> 03:52:01.700]   person, all together.
[03:52:02.080 --> 03:52:04.740]   You can't really tell what they're using except for a
[03:52:04.740 --> 03:52:05.220]   little icon.
[03:52:05.220 --> 03:52:06.760]   And it's, it's nice.
[03:52:06.760 --> 03:52:09.600]   It's like all those barriers that we've created with
[03:52:09.600 --> 03:52:11.900]   these platforms are gone.
[03:52:11.900 --> 03:52:15.720]   And you creating the pressure with, uh, with Epic Game
[03:52:15.720 --> 03:52:18.100]   Store and just everything you're doing with this, with
[03:52:18.100 --> 03:52:19.060]   Fortnite platform.
[03:52:19.060 --> 03:52:21.100]   Uh, it's really nice.
[03:52:21.100 --> 03:52:23.560]   There's no reason to create these silos because
[03:52:23.560 --> 03:52:27.660]   ultimately you should put the gamer first and, uh, let
[03:52:27.660 --> 03:52:31.560]   everybody interact, uh, with, with, with actual real
[03:52:31.560 --> 03:52:33.640]   life friends and make new friends across the entire
[03:52:33.640 --> 03:52:34.520]   network of humans.
[03:52:34.520 --> 03:52:36.440]   So anyway, thank you for that.
[03:52:36.440 --> 03:52:37.840]   Thank you for creating that pressure.
[03:52:37.840 --> 03:52:38.840]   Thanks.
[03:52:38.840 --> 03:52:39.360]   Yeah.
[03:52:39.360 --> 03:52:40.880]   That was an interesting time.
[03:52:40.880 --> 03:52:43.140]   Uh, Sony had her long running policy preventing
[03:52:43.140 --> 03:52:44.240]   cross-platform play.
[03:52:44.240 --> 03:52:49.140]   Uh, and we had a long series of conversations, which, uh,
[03:52:49.180 --> 03:52:51.080]   got pretty harsh towards the end.
[03:52:51.080 --> 03:52:54.560]   Um, but so many, Sony ultimately came around and they
[03:52:54.560 --> 03:52:57.760]   opened up PlayStation and, you know, through a series of
[03:52:57.760 --> 03:52:59.520]   private conversations, they did the right thing.
[03:52:59.520 --> 03:53:01.840]   Um, and not only that, our partnership with Sony has
[03:53:01.840 --> 03:53:05.000]   increased, uh, you know, since that argument back in
[03:53:05.000 --> 03:53:05.460]   2018.
[03:53:05.460 --> 03:53:08.380]   And, uh, we've gotten closer and closer and done ever more
[03:53:08.380 --> 03:53:12.040]   things with, you know, Sony, you know, brand IP, like the
[03:53:12.040 --> 03:53:14.520]   characters and God of war and other games coming into
[03:53:14.520 --> 03:53:17.960]   fortnight, um, and, you know, all kinds of crossovers, massive
[03:53:17.960 --> 03:53:21.200]   unreal engine adoption and Sony for making games for making
[03:53:21.200 --> 03:53:24.320]   movies at Sony pictures, music partnerships with Sony music.
[03:53:24.320 --> 03:53:27.740]   Um, that's been an absolutely wonderful relationship.
[03:53:27.740 --> 03:53:32.240]   I think that stands as a, an awesome example of, uh, a company
[03:53:32.240 --> 03:53:35.740]   that, you know, because of historic reasons got, uh, you know,
[03:53:35.740 --> 03:53:38.300]   stuck with a policy that no longer made sense for the future.
[03:53:38.300 --> 03:53:41.940]   And, um, you know, following a serious discussion with a close
[03:53:41.940 --> 03:53:44.320]   partner, right at it and did an awesome thing.
[03:53:44.320 --> 03:53:46.860]   And now Sony is much better off and Epic's better off and all
[03:53:46.860 --> 03:53:48.020]   game developers are better off.
[03:53:48.020 --> 03:53:50.800]   And the whole constant industry, I think it's a lot stronger
[03:53:50.800 --> 03:53:53.540]   now than it would have been if, you know, these silos had
[03:53:53.540 --> 03:53:54.600]   continued to be playing out.
[03:53:54.600 --> 03:54:00.020]   And despite the kind of potential concern that like maybe blocking
[03:54:00.020 --> 03:54:03.060]   platform play with, uh, Xbox gave Sony advantage, you know,
[03:54:03.060 --> 03:54:06.020]   Sony has actually grown, uh, in market share relative, uh, to
[03:54:06.020 --> 03:54:07.300]   Xbox since that time.
[03:54:07.300 --> 03:54:10.580]   And so you can't say that anything but good goodness came of that,
[03:54:10.580 --> 03:54:11.660]   that time.
[03:54:11.660 --> 03:54:14.120]   And I think a better version of Apple, uh, would have
[03:54:14.120 --> 03:54:19.720]   received, uh, the email I sent, uh, to senior Apple management and been
[03:54:19.720 --> 03:54:21.400]   like, huh, there's an issue here.
[03:54:21.400 --> 03:54:22.320]   We should have a discussion.
[03:54:22.320 --> 03:54:23.540]   We should reconsider this.
[03:54:23.540 --> 03:54:24.220]   We should listen.
[03:54:24.220 --> 03:54:25.860]   And, you know, they didn't.
[03:54:25.860 --> 03:54:29.600]   And that's why, uh, we're in the midst of a, a five-year battle with
[03:54:29.600 --> 03:54:29.900]   Apple.
[03:54:30.040 --> 03:54:36.640]   And in, you know, the, uh, hopefully, uh, still the early days of a 15-plus
[03:54:36.640 --> 03:54:37.700]   year partnership with Sony.
[03:54:37.700 --> 03:54:38.860]   Come on, Apple.
[03:54:38.860 --> 03:54:40.140]   We love you, Apple.
[03:54:40.140 --> 03:54:41.560]   Do a little bit better.
[03:54:41.560 --> 03:54:46.620]   The second line of criticism that I mentioned, the exclusive contracts with
[03:54:46.620 --> 03:54:47.480]   some of the games.
[03:54:47.480 --> 03:54:49.320]   Uh, can you just speak to that?
[03:54:49.380 --> 03:54:52.780]   Because in so much of the journey of Epic, you've been sort of against
[03:54:52.780 --> 03:54:53.520]   exclusivity.
[03:54:53.520 --> 03:54:56.540]   Let's back up and talk about the principles at work here.
[03:54:56.540 --> 03:55:02.980]   Uh, uh, Apple, Apple forcing other companies to use their payment service is a
[03:55:02.980 --> 03:55:04.740]   cursive decision by Apple.
[03:55:06.740 --> 03:55:14.140]   But if Apple convinced other developers to use their payment service by offering
[03:55:14.140 --> 03:55:18.880]   benefits or a better deal, uh, or funding or any other positive incentive, then that
[03:55:18.880 --> 03:55:19.940]   would be perfectly fine.
[03:55:19.940 --> 03:55:25.240]   One is preventing competition and the other is actual competition.
[03:55:25.240 --> 03:55:31.080]   Um, Epic has never forced any developer into any sort of exclusivity relationship.
[03:55:31.080 --> 03:55:36.520]   Rather, we've offered developers, uh, payment, um, or incentives or marketing or
[03:55:36.520 --> 03:55:40.160]   any number of things of value to them, um, in exchange for coming to our store
[03:55:40.160 --> 03:55:40.720]   exclusively.
[03:55:40.720 --> 03:55:42.640]   And it's their game.
[03:55:42.640 --> 03:55:50.640]   Uh, so it's entirely and rightfully up to them to decide how to distribute it, um, and
[03:55:50.640 --> 03:55:52.320]   to make the decisions about their business.
[03:55:52.320 --> 03:55:53.100]   It's their game.
[03:55:53.100 --> 03:55:55.080]   If they want to distribute it through Steam, they can.
[03:55:55.080 --> 03:55:57.940]   If they want to distribute it through Epic exclusively, they can.
[03:55:57.940 --> 03:56:01.360]   If they want to distribute it through both, um, then they could do that as well.
[03:56:01.360 --> 03:56:06.480]   Um, and if we pay them money or other things of value in exchange for
[03:56:06.480 --> 03:56:09.320]   them coming exclusively to the Epic Games Store, I think that's their right.
[03:56:09.320 --> 03:56:15.420]   And this is, this is an example of Epic, an underdog with a tiny fraction of Steam's market
[03:56:15.420 --> 03:56:20.700]   share working to proactively compete with Steam by offering a better supply of games.
[03:56:20.700 --> 03:56:26.100]   And some consumers who prefer Steam might prefer that the game be on Steam, um, but the
[03:56:26.100 --> 03:56:31.680]   developer in each case has decided, uh, that they believe they would benefit more by doing
[03:56:31.680 --> 03:56:34.900]   this exclusive deal in exchange for benefits than by being on Steam.
[03:56:34.900 --> 03:56:39.840]   And you know, like, uh, one of the, the key exhibits in the Epic Google trial was its opening
[03:56:39.840 --> 03:56:46.840]   exhibit, um, which was, uh, trying to point out to the jury in the trial, um, the benefits
[03:56:46.840 --> 03:56:47.900]   of exclusives.
[03:56:47.900 --> 03:56:52.880]   So imagine a new store popping up, the store has a big sign outside of it.
[03:56:52.880 --> 03:56:53.820]   We're the new store.
[03:56:53.820 --> 03:56:58.140]   We have everything that the other store has, and it's at the same price.
[03:56:58.140 --> 03:56:59.980]   Are you going to go to the new store?
[03:56:59.980 --> 03:57:00.720]   No.
[03:57:00.720 --> 03:57:03.080]   You know, nobody's going to switch from Steam.
[03:57:03.460 --> 03:57:07.720]   If Steam has all of the same games as the competing store and everything's priced in just the
[03:57:07.720 --> 03:57:07.980]   same.
[03:57:07.980 --> 03:57:12.060]   And so we looked at, uh, initially two ways of competing with Steam strongly.
[03:57:12.060 --> 03:57:18.500]   We wanted to sell games at a better price than Steam, um, by agreeing on the amount of money
[03:57:18.500 --> 03:57:22.160]   we pay each game developer, uh, you know, if we're going to, if the game's going to sell
[03:57:22.160 --> 03:57:28.760]   for $50 and we take 12%, we'd actually lower the price and potentially even lose some money
[03:57:28.760 --> 03:57:29.680]   to offer a better deal.
[03:57:29.680 --> 03:57:36.180]   Well, you know, uh, we, we tried to pursue this, um, but very quickly, every developer
[03:57:36.180 --> 03:57:42.200]   told us that they wouldn't agree to better pricing because if they did, then Steam would
[03:57:42.200 --> 03:57:46.560]   stop giving them, you know, marketing featuring and benefits and the console makers would be
[03:57:46.560 --> 03:57:49.380]   mad and all of their relationships would be, would be harmed.
[03:57:49.380 --> 03:57:55.820]   Um, you know, so there, there's an undercurrent of powerful platforms and ecosystems encouraging
[03:57:55.820 --> 03:57:57.660]   developers not to compete on price.
[03:57:57.760 --> 03:58:02.320]   So not being able to compete on price, we decided to compete on supply by doing exclusive
[03:58:02.320 --> 03:58:02.760]   deals.
[03:58:02.760 --> 03:58:06.460]   And we signed a lot of them, um, paid developers lots and lots of money.
[03:58:06.460 --> 03:58:11.720]   We, I think we distributed over a billion dollars, um, in net expenditures to developers, uh, beyond,
[03:58:11.720 --> 03:58:16.700]   uh, the money, the revenue we actually made from games in order to get a whole lot of exclusive
[03:58:16.700 --> 03:58:17.140]   games.
[03:58:17.140 --> 03:58:18.460]   Some were successful.
[03:58:18.460 --> 03:58:19.100]   Some weren't.
[03:58:19.100 --> 03:58:21.480]   Borderlands did awesomely on the Epic Games Tour.
[03:58:21.480 --> 03:58:27.180]   And we, uh, and Gearbox felt that it did just as well through Epic, uh, as it would have
[03:58:27.180 --> 03:58:31.180]   done on Steam because, you know, the players who wanted Borderlands wanted Borderlands and
[03:58:31.180 --> 03:58:32.000]   they came and got it.
[03:58:32.000 --> 03:58:35.600]   Whereas a lot of other games, you know, some smaller games, especially that didn't have a
[03:58:35.600 --> 03:58:39.720]   dedicated audience that was absolutely going to play the game, typically benefited from
[03:58:39.720 --> 03:58:40.740]   exposure on Steam.
[03:58:40.740 --> 03:58:43.300]   They were reaching an audience they wouldn't have reached organically.
[03:58:43.300 --> 03:58:47.680]   And so some of them, um, in the end, we, and they concluded that they did worse by being
[03:58:47.680 --> 03:58:52.320]   on the Epic Games Tour exclusively in terms of, uh, you know, reaching fewer customers.
[03:58:52.320 --> 03:58:56.460]   And so, you know, we had these limited time exclusives when they ran out, they put their
[03:58:56.460 --> 03:59:00.200]   games on Steam and, um, you know, lots of data was gathered to understand what worked.
[03:59:00.200 --> 03:59:06.360]   And so this worked well for some games, didn't work for other games, but, um, you know, companies
