
[00:00:00.000 --> 00:00:03.780]   Hello guys, welcome back to my channel today, we are gonna talk about Mistral
[01:21:19.360 --> 01:21:24.320]   The second prompt is made up of five tokens and the third prompt is made up of six tokens
[01:21:24.640 --> 01:21:31.280]   And we are also using a sliding window attention with a sliding window size of three and basically this will create the complex mask
[01:21:31.280 --> 01:21:33.040]   That we can see here
[01:21:33.040 --> 01:21:40.240]   This is the first group of tokens from 0 to 6 is the first prompt from 7 to 11 is the second prompt
[01:21:40.240 --> 01:21:42.560]   and from 12 to
[01:21:42.560 --> 01:21:49.680]   Let me check 17 is the third prompt and as you can see it also takes into consideration the sliding window size
[01:21:49.680 --> 01:21:53.600]   So each token can only watch at most two previous tokens
[01:21:54.400 --> 01:21:58.880]   So the tokens in this in the contained in the sliding window size of size three
[01:21:58.880 --> 01:22:05.680]   The second one they use is the block diagonal mask and okay. This one is used for the first
[01:22:05.680 --> 01:22:08.320]   chunk during the pre-filling
[01:22:08.320 --> 01:22:11.940]   This one is used for subsequent chunks in the pre-filling
[01:22:11.940 --> 01:22:18.400]   And basically it also takes in because during the first pre-filling we don't have the KV cache because it's initially empty
[01:22:18.400 --> 01:22:21.520]   But during the subsequent steps, it's not empty anymore
[01:22:21.520 --> 01:22:24.880]   So we need to take into consideration also the different size of the KV cache
[01:22:24.880 --> 01:22:31.120]   So for example, the first token may have a KV cache of size 10 because the prompt is very short
[01:22:31.120 --> 01:22:36.740]   But the second prompt may be very big suppose 5,000 tokens. So it may have a KV cache of size 5,000
[01:22:36.740 --> 01:22:40.640]   So it takes into consideration also the size of the KV cache
[01:22:40.640 --> 01:22:46.400]   And it will produce a mask that takes into consideration also the size of the KV cache
[01:22:47.040 --> 01:22:52.320]   The last method they use is this one block diagonal causal with offset padded keys mask
[01:22:52.320 --> 01:22:57.280]   Because each prompt may have a different size for the KV cache
[01:22:57.280 --> 01:23:05.840]   But only some tokens in this KV so the KV cache size is fixed. It's a tensor that is of fixed side w
[01:23:05.840 --> 01:23:11.040]   But only some tokens may be actual being filled in this KV cache
[01:23:11.040 --> 01:23:13.760]   So only maybe the KV cache size is let's say 10
[01:23:14.240 --> 01:23:19.760]   But because the first prompt is very short only three tokens are actually part in the KV cache
[01:23:19.760 --> 01:23:25.120]   But when we pass the KV cache to the calculation of the attention
[01:23:25.120 --> 01:23:28.960]   We pass all the tensor which is all the 10 items
[01:23:28.960 --> 01:23:31.360]   So we need a way to tell to the mask
[01:23:31.360 --> 01:23:37.440]   That it should only use the first three items from the KV cache and not all the KV cache
[01:23:37.440 --> 01:23:42.560]   Not all the tensor and this is done with block diagonal with offset padding keys mask
[01:23:42.560 --> 01:23:46.400]   So this method here, it's very long name very complicated, but this is why they use it
[01:23:46.400 --> 01:23:48.880]   And it will produce a mask like this
[01:23:48.880 --> 01:23:52.560]   So it takes into consideration the actual size of the KV cache
[01:23:52.560 --> 01:23:57.760]   Even if the KV all the KV cache have the same size because it's a fixed size tensor
[01:23:57.760 --> 01:24:03.120]   But it tells you how many items there are actually it should use from each cache
[01:24:03.120 --> 01:24:11.760]   Okay guys it has been a very demanding video I have to say
[01:24:12.400 --> 01:24:15.520]   I had to record it more than once
[01:24:15.520 --> 01:24:20.160]   I actually had to cut some parts because I even I got confused sometimes
[01:24:20.160 --> 01:24:25.760]   It's very complicated topics. It's a lot of things that you have to grasp
[01:24:25.760 --> 01:24:31.760]   But I hope that it will make your life easier when you want to understand the Mistral code
[01:24:31.760 --> 01:24:34.400]   I actually am also putting online
[01:24:34.400 --> 01:24:38.720]   My notes the one that you have seen so the two notebooks that I have shown you
[01:24:39.120 --> 01:24:42.880]   Plus also the code annotated by me on the Mistral source code
[01:24:42.880 --> 01:24:48.960]   Now the Mistral source code I actually never run it. So because my computer is not very powerful
[01:24:48.960 --> 01:24:51.920]   So I never run the actual model on my computer
[01:24:51.920 --> 01:24:58.960]   What I did to study the model was to run some random tensors to a model and I created basically a model with
[01:24:58.960 --> 01:25:01.200]   randomly initialized
[01:25:01.200 --> 01:25:07.040]   Weights but with the less number of layers so it could fit in my GPU and then I just run some random tensors
[01:25:07.280 --> 01:25:11.040]   To study all the shapes of the tensor and all the information passing
[01:25:11.040 --> 01:25:17.200]   So, I don't know if the code works, but I hope it will work. I mean, I didn't touch the logic. I just add some comments
[01:25:17.200 --> 01:25:21.360]   anyway, you can use the commented code by me to as
[01:25:21.360 --> 01:25:27.380]   As a learning tool to complement with the official code of Mistral so that you can understand
[01:25:27.380 --> 01:25:33.680]   More about the inner workings of this grid model. I actually really enjoyed studying it. I really enjoyed
[01:25:33.680 --> 01:25:37.040]   Studying the code and I learned a lot of stuff, you know
[01:25:37.760 --> 01:25:41.860]   I think it's very very good when you are doing something that is very complicated
[01:25:41.860 --> 01:25:46.800]   Because it teaches you a lot because if something is simple, then you don't learn much by the end of the day
[01:25:46.800 --> 01:25:51.840]   Anyway, guys, thanks you for watching my video. I hope you also enjoyed this journey with me
[01:25:51.840 --> 01:25:53.600]   Even if it was very complicated
[01:25:53.600 --> 01:25:58.640]   I hope that you liked this video and you will subscribe to my channel if you didn't please do it
[01:25:58.640 --> 01:26:03.120]   And the best way to support me guys is to share this video with all the people, you know
[01:26:03.200 --> 01:26:07.040]   So share it on social media share it on linkedin on twitter, etc
[01:26:07.040 --> 01:26:12.160]   because this is the best way to you can help me is to grow my channel and
[01:26:12.160 --> 01:26:17.280]   Please let me know if there is something that you don't understand. I am always available to help
[01:26:17.280 --> 01:26:20.340]   And connect with me on linkedin. Bye. Bye

