
[00:00:00.000 --> 00:00:00.840]   I'm Josh Tobin.
[00:52:11.660 --> 00:52:13.540]   So if you're, you know,
[00:52:13.540 --> 00:52:17.020]   if the data that you're ultimately going to evaluate on
[00:52:17.020 --> 00:52:19.340]   looks different than the data that you're training on,
[00:52:19.340 --> 00:52:20.820]   you, you know, generally speaking,
[00:52:20.820 --> 00:52:23.380]   have no guarantees that your model is gonna do
[00:52:23.380 --> 00:52:25.780]   anything reasonable whatsoever, right?
[00:52:25.780 --> 00:52:27.300]   Like much less be good,
[00:52:27.300 --> 00:52:30.000]   but like it could be kind of wildly wrong.
[00:52:30.000 --> 00:52:31.420]   And also in this category,
[00:52:31.420 --> 00:52:33.660]   I'd put anything that kind of feels like reasoning
[00:52:33.660 --> 00:52:36.520]   or planning or understanding causality.
[00:52:36.520 --> 00:52:39.660]   These things are still very difficult to do.
[00:52:39.660 --> 00:52:40.780]   Yeah.
[00:52:40.780 --> 00:52:41.860]   - When you said about reliability,
[00:52:41.860 --> 00:52:42.740]   it made me think of a question.
[00:52:42.740 --> 00:52:44.860]   So I don't know what the state of the art is,
[00:52:44.860 --> 00:52:47.220]   but how are neural networks at estimating
[00:52:47.220 --> 00:52:49.100]   their own confidence in the result?
[00:52:49.100 --> 00:52:50.060]   Do they do that well?
[00:52:50.060 --> 00:52:52.140]   - Yeah, so there's a lot of research going to this,
[00:52:52.140 --> 00:52:53.500]   into understanding how neural networks
[00:52:53.500 --> 00:52:55.340]   understand their own confidence.
[00:52:55.340 --> 00:52:58.020]   Generally speaking, I'm not,
[00:52:58.020 --> 00:53:01.220]   I would say that neural networks are extremely bad
[00:53:01.220 --> 00:53:02.500]   at understanding their own confidence.
[00:53:02.500 --> 00:53:05.860]   And so there's kind of like an interesting paper
[00:53:05.860 --> 00:53:10.140]   that illustrates this, which it takes MNIST,
[00:53:10.140 --> 00:53:13.180]   which is kind of like the classic computer vision dataset,
[00:53:13.180 --> 00:53:14.120]   a bunch of digits.
[00:53:14.120 --> 00:53:18.140]   And then it takes another dataset called Omniglot.
[00:53:18.140 --> 00:53:19.700]   And Omniglot is handwritten digits
[00:53:19.700 --> 00:53:21.540]   from like foreign languages.
[00:53:21.540 --> 00:53:23.420]   So they're like kind of different.
[00:53:23.420 --> 00:53:26.060]   They all look kind of look like MNIST images,
[00:53:26.060 --> 00:53:28.140]   but the digits themselves are different.
[00:53:28.140 --> 00:53:30.060]   They're not zero through nine.
[00:53:30.060 --> 00:53:33.020]   And so what they did in this paper is they showed that
[00:53:33.020 --> 00:53:35.660]   if you train a model on MNIST
[00:53:35.660 --> 00:53:37.220]   that does really well on MNIST,
[00:53:37.220 --> 00:53:39.820]   and then you feed it some data from Omniglot,
[00:53:39.820 --> 00:53:41.700]   you can find examples where the model
[00:53:41.700 --> 00:53:44.060]   makes extremely confident wrong predictions.
[00:53:44.060 --> 00:53:45.620]   So it sees some kind of some digit
[00:53:45.620 --> 00:53:48.500]   that doesn't look anything like us to a zero through nine,
[00:53:48.500 --> 00:53:51.980]   but the model will say like, you know, 95% accuracy that,
[00:53:51.980 --> 00:53:55.460]   95% confidence that this is a two or something like that.
[00:53:55.460 --> 00:53:57.540]   Yeah.
[00:53:57.540 --> 00:54:00.460]   (student mumbling)
[00:54:00.460 --> 00:54:03.380]   (student mumbling)
[00:54:03.380 --> 00:54:13.500]   I think in that particular paper, if I remember correctly,
[00:54:13.500 --> 00:54:16.580]   they did not have like a strange class.
[00:54:16.580 --> 00:54:18.300]   They just did zero through nine.
[00:54:18.300 --> 00:54:19.740]   And then, but then confidence,
[00:54:19.740 --> 00:54:21.880]   you can still get confidence by looking at the weights
[00:54:21.880 --> 00:54:22.720]   of the softmax.
[00:54:22.720 --> 00:54:24.460]   So like what you would expect to happen is
[00:54:24.460 --> 00:54:27.260]   the model would produce equal probability on all of them.
[00:54:27.260 --> 00:54:28.280]   And I think follow up papers,
[00:54:28.280 --> 00:54:30.540]   they've explored the idea that you're talking about.
[00:54:30.540 --> 00:54:36.740]   Okay, questions, thoughts on this?
[00:54:36.740 --> 00:54:40.620]   Other counter examples to this?
[00:54:40.620 --> 00:54:42.800]   Things that are hard that this doesn't capture?
[00:54:42.800 --> 00:54:51.320]   Okay, yeah, I just wanted to give you
[00:54:51.320 --> 00:54:53.360]   a little bit of a flavor of, you know,
[00:54:53.360 --> 00:54:55.280]   to build a little bit of intuition about, you know,
[00:54:55.280 --> 00:54:56.960]   if you're thinking about some problem,
[00:54:56.960 --> 00:54:58.360]   how to get a sense of, you know,
[00:54:58.360 --> 00:54:59.760]   beyond just going and reading papers,
[00:54:59.760 --> 00:55:01.040]   whether this is something that's,
[00:55:01.040 --> 00:55:03.500]   should be feasible for machine learning to do or not.
[00:55:03.500 --> 00:55:09.240]   All right, and the last thing that I wanna do today
[00:55:09.240 --> 00:55:12.600]   is just kind of start to walk you through
[00:55:12.600 --> 00:55:15.260]   what a mature machine learning code base looks like.
[00:55:15.260 --> 00:55:19.000]   And then, and then I'll ask you to kind of
[00:55:19.000 --> 00:55:21.360]   like spend more time looking at it on your own.
[00:55:21.360 --> 00:55:24.160]   But so first, just to give you a sense
[00:55:24.160 --> 00:55:25.680]   of what this code base is doing,
[00:55:25.680 --> 00:55:26.960]   this was kind of the class project
[00:55:26.960 --> 00:55:29.200]   for one of the boot camps that we did.
[00:55:29.200 --> 00:55:31.240]   And so the goal of the project is, you know,
[00:55:31.240 --> 00:55:33.440]   you have like, you have like an app.
[00:55:33.440 --> 00:55:35.700]   And what you do on the app is you take a picture
[00:55:35.700 --> 00:55:37.100]   of some handwritten text.
[00:55:37.100 --> 00:55:41.080]   And then the goal is to then produce the, you know,
[00:55:41.080 --> 00:55:45.040]   the typed version of the text that the user input.
[00:55:45.040 --> 00:55:47.480]   And so the way the system that we built works is,
[00:55:47.480 --> 00:55:49.800]   you know, first there's a web backend
[00:55:49.800 --> 00:55:52.960]   that takes kind of the raw data from this app,
[00:55:52.960 --> 00:55:55.760]   decodes it into a format that the neural network
[00:55:55.760 --> 00:55:59.480]   can understand, and then sends it to a prediction model.
[00:55:59.480 --> 00:56:01.240]   So this is like kind of, you can think about this
[00:56:01.240 --> 00:56:03.560]   as like the weights of a neural network.
[00:56:03.560 --> 00:56:06.200]   And that, it's not super important,
[00:56:06.200 --> 00:56:07.800]   like the details of that model structure,
[00:56:07.800 --> 00:56:10.240]   but it's actually in two separate modules.
[00:56:10.240 --> 00:56:16.120]   And then that's kind of sent back to the web backend
[00:56:16.120 --> 00:56:17.740]   and produces the final result.
[00:56:17.740 --> 00:56:21.360]   But that's kind of not all the parts of the code base.
[00:56:21.360 --> 00:56:23.800]   You also need to figure out how to produce the weights
[00:56:23.800 --> 00:56:27.760]   of this model, like what weights of the neural net
[00:56:27.760 --> 00:56:29.940]   actually produce the best loss.
[00:56:29.940 --> 00:56:32.560]   And so there's also a bunch of code for training models.
[00:56:32.560 --> 00:56:35.280]   So there's data sets and there's training code,
[00:56:35.280 --> 00:56:37.800]   and those produce the final model weights.
[00:56:37.800 --> 00:56:46.700]   Also just wanna quickly mention a couple of best practices
[00:56:46.700 --> 00:56:49.520]   for like at high level, how to think about machine learning
[00:56:49.520 --> 00:56:50.360]   code-based design.
[00:56:50.360 --> 00:56:51.640]   And this is not really all that different
[00:56:51.640 --> 00:56:53.920]   than just general code-based design
[00:56:53.920 --> 00:56:55.960]   for software engineering.
[00:56:55.960 --> 00:56:58.140]   Modularity is really important.
[00:56:58.140 --> 00:57:00.960]   In machine learning context, what this typically means
[00:57:00.960 --> 00:57:04.560]   is that you have separate code for data sets,
[00:57:04.560 --> 00:57:07.560]   models, optimizers, loss functions, things like that.
[00:57:07.560 --> 00:57:08.920]   And you wanna set up your code base in a way
[00:57:08.920 --> 00:57:11.460]   that you can mix and match between them.
[00:57:11.460 --> 00:57:14.600]   So like a lot of times what I see kind of with people
[00:57:14.600 --> 00:57:16.360]   that are less experienced software engineers
[00:57:16.360 --> 00:57:18.240]   that are building machine learning code bases
[00:57:18.240 --> 00:57:22.280]   is that the model that they build
[00:57:22.280 --> 00:57:23.820]   depends really heavily on assumptions
[00:57:23.820 --> 00:57:26.860]   from the specific data set that they're using at this time.
[00:57:26.860 --> 00:57:30.480]   And the problem with that is like oftentimes
[00:57:30.480 --> 00:57:32.520]   you need to change what data set you're using,
[00:57:32.520 --> 00:57:34.960]   or you wanna just reuse the code
[00:57:34.960 --> 00:57:36.460]   that you've already written for training
[00:57:36.460 --> 00:57:37.880]   on some different problem,
[00:57:37.880 --> 00:57:39.960]   where you have some data set that looks kind of different.
[00:57:39.960 --> 00:57:41.880]   And so a lot of the design choices
[00:57:41.880 --> 00:57:45.160]   that we made in the code base that I'll show you
[00:57:45.160 --> 00:57:48.240]   in a second are meant to have modularity
[00:57:48.240 --> 00:57:49.560]   for those types of things.
[00:57:49.560 --> 00:57:55.640]   Another kind of best practice that I've heard
[00:57:55.640 --> 00:57:57.040]   from a lot of people is having
[00:57:57.040 --> 00:57:58.820]   a self-contained prediction module.
[00:57:58.820 --> 00:58:03.200]   So having kind of like a folder within your directory
[00:58:03.200 --> 00:58:06.600]   that has just the minimum set of things that you need
[00:58:06.600 --> 00:58:09.680]   in order to actually serve predictions to the user.
[00:58:09.680 --> 00:58:13.400]   So it might be like the raw weights of the model
[00:58:13.400 --> 00:58:18.400]   and the logic for interacting with the raw data.
[00:58:18.400 --> 00:58:21.540]   And then a very thin wrapper around those weights
[00:58:21.540 --> 00:58:23.540]   that tell you how to turn those weights
[00:58:23.540 --> 00:58:25.600]   and the data into raw predictions.
[00:58:25.600 --> 00:58:26.820]   And so the idea is like,
[00:58:26.820 --> 00:58:29.080]   this is just something that should be super easy to deploy
[00:58:29.080 --> 00:58:32.320]   and doesn't have to deal with the complexity
[00:58:32.320 --> 00:58:33.760]   of all of your training code.
[00:58:33.760 --> 00:58:37.640]   And then one other thing I'll mention,
[00:58:37.640 --> 00:58:40.040]   I think is important is like,
[00:58:40.040 --> 00:58:43.220]   usually what I see is people manage their data separately
[00:58:43.220 --> 00:58:46.720]   from the way that they do version code in their control.
[00:58:46.720 --> 00:58:50.580]   But oftentimes like what is checked into Git
[00:58:50.580 --> 00:58:54.560]   is like some sort of logic for getting the data.
[00:58:54.560 --> 00:58:57.840]   So you might have your data stored on S3
[00:58:57.840 --> 00:59:01.400]   or some other sort of data storage.
[00:59:01.400 --> 00:59:03.780]   And then like within your code base on Git,
[00:59:03.780 --> 00:59:06.600]   you might have some rules for like the specific version
[00:59:06.600 --> 00:59:08.400]   of the dataset that you're using,
[00:59:08.400 --> 00:59:11.340]   how to actually go and download that from S3.
[00:59:11.340 --> 00:59:16.340]   All right, actually any questions about this?
[00:59:16.340 --> 00:59:28.200]   Yeah, is there a reference for a good project?
[00:59:28.200 --> 00:59:30.160]   I'll show you one that I think is pretty good in a second.
[00:59:30.160 --> 00:59:31.440]   Yeah, yeah.
[00:59:31.440 --> 00:59:36.000]   (student mumbling)
[00:59:37.000 --> 00:59:42.000]   Yeah, so keeping track of model performance and versions.
[00:59:42.000 --> 00:59:53.880]   I swear this is not a plant,
[00:59:53.880 --> 00:59:56.160]   but I actually use weights and biases for this
[00:59:56.160 --> 00:59:58.080]   and I think it's really great.
[00:59:58.080 --> 01:00:00.000]   And yeah, I would encourage you all
[01:00:00.000 --> 01:00:01.640]   to at least try using it as well.
[01:00:01.640 --> 01:00:03.960]   Yeah.
[01:00:03.960 --> 01:00:06.880]   (student mumbling)
[01:00:06.880 --> 01:00:21.720]   Yeah, so how do you deal with,
[01:00:21.720 --> 01:00:22.960]   once you have deployed model,
[01:00:22.960 --> 01:00:24.600]   you might have some data drift
[01:00:24.600 --> 01:00:26.680]   and how do you catch that early?
[01:00:26.680 --> 01:00:30.520]   I think the way to do that is by trying to capture
[01:00:30.520 --> 01:00:32.520]   some of that drift with tests
[01:00:32.520 --> 01:00:35.640]   and then like, I mean, the idea is to try to capture it
[01:00:35.640 --> 01:00:37.140]   as early as possible and flag it.
[01:00:37.140 --> 01:00:39.020]   And there are a couple of different causes,
[01:00:39.020 --> 01:00:39.920]   like potential causes.
[01:00:39.920 --> 01:00:42.840]   One is data drift, but another is, you know,
[01:00:42.840 --> 01:00:44.320]   some sort of regression in your code base.
[01:00:44.320 --> 01:00:47.680]   Like you push, you train some model
[01:00:47.680 --> 01:00:50.040]   and it looks like the model is performing really well,
[01:00:50.040 --> 01:00:52.000]   but in reality, you know,
[01:00:52.000 --> 01:00:53.620]   it doesn't perform as well in the real data.
[01:00:53.620 --> 01:00:55.680]   And so you need to like kind of quickly be able to go
[01:00:55.680 --> 01:00:57.600]   and revert that back.
[01:00:57.600 --> 01:00:59.960]   And yeah, we'll talk about this in more detail
[01:00:59.960 --> 01:01:00.960]   second to last week.
[01:01:01.960 --> 01:01:04.880]   (student mumbling)
[01:01:04.880 --> 01:01:29.600]   Yeah, how do you keep track of,
[01:01:29.600 --> 01:01:31.880]   so you have version control for your code
[01:01:31.880 --> 01:01:34.160]   and then you have, and what I'm saying is
[01:01:34.160 --> 01:01:35.840]   you wanna manage your data separately from that.
[01:01:35.840 --> 01:01:37.360]   And those two things interact.
[01:01:37.360 --> 01:01:40.440]   So the question is how do you manage that interaction?
[01:01:40.440 --> 01:01:41.880]   Yeah, I think like one way to do this,
[01:01:41.880 --> 01:01:44.560]   I'm not, this is something that I've seen in practice.
[01:01:44.560 --> 01:01:46.960]   I'm not sure if this is, there might be a better way
[01:01:46.960 --> 01:01:51.960]   is to sort of pin your, like your training code
[01:01:51.960 --> 01:01:55.160]   and your model code to a specific version of the data.
[01:01:55.160 --> 01:01:57.640]   And then you can be conscious about how you update that.
[01:01:57.640 --> 01:01:59.840]   So it's kind of like if you have to manage
[01:01:59.840 --> 01:02:02.620]   some unstable dependency in your code base.
[01:02:02.620 --> 01:02:11.620]   All right, I wanna quickly just kind of take you
[01:02:11.620 --> 01:02:13.680]   on like a very, very brief tour of this code base.
[01:02:13.680 --> 01:02:15.680]   And then I'm going to encourage you all
[01:02:15.680 --> 01:02:18.440]   to spend time looking at this on your own.
[01:02:18.440 --> 01:02:25.620]   But if you have your computers, you can follow along.
[01:02:25.620 --> 01:02:26.620]   This is the URL.
[01:02:26.620 --> 01:02:30.120]   (computer mouse clicking)
[01:02:30.120 --> 01:02:41.620]   Okay, so what you're looking at is the code for the labs
[01:02:41.620 --> 01:02:45.380]   for this bootcamp that we ran a month or so ago.
[01:02:45.380 --> 01:02:49.140]   And if you go to this URL on your own,
[01:02:49.140 --> 01:02:50.580]   I would encourage you to kind of poke through
[01:02:50.580 --> 01:02:53.840]   each of the labs and maybe try some of the exercises
[01:02:53.840 --> 01:02:56.140]   and just kind of get a feel for it.
[01:02:56.140 --> 01:03:00.380]   But right now I'm looking at the solutions for lab nine
[01:03:00.380 --> 01:03:02.140]   because this is kind of like shows the code base
[01:03:02.140 --> 01:03:04.060]   in its most mature form.
[01:03:04.060 --> 01:03:06.220]   So a few things to notice here.
[01:03:06.220 --> 01:03:08.940]   The first is that we have this API folder.
[01:03:08.940 --> 01:03:12.280]   And this is kind of like the minimal version
[01:03:12.280 --> 01:03:14.460]   of serving the model that I talked about.
[01:03:14.460 --> 01:03:17.460]   And so it contains a Docker file for those of you
[01:03:17.460 --> 01:03:21.280]   that use Docker to kind of to specify
[01:03:21.280 --> 01:03:23.820]   what the dependencies are for the production version
[01:03:23.820 --> 01:03:26.180]   of the model, and then it contains kind of an app,
[01:03:26.180 --> 01:03:28.220]   which is the logic for how you serve predictions
[01:03:28.220 --> 01:03:29.060]   from the model.
[01:03:29.060 --> 01:03:34.020]   And then some other specifications for how to make this run.
[01:03:34.020 --> 01:03:37.580]   And the weights, like when you deploy your model,
[01:03:37.580 --> 01:03:40.180]   the weights are actually just copied into this folder.
[01:03:40.180 --> 01:03:47.540]   Then there's kind of a couple of folders
[01:03:47.540 --> 01:03:48.780]   that are just more for convenience.
[01:03:48.780 --> 01:03:50.060]   So there's notebooks.
[01:03:50.060 --> 01:03:53.700]   A lot of times, Jupyter notebooks are really good ways
[01:03:53.700 --> 01:03:55.860]   of playing around with your data,
[01:03:55.860 --> 01:03:58.420]   testing out your models and just kind of seeing
[01:03:58.420 --> 01:04:00.540]   in an informal way how they work.
[01:04:00.540 --> 01:04:02.220]   And then tasks.
[01:04:02.220 --> 01:04:04.260]   These are just convenience scripts for doing things
[01:04:04.260 --> 01:04:08.340]   that you are gonna do frequently in your code base.
[01:04:08.340 --> 01:04:13.340]   So things like running your tests, training your models,
[01:04:13.340 --> 01:04:17.020]   and linting to make sure that your code
[01:04:17.020 --> 01:04:18.400]   meets code standards.
[01:04:18.400 --> 01:04:22.660]   And then the meat of this folder is in,
[01:04:22.660 --> 01:04:24.980]   or this project is in training.
[01:04:24.980 --> 01:04:27.900]   Wait, sorry, it's in Text Recognizer.
[01:04:27.900 --> 01:04:31.520]   And so this is where we have most of the code
[01:04:31.520 --> 01:04:36.300]   for kind of how you build models
[01:04:36.300 --> 01:04:39.060]   and how you build loss functions and neural networks,
[01:04:39.060 --> 01:04:42.280]   and then how they interact with optimizers.
[01:04:42.280 --> 01:04:43.540]   So there's datasets.
[01:04:43.540 --> 01:04:45.620]   And so this is not actually where the raw data is contained,
[01:04:45.620 --> 01:04:48.180]   but this contains the logic for how to turn the raw data
[01:04:48.180 --> 01:04:50.480]   into something that's consumable by the model.
[01:04:51.460 --> 01:04:53.420]   Then there's models and networks.
[01:04:53.420 --> 01:04:56.300]   The distinction here is that I think of a network
[01:04:56.300 --> 01:04:59.540]   as sort of like a dumb input-output mapping.
[01:04:59.540 --> 01:05:03.520]   So a network is f of x equals y.
[01:05:03.520 --> 01:05:06.400]   And then a model contains all of the other stuff
[01:05:06.400 --> 01:05:10.020]   that you need in order to use that network and train it.
[01:05:10.020 --> 01:05:14.100]   So it contains things like how you define the optimizer
[01:05:14.100 --> 01:05:16.980]   for that model, what does it mean to take a gradient step
[01:05:16.980 --> 01:05:21.100]   on that model, how do you turn sort of the raw output
[01:05:21.100 --> 01:05:23.980]   into the actual structured prediction and things like that.
[01:05:23.980 --> 01:05:25.580]   And so the reason that there's this split
[01:05:25.580 --> 01:05:27.740]   is because if you just have networks,
[01:05:27.740 --> 01:05:29.140]   then you can kind of really easily change
[01:05:29.140 --> 01:05:30.600]   your neural network architecture
[01:05:30.600 --> 01:05:33.460]   without having to fuddle with how that interacts
[01:05:33.460 --> 01:05:34.700]   with the rest of your code base.
[01:05:34.700 --> 01:05:36.100]   So it sort of isolates that.
[01:05:36.100 --> 01:05:39.540]   And then we have tests and a folder here
[01:05:39.540 --> 01:05:42.440]   for storing the best current weights.
[01:05:48.660 --> 01:05:51.420]   All right, so that's just a very, very brief tour
[01:05:51.420 --> 01:05:53.140]   of what this code base looks like.
[01:05:53.140 --> 01:05:55.480]   And the next thing I wanna talk about is your homework,
[01:05:55.480 --> 01:05:57.700]   which part of that will be looking through
[01:05:57.700 --> 01:05:59.200]   this code base in more detail.
[01:05:59.200 --> 01:06:11.420]   All right, so again, each week we're gonna have you watch
[01:06:11.420 --> 01:06:12.620]   one of the lectures.
[01:06:12.620 --> 01:06:14.480]   And so for next week, we'll have you watch
[01:06:14.480 --> 01:06:15.780]   the data management lecture.
[01:06:15.780 --> 01:06:16.820]   And you don't need to write this down.
[01:06:16.820 --> 01:06:19.380]   We'll kind of post all this stuff to Slack as well.
[01:06:19.380 --> 01:06:21.940]   But that's the link on YouTube.
[01:06:21.940 --> 01:06:26.300]   And then, I didn't really have time to go through
[01:06:26.300 --> 01:06:28.780]   the text recognizer code base in a lot of detail.
[01:06:28.780 --> 01:06:31.900]   And so I want you all to start getting familiar with this
[01:06:31.900 --> 01:06:33.620]   so that you have a sense of like kind of
[01:06:33.620 --> 01:06:35.980]   what a really good sort of production ready
[01:06:35.980 --> 01:06:37.520]   machine learning code base looks like.
[01:06:37.520 --> 01:06:39.260]   So I want you all to read through it
[01:06:39.260 --> 01:06:41.660]   and then kind of pick, like take your choice,
[01:06:41.660 --> 01:06:44.020]   which of the following assignments you wanna do.
[01:06:45.020 --> 01:06:47.780]   You can do one of the labs if you want.
[01:06:47.780 --> 01:06:51.900]   Most of them involve filling in code to kind of specify
[01:06:51.900 --> 01:06:53.380]   the way that you do the neural net
[01:06:53.380 --> 01:06:55.540]   or like the way that you serve predictions.
[01:06:55.540 --> 01:06:59.340]   Or you can post a question about it on Slack.
[01:06:59.340 --> 01:07:02.020]   So find something in the code base that you're not sure
[01:07:02.020 --> 01:07:03.860]   about like, why did we structure it this way?
[01:07:03.860 --> 01:07:06.860]   Or, you know, why aren't we doing this thing and post that?
[01:07:06.860 --> 01:07:10.740]   Or, and this is like highly, highly encouraged.
[01:07:10.740 --> 01:07:12.580]   You submit a pull request to this code base,
[01:07:12.580 --> 01:07:15.900]   you'll get extra credit in the meaningless point system
[01:07:15.900 --> 01:07:16.740]   of the course.
[01:07:16.740 --> 01:07:18.700]   But I think this is actually,
[01:07:18.700 --> 01:07:20.380]   this is like the best way to learn your way around it.
[01:07:20.380 --> 01:07:22.200]   And so I'm not expecting everyone to do this,
[01:07:22.200 --> 01:07:24.200]   but I hope a few of you choose to do it.
[01:07:24.200 --> 01:07:29.420]   All right, but kind of more importantly than these
[01:07:29.420 --> 01:07:32.220]   is to start working on your projects.
[01:07:32.220 --> 01:07:35.780]   And the first step here is we want you all
[01:07:35.780 --> 01:07:37.980]   to pick your projects.
[01:07:37.980 --> 01:07:40.540]   And we have a specific way that we're gonna do that.
[01:07:41.260 --> 01:07:43.500]   (mimics drum roll)
[01:07:43.500 --> 01:07:44.780]   So we've set up a,
[01:07:44.780 --> 01:07:47.360]   I can't find my mouse.
[01:07:47.360 --> 01:07:50.620]   There we go.
[01:07:50.620 --> 01:07:54.460]   We've set up an Excel or a Google sheet
[01:07:54.460 --> 01:07:56.700]   that has a bunch of, it's pre-populated
[01:07:56.700 --> 01:07:58.860]   with a bunch of suggested project ideas.
[01:07:58.860 --> 01:08:03.820]   And so each of these project ideas
[01:08:03.820 --> 01:08:05.940]   kind of has a very brief description
[01:08:05.940 --> 01:08:08.060]   and like sort of a very rough estimate
[01:08:08.060 --> 01:08:09.180]   of how hard they're gonna be,
[01:08:09.180 --> 01:08:10.740]   both in terms of how hard they're gonna be
[01:08:10.740 --> 01:08:12.380]   to build a good label data set,
[01:08:12.380 --> 01:08:13.640]   and also how hard they're gonna be
[01:08:13.640 --> 01:08:15.740]   to like find a good model to train on them.
[01:08:15.740 --> 01:08:20.340]   And then what we have over here is columns for people.
[01:08:20.340 --> 01:08:23.260]   So there's a maximum of four people for the project.
[01:08:23.260 --> 01:08:25.100]   And so what we want all of you to do
[01:08:25.100 --> 01:08:27.660]   is to start going through these projects.
[01:08:27.660 --> 01:08:29.580]   And when you kind of have a sense
[01:08:29.580 --> 01:08:31.060]   of what project you wanna work on,
[01:08:31.060 --> 01:08:35.080]   add yourself to one of these columns for that project.
[01:08:35.080 --> 01:08:36.780]   One other thing I wanna say on this,
[01:08:36.780 --> 01:08:38.820]   the projects I put in here are kind of just
[01:08:38.820 --> 01:08:40.380]   like projects that I think would be fun to do,
[01:08:40.380 --> 01:08:41.540]   but what I really want people to do
[01:08:41.540 --> 01:08:43.780]   is to come up with their own projects.
[01:08:43.780 --> 01:08:46.660]   So if you have ideas for like a cool side project
[01:08:46.660 --> 01:08:49.020]   that you wanna work on and wanna get people's help with,
[01:08:49.020 --> 01:08:52.220]   then I would highly encourage you to add them to this sheet
[01:08:52.220 --> 01:08:54.660]   and maybe lobby in Slack a little bit
[01:08:54.660 --> 01:08:56.420]   to convince other people in the class
[01:08:56.420 --> 01:08:59.120]   that your project is the most exciting one to work on.
[01:08:59.120 --> 01:09:01.260]   Yeah.
[01:09:01.260 --> 01:09:03.820]   - [Student] Are these projects have data available?
[01:09:03.820 --> 01:09:04.660]   - Sorry?
[01:09:04.660 --> 01:09:07.060]   - [Student] The projects that you have mentioned in the book,
[01:09:07.060 --> 01:09:10.460]   would they have the data available on the backup?
[01:09:10.460 --> 01:09:11.580]   - Yeah, so the question was,
[01:09:11.580 --> 01:09:14.620]   is the data available for the projects that I suggested?
[01:09:14.620 --> 01:09:15.780]   It's a mix.
[01:09:15.780 --> 01:09:19.300]   So for the ones where I said data availability is like a two,
[01:09:19.300 --> 01:09:20.900]   generally what I meant by that is
[01:09:20.900 --> 01:09:23.840]   there's some publicly available dataset
[01:09:23.840 --> 01:09:25.880]   that will get you most of the way there.
[01:09:25.880 --> 01:09:30.060]   And for the ones that I said were a four or five,
[01:09:30.060 --> 01:09:31.860]   generally that means that part of what you're gonna have to
[01:09:31.860 --> 01:09:34.500]   do for this project is to build the dataset yourself.
[01:09:35.540 --> 01:09:38.600]   Building datasets is challenging.
[01:09:38.600 --> 01:09:40.780]   And if you choose one of those projects,
[01:09:40.780 --> 01:09:43.620]   I'd highly suggest getting started on that very early.
[01:09:43.620 --> 01:09:46.100]   But oftentimes those can be the most rewarding projects
[01:09:46.100 --> 01:09:48.900]   because if you're working with some publicly available
[01:09:48.900 --> 01:09:51.560]   dataset, then chances are a lot of people have tried things
[01:09:51.560 --> 01:09:52.700]   on that dataset before.
[01:09:52.700 --> 01:09:54.980]   So it's up to you.
[01:09:54.980 --> 01:09:57.020]   I leave it up to you how much effort you wanna put
[01:09:57.020 --> 01:09:58.580]   into building your own dataset.
[01:09:58.580 --> 01:10:01.060]   Yeah.
[01:10:01.060 --> 01:10:03.060]   - [Student] Do you have objectives on what should be
[01:10:03.060 --> 01:10:05.060]   the goal of the project?
[01:10:05.060 --> 01:10:12.140]   - So what I'm hoping for these projects is that
[01:10:12.140 --> 01:10:14.620]   at the end of the course, so seven weeks from now,
[01:10:14.620 --> 01:10:18.100]   each team, so each one or two or three or four of you
[01:10:18.100 --> 01:10:21.860]   have something that you can showcase that demonstrates
[01:10:21.860 --> 01:10:26.620]   that you've built a prototype of a machine learning system
[01:10:26.620 --> 01:10:27.460]   end to end.
[01:10:27.460 --> 01:10:32.460]   So I'm not expecting you to go and solve some problem
[01:10:32.660 --> 01:10:36.140]   and sell your system to Google for $100 million.
[01:10:36.140 --> 01:10:37.980]   'Cause if you can do that in six weeks,
[01:10:37.980 --> 01:10:41.080]   then you can teach the next version of the course.
[01:10:41.080 --> 01:10:45.900]   But it's gonna be very difficult to completely solve
[01:10:45.900 --> 01:10:46.840]   a problem in this timeframe.
[01:10:46.840 --> 01:10:50.620]   But what I'm hoping is that we'll have really cool demos
[01:10:50.620 --> 01:10:53.940]   that kind of show that you have a system that is starting
[01:10:53.940 --> 01:10:55.460]   to work in the real world.
[01:10:55.460 --> 01:10:57.820]   Yeah.
[01:10:57.820 --> 01:11:01.380]   - So one of the steps in proposing a new project idea
[01:11:01.380 --> 01:11:02.540]   would be like filling, okay,
[01:11:02.540 --> 01:11:03.820]   here's a description of the project,
[01:11:03.820 --> 01:11:05.860]   but then also to estimate the difficulty.
[01:11:05.860 --> 01:11:06.700]   - Yeah.
[01:11:06.700 --> 01:11:08.660]   - And I'm curious if you have sort of a,
[01:11:08.660 --> 01:11:12.420]   I don't know, just a process for vetting our estimates
[01:11:12.420 --> 01:11:15.620]   of just guessing before you can sign up,
[01:11:15.620 --> 01:11:17.180]   or if we just kind of like try it
[01:11:17.180 --> 01:11:19.180]   and then we try it wrong.
[01:11:19.180 --> 01:11:20.020]   - Yeah, totally.
[01:11:20.020 --> 01:11:22.780]   - Or how does that fit into the selection process?
[01:11:22.780 --> 01:11:25.540]   - Yeah, so when you're putting your projects in,
[01:11:25.540 --> 01:11:26.940]   yeah, you should just guess at the difficult.
[01:11:26.940 --> 01:11:31.040]   I mean, you should use the tools that we talked about
