
[00:00:00.000 --> 00:00:06.460]   I'm Cal Newport, and this is In Depth, a semi-regular series in which I talk to
[01:21:04.980 --> 01:21:12.100]   peak of my powers in Silicon Valley to stop completely for three to five years, probably.
[01:21:12.100 --> 01:21:16.580]   Yeah. And that's what allowed me to really focus on the podcast.
[01:21:16.580 --> 01:21:19.380]   Did you get a reprieve when you said break from books?
[01:21:19.380 --> 01:21:22.980]   Oh, huge, huge, huge, huge. Yeah. Huge reprieve.
[01:21:22.980 --> 01:21:27.140]   If you could just like not pitch a new book, was there something psychologically different by actually
[01:21:27.140 --> 01:21:31.940]   like saying to yourself, I'm not working on, I'm not just waiting to pitch something next. Like,
[01:21:31.940 --> 01:21:36.820]   I'm not writing right now. I'm doing the podcast. And frankly, for that, that was, I may not ever
[01:21:36.820 --> 01:21:42.500]   write a book again at that point. I was so burned out from, and this is partially my fault, certainly,
[01:21:42.500 --> 01:21:48.340]   but committing to do what should have been a three or four year book in a year, a year and a half. I
[01:21:48.340 --> 01:21:54.180]   mean, it was an insane deadline for this book. I'm so proud of that book. But if people look at it,
[01:21:54.180 --> 01:21:57.620]   I was, I was thumbing through it. I still use the four hour shelf because it's got a lot of,
[01:21:57.620 --> 01:22:01.300]   a lot of great recipes in addition to all the accelerated learning stuff. And I was flipping
[01:22:01.300 --> 01:22:07.620]   through it and I was like, what was I thinking? Yeah. This like four color hundreds and hundreds
[01:22:07.620 --> 01:22:11.780]   of photographs, maybe a thousand plus with a brand new publishing house. Yeah. Brand new publishing
[01:22:11.780 --> 01:22:16.340]   house upsetting the entire world of publishing, going through Amazon publishing a boycotted by everybody.
[01:22:16.340 --> 01:22:22.420]   And I decided what was in BitTorrent involved for some reason for some of the promotion. Well,
[01:22:22.420 --> 01:22:27.460]   every time I do promotion, I try to learn something new using a brand new channel or something.
[01:22:27.460 --> 01:22:31.140]   So we did a BitTorrent bundle, which was actually super successful with a
[01:22:31.140 --> 01:22:35.780]   free audio version of the four hour chef and all this other stuff. And this is something like
[01:22:35.780 --> 01:22:41.380]   my kids generation would like those words mean nothing to us. Yeah. Yeah. Torrent a BitTorrent bundle.
[01:22:41.380 --> 01:22:44.980]   Yeah. They're like with, you know, launching the game, I'm going to have one or two kind of
[01:22:44.980 --> 01:22:56.900]   just, uh, completely off menu, new technologies I'll play with to learn about them and saying no to
[01:22:57.460 --> 01:23:01.060]   doing another book, just saying, you know what, I don't know how long this pause is. Maybe it's
[01:23:01.060 --> 01:23:10.020]   indefinitely was incredibly important also to not to address the isolation and loneliness that I felt
[01:23:10.020 --> 01:23:16.740]   because even in producing that book, a lot of it, as you know, is very solitary. It's very, very,
[01:23:16.740 --> 01:23:22.820]   very, very, very solitary. And I spent so much time alone working on that book. It wasn't good for
[01:23:22.820 --> 01:23:27.940]   me. And I don't think it's good for most people to be alone all the time. Very few people have,
[01:23:27.940 --> 01:23:33.700]   I would say the mutation. It's not an evolved capacity. It's like Robert Caro, like some of the
[01:23:33.700 --> 01:23:39.300]   great like historians who just want to be David Grant at the New Yorker. He wants to be in archives.
[01:23:39.300 --> 01:23:42.500]   Yeah. Just like turning pain, but it's, it's a very specific thing.
[01:23:42.500 --> 01:23:48.100]   I mean, that is, I, I, I really feel like, and sure there are people who are like, I've been reading so
[01:23:48.100 --> 01:23:52.820]   much Buddhism. Like it's, you just need to be at peace with yourself and talk about your childhood and
[01:23:52.820 --> 01:23:58.500]   forgive your parents. And then you can be alone and be happy anytime with yourself. I'm like, maybe,
[01:23:58.500 --> 01:24:04.020]   but if you talk to evolutionary biologists, like I think evolution drives a lot and genetics drives a lot.
[01:24:04.020 --> 01:24:12.740]   We are evolved to be social period, full stop. And if like Robert Caro by any measure is a complete
[01:24:12.740 --> 01:24:17.620]   mutant, right? It's kind of like, if you're like, well, LeBron James can jump that high. Like, yeah,
[01:24:17.620 --> 01:24:21.940]   yeah. I mean, I should be able to jump that high. And you're like, let's hold, hold on for a second here.
[01:24:21.940 --> 01:24:29.460]   I mean, you are not the same, barely the same species. So similarly, after that, the biggest
[01:24:30.020 --> 01:24:37.460]   psychological reprieve was spending time with more people and the podcast was intrinsically social.
[01:24:37.460 --> 01:24:42.580]   Yeah. It was having conversations with people I deeply cared about in the beginning. It was close
[01:24:42.580 --> 01:24:49.140]   friends and then people I was, uh, whose, whose work or lives I was deeply interested in. Yeah. It was,
[01:24:49.140 --> 01:24:53.140]   it had a social piece built into it and it doesn't have the footprint on the rest of your life.
[01:24:53.940 --> 01:24:59.300]   Yeah. Book writing. I'm writing a book now. It, it, you know, I, I'm never not writing a book,
[01:24:59.300 --> 01:25:04.420]   but man, it gets brutal because it wants it. You want every moment of your life that you're not
[01:25:04.420 --> 01:25:09.380]   writing. You're a little bit worried. I probably should be writing. Cause that's, that's the thing
[01:25:09.380 --> 01:25:16.020]   about writing, which is it's, it's so for instance, right. With, with coyote, with this game, it's like,
[01:25:16.020 --> 01:25:23.060]   yes, because of the way my mind works, I thought about it a lot while doing other things, but books
[01:25:23.060 --> 01:25:30.180]   are a different level of preoccupation and not preoccupation necessarily in a negative way. But
[01:25:30.180 --> 01:25:36.900]   when you are not writing, if you're taking a book really seriously, you are consciously or subconsciously
[01:25:36.900 --> 01:25:44.420]   thinking about the book. Yeah. It's, it's, it's, it is kind of an all consuming thing,
[01:25:44.420 --> 01:25:50.260]   at least in my experience. And it sounds like it to, to, to, to a greater or lesser extent your
[01:25:50.260 --> 01:25:55.380]   experience as well. But it has to be, it's like, you can do the math. It needs about X number of
[01:25:55.380 --> 01:26:00.740]   thousands of hours of concentrated attention to generate enough words for the book. So like you just,
[01:26:00.740 --> 01:26:05.380]   you're, you're in the red massively when you start writing a book and like, I have to,
[01:26:05.380 --> 01:26:10.900]   this needs 10,000 hours of attention or whatever the actual time is. And so it's a, it's not just,
[01:26:10.900 --> 01:26:16.100]   oh, it's, um, in a degenerate way occupying my mind. It really shouldn't, it's distracting me by showing
[01:26:16.100 --> 01:26:21.540]   it. It's like, no, it like needs, if I don't get another 50 hours in this week on this, I'm kind of
[01:26:21.540 --> 01:26:27.060]   falling behind, like how it has to have making my cortisol go up, just listening to you. You can
[01:26:27.060 --> 01:26:32.740]   tell I'm, yeah, you're, I'm on, I'm on a New Yorker deadline right now. So like I had to take a step
[01:26:32.740 --> 01:26:37.220]   away from my book and it's stressful every day. I'm like, these are days I could be writing
[01:26:37.220 --> 01:26:42.340]   glutton for punishment. Yeah. You should get your Opus day whips out and just do that while you're
[01:26:42.340 --> 01:26:47.380]   sitting. I've got the thing wrapped around my leg right now. Yeah. I was asked to do a speaking thing
[01:26:47.380 --> 01:26:53.380]   for Opus day once that this is the, I mean, back in the early days in Cambridge. Yeah. Wild. Okay.
[01:26:53.380 --> 01:26:57.860]   Interesting. Uh, if you haven't seen the Da Vinci code movie, you can get a preview. It was exactly
[01:26:57.860 --> 01:27:02.020]   like that. Yeah. It was exactly what I was very much like Tom Hanks in that movie.
[01:27:02.020 --> 01:27:06.660]   It was an albino who was whipping himself. It was an odd, it was an odd, it was just him. It was a weird
[01:27:06.660 --> 01:27:11.460]   speaking of it. It was just two of us in a room, just in a room hitting each other with whips, but uh,
[01:27:11.460 --> 01:27:15.300]   good money though. So, you know, yeah, you know, but the money was so good. Yeah. Yeah. Uh,
[01:27:15.300 --> 01:27:20.500]   I remember BJ Novak, who's famous from the office, writer, director, actor, extraordinary.
[01:27:20.500 --> 01:27:26.420]   And one of his tips, this helped me to say no to a lot of stuff actually was
[01:27:26.420 --> 01:27:31.380]   effectively, I'm paraphrasing, right? This podcast was a long time ago, but whenever you say
[01:27:31.380 --> 01:27:35.540]   blah, blah, blah, blah, blah, blah, blah, blah. But the money's so good. Whenever there's a,
[01:27:35.540 --> 01:27:42.740]   but the money's so good or some variation of that, that is a clear red light. Stop and take a really close
[01:27:42.740 --> 01:27:48.660]   look about whatever it is that you're considering doing. Yeah. If there's an and it's different.
[01:27:48.660 --> 01:27:53.060]   Yeah. And the money is also really good. And the money happens to be great. That's a different thing.
[01:27:53.060 --> 01:27:58.580]   The money is so good. Podcasting seems like the, at least it was, and then I'm going to ask you if this
[01:27:58.580 --> 01:28:04.180]   is changing, but like, it seems like the, the perfect refuge from that, right? Because for whatever reason,
[01:28:04.180 --> 01:28:10.660]   unlike these other industries, you could just podcast and be good at it and successful at it. And people are
[01:28:10.660 --> 01:28:15.940]   happy to listen to your show and there was no one, no one, not, there's no scaffolding of people
[01:28:15.940 --> 01:28:19.700]   knocking on the door and be like, great. Now come do this time consuming thing or that time. It could
[01:28:19.700 --> 01:28:26.660]   just exist as a creative skilled thing where people were just happy for you to do this creative skill
[01:28:26.660 --> 01:28:30.500]   thing. There's just not that many people, you know, you have to deal with like ads or something like
[01:28:30.500 --> 01:28:36.420]   that. I mean, so did you find, I've loved it about podcasting is that no one else bothers you.
[01:28:36.420 --> 01:28:40.500]   Do you think it's still that, is it going to stay there? I mean, I'm curious about your trajectory
[01:28:40.500 --> 01:28:44.260]   because you were there early. Like, are you stick, are you sticking around in podcasting? Are you
[01:28:44.260 --> 01:28:47.940]   changing? Like, well, how do you, what's your read? You got to help me here. What's your read on what's
[01:28:47.940 --> 01:28:52.740]   happening in this industry? What's your relationship to it? Like, is it still going to be this great refuge for
[01:28:52.740 --> 01:28:57.700]   people like semi-introverted creative people like us? I think, I think, I think it will be, uh,
[01:28:57.700 --> 01:29:08.420]   it can, it can continue to be a refuge, but I think it requires setting rules and policies that you've
[01:29:08.420 --> 01:29:14.420]   thought through very carefully, at least in my case. So I found myself getting pulled into the floats and
[01:29:14.420 --> 01:29:22.100]   jets of all sorts of things and then put out, and this is one of the benefits of having a blog, by the way,
[01:29:22.100 --> 01:29:27.620]   anyone can have a blog, but you put out a public policy, which depersonalizes saying no to a lot
[01:29:27.620 --> 01:29:31.700]   of people. Cause you can just say, Hey, I put this up six months ago. I got to follow my advice.
[01:29:31.700 --> 01:29:36.500]   Cause you have an interview show. So everyone is probably saying, yeah, can I come on that?
[01:29:36.500 --> 01:29:41.540]   Exactly. And so I put up, you know, some new rules for podcasting to keep it interesting,
[01:29:41.540 --> 01:29:44.900]   something like that and explain, it's like, okay, here are the rules I'm going to follow.
[01:29:44.900 --> 01:29:51.780]   And I was actually literally just having a conversation with one of my, uh, employees who's like the,
[01:29:51.780 --> 01:29:58.260]   the COO producer of editorial handles a lot of the podcast logistics and we had a possible guest,
[01:29:58.260 --> 01:29:59.140]   great guest,
[01:29:59.140 --> 01:30:07.300]   but a list celebrity and has been on before amazing conversation.
[01:30:08.260 --> 01:30:13.940]   but the rule that I set in that new blog post was I'm not doing book launches anymore. I won't be one
[01:30:13.940 --> 01:30:22.980]   of 20 podcasts that come out the same week and because it's, it seems redundant. And what I will do
[01:30:22.980 --> 01:30:30.740]   though, like if I'm going to consider any book I need to, I need to record and publish three months ahead of
[01:30:30.740 --> 01:30:38.660]   publication. And that rules out a million people because they don't have the necessarily the forethought
[01:30:38.660 --> 01:30:43.380]   to do that or they missed the post or whatever, but I can still point to it. And in this particular case,
[01:30:43.380 --> 01:30:51.620]   this is, this is an amazing guest who is incredibly good in conversation and at telling stories on
[01:30:51.620 --> 01:30:57.300]   podcasts. I mean, a plus plus plus, but they were definitely not going to do me any favors. So it would
[01:30:57.300 --> 01:31:00.580]   have been at the same time as everybody else. And I said to my producer, I just said, look,
[01:31:00.580 --> 01:31:07.300]   if I show people that I am not following my own rules, no one's going to respect my rules.
[01:31:07.300 --> 01:31:08.660]   Yeah. And rightly so.
[01:31:08.660 --> 01:31:13.380]   They're like, look, you had, you had Brad Pitt on during the F1 launch, like everyone else.
[01:31:13.380 --> 01:31:20.420]   So like now you can have me on the talk about my ebook, whatever it is. And which is not to
[01:31:20.420 --> 01:31:27.620]   cast aspersions on anyone or what they're doing. But for me, it really comes back to like, for me to
[01:31:27.620 --> 01:31:36.900]   continue to have the energy and the love of the game to do this long term, I just for myself realized I
[01:31:36.900 --> 01:31:42.660]   need to change a bunch of different rules. So another one was, for instance, I want to have
[01:31:42.660 --> 01:31:49.620]   a barbell approach to most guests on the show, most guests on the show, which is sort of everybody knows
[01:31:49.620 --> 01:31:55.300]   them or almost no one knows them. Right. You're trying to stay away from like the, the very highest point
[01:31:55.300 --> 01:32:04.340]   of the, of the bell curve distribution there. And these are kind of arbitrary in a sense, but
[01:32:04.340 --> 01:32:12.260]   that's rules. And sometimes there is no perfect line that you can point to. So you have to pick a line.
[01:32:12.260 --> 01:32:19.220]   This is true with moral judgments also and ethics, right? Like sometimes it seems arbitrary, but often
[01:32:19.220 --> 01:32:24.660]   it's always going to be arbitrary. So you must pick a line so that you can make decisions. And
[01:32:24.660 --> 01:32:32.420]   it's, it's, it's a hell of a thing. Podcasting, I think will continue to be a refuge. If you want
[01:32:32.420 --> 01:32:40.500]   to play in the major leagues using video as a growth engine, then there are a lot of compromises compared
[01:32:40.500 --> 01:32:48.180]   to what you are, you and I are accustomed to doing. And many of those compromises would require doing
[01:32:48.180 --> 01:32:52.980]   things that are completely antithetical to my reasons for starting and enjoying a podcast in the first
[01:32:52.980 --> 01:32:59.460]   place. So I have accepted that I'm going to make, this has been true for probably a number of years,
[01:32:59.460 --> 01:33:07.860]   significant economic compromises and growth compromises in order to continue doing this,
[01:33:07.860 --> 01:33:15.060]   the way that I enjoy doing it. And what that means is I think for a lot of podcasts
[01:33:16.100 --> 01:33:21.460]   that are not fixed location, TV shows, right? If it's like to call them podcasts now, it's even kind
[01:33:21.460 --> 01:33:25.620]   of silly. There is an audio component. Yeah. They're TV shows that have an audio feed
[01:33:25.620 --> 01:33:28.500]   for people who want to just do the audio.
[01:33:30.180 --> 01:33:36.660]   uh, I think it will return to some of the early days, right? It'll be, it'll be more like
[01:33:36.660 --> 01:33:48.180]   20 17, maybe 2016 for a lot of folks. And I'm totally, I'm totally fine with that. I'm totally fine with
[01:33:48.180 --> 01:33:56.100]   that because I love having these conversations. And I, I, the only thing that grows without restraint is a
[01:33:56.100 --> 01:34:01.380]   cancer. So you gotta be careful which like professional cancers you choose. And, uh, that,
[01:34:01.380 --> 01:34:06.420]   that isn't to say you can't have something very big that is very good. You can, but in my particular
[01:34:06.420 --> 01:34:14.260]   case, I need to be very personally interested in whatever we're talking about. Yeah. At least that's my
[01:34:14.260 --> 01:34:18.420]   bar because I have all these other things. I don't need to do the podcast. You know, it's like,
[01:34:18.420 --> 01:34:22.260]   I've got the angel investing and the book writing and the game and I'm going to try all sorts of other
[01:34:22.260 --> 01:34:27.220]   harebrained stuff. I mean, you're about to become a billionaire. You're going to get that card game
[01:34:27.220 --> 01:34:34.740]   money to get that bank. Yeah, exactly. Exactly. Scrooge McDuck backs backstroking through my, my pool of gold
[01:34:34.740 --> 01:34:43.860]   coins. Um, and it's, it's this, this is also the, my assumption with any of these projects, whether it's
[01:34:43.860 --> 01:34:49.220]   the podcast, right, which I gave myself a graceful exit from if needed. When I started, I just told
[01:34:49.220 --> 01:34:52.980]   my audience, all right, I'm going to try like six to 10 episodes and see how this goes. And I expect
[01:34:52.980 --> 01:34:57.620]   I'll learn these following things, even if I shut it down. Same thing goes with the game. It's like,
[01:34:57.620 --> 01:35:03.300]   I have no idea what kind of doors are going to open, what type of email are going to come over the transom,
[01:35:03.300 --> 01:35:10.980]   what type of opportunities might kind of present themselves in one way or another. So if you were to ask me,
[01:35:10.980 --> 01:35:15.060]   what are you doing after the game? I have no idea. I have no idea. I mean, I'll continue doing the podcast
[01:35:15.060 --> 01:35:20.100]   because having these conversations, right, seeing your face, having this conversation,
[01:35:20.100 --> 01:35:28.180]   just again, coming back to evolved what we have evolved for. It's like, it's very nourishing for me, right?
[01:35:28.180 --> 01:35:34.260]   Like I'm in a good mood. And that's why you care so much about making it sustainable for you. So you can keep
[01:35:34.260 --> 01:35:38.500]   doing it. Like that's the plan is like, you're continually looking for some kudzu has grown in.
[01:35:38.500 --> 01:35:42.980]   Let's trim that off because I want this to be able to keep going. What is a kudzu?
[01:35:42.980 --> 01:35:49.300]   It's an invasive plant that has like native to the like American South that has sort of taken
[01:35:49.300 --> 01:35:54.100]   over a lot of places, maybe like barnacle on the side of the sailing ship. Like you're like,
[01:35:54.100 --> 01:35:59.860]   I got to get those off so this can keep moving. Yeah. Yeah. I mean, if I really think about
[01:36:02.020 --> 01:36:07.380]   pruning as much as adding, I love Japan. I, my first time ever outside of the United States was
[01:36:07.380 --> 01:36:13.220]   as an exchange student when I was 15, going from Long Island to Tokyo, which completely shattered my
[01:36:13.220 --> 01:36:19.460]   mind in a great way for, for, it took a long time for me to get used to being in Tokyo, but
[01:36:19.460 --> 01:36:28.020]   shoot the Japanese aesthetic, uh, to paint with a broad brush of some of these gardens where you'll visit
[01:36:28.020 --> 01:36:32.340]   some of these gardens and you'll see someone on the ground with toenail clippers basically
[01:36:32.340 --> 01:36:39.300]   pruning away at moss, which is not to say that's what I want to do, but what you remove mattering as
[01:36:39.300 --> 01:36:49.220]   much as what you add. I like that. It appeals to me, the, the, the, the, not because it's minimal, but because
[01:36:49.220 --> 01:36:57.780]   it's elegant, like I love elegance in every possible form, whether it's calligraphy, whether it's art,
[01:36:57.780 --> 01:37:02.660]   like a Frank Miller, for instance, legendary comic book writer and artist, one of the
[01:37:02.660 --> 01:37:06.580]   few people in the w yeah, actually. So yeah.
[01:37:06.580 --> 01:37:12.180]   Yeah, that was Alan Moore. He, so Frank, he had like a dark Batman or something at some point.
[01:37:12.180 --> 01:37:17.780]   Yeah. The, the dark night he did since city 300 since city is what I was thinking. He's got tons and
[01:37:17.780 --> 01:37:23.460]   tons, but one of the few people to be a top five writer of all time, let's just say, and a top five
[01:37:23.460 --> 01:37:31.540]   artist. That's unheard of. And his style has gotten more and more economical, but economical sounds like
[01:37:31.540 --> 01:37:36.980]   you're selling widgets. It's become more and more elegant. Like what he can transmit with fewer lines
[01:37:36.980 --> 01:37:40.900]   has become more and more powerful. Do you think this is possible with podcasts?
[01:37:40.900 --> 01:37:45.220]   You're saying you want to get like, what is the core like for you? It's like, is it, if it's the
[01:37:45.220 --> 01:37:50.340]   conversation, there's the, some platonic ideal of like the interesting conversation, like, let me carve
[01:37:50.340 --> 01:37:55.220]   everything else out of it. Like we don't need a camera on a boon. Yeah, totally. Which I've been on
[01:37:55.220 --> 01:38:05.300]   those shows before. Yeah. And frankly, um, I, you can just, uh, the, listen to your inner animal too.
[01:38:05.300 --> 01:38:15.940]   It's like, what pleases you? It seems maybe primitive, but I mean, our biology has millions of years of
[01:38:15.940 --> 01:38:24.100]   fine tuning pre language. So, so just paying attention to that, like, this is super fun for me.
[01:38:24.100 --> 01:38:29.140]   So if, if I'm, I'll probably sit down and have some tea after this, maybe do some journal and be like,
[01:38:29.140 --> 01:38:35.540]   okay, why was that fun? What was it? Right. It was cause Cal's a sweet, swell, smart guy. Like that's,
[01:38:35.540 --> 01:38:40.580]   that's definitely part of it. Not to, not to, you know, buddy you up too hard, but it's like, that's a part of
[01:38:40.580 --> 01:38:46.340]   it. And we have some, we have quite a bit of kind of shared history. So that's a piece of it for sure.
[01:38:46.340 --> 01:38:53.540]   Uh, you also see things, observe things that other people often don't, right? So the trajectory that you
[01:38:53.540 --> 01:39:00.340]   pointed to like that discussion I haven't had before and the list could go on and on. Like maybe it's time
[01:39:00.340 --> 01:39:08.660]   of day. Okay. Like before getting reactive with any kind of inbox or anything, I did this. I happen to
[01:39:08.660 --> 01:39:13.780]   think that's really important. I'm also creating something before I do any management, right? So
[01:39:13.780 --> 01:39:22.740]   making before you manage for me psychologically, psycho emotionally, huge, huge thing. I don't feel
[01:39:22.740 --> 01:39:28.500]   like I'm just slapping duct tape on holes in a ship or putting out fires, right? This is something else
[01:39:28.500 --> 01:39:36.100]   entirely like this. And so paying attention to that and then testing, okay, let's follow these rules.
[01:39:36.100 --> 01:39:39.540]   Right. And I put in the blog posts of my new rules. I was like, yeah, I could revise these at
[01:39:39.540 --> 01:39:44.100]   any point. If these are dumb, if they don't work, yeah, I'll change them. It's your life.
[01:39:44.100 --> 01:39:50.500]   I'm going to do something similar with the podcast where we're just in our talking about timing and I'm
[01:39:50.500 --> 01:39:55.700]   time of day is very relevant because I'm realizing, I think the best time for me to record my show where
[01:39:55.700 --> 01:40:00.340]   it's just monologue, it's like, I think it needs to be at the end of the day because I was finding
[01:40:00.340 --> 01:40:06.420]   like, okay, you have a show. It's like midday. I'm prepping. We record. I can't do anything else
[01:40:07.060 --> 01:40:12.580]   after that. I don't want to do anything else. I can't go into my email inbox after that or whatever.
[01:40:12.580 --> 01:40:15.860]   And so it was like crushing days. I was like, actually, this should be like the end of the day.
[01:40:15.860 --> 01:40:20.900]   Like we record above a restaurant. There's kind of like an energy to it. And then you can just be like
[01:40:20.900 --> 01:40:26.180]   done with work. And I was thinking like, yeah, that's the whole point is like with this medium,
[01:40:26.180 --> 01:40:30.900]   make it the way you want it to be. Yeah. How should it be? It should be like one day a week. It should be,
[01:40:30.900 --> 01:40:35.300]   do it in the evening. It should be, we decompress at the bar downstairs, whatever it needs to be like,
[01:40:35.300 --> 01:40:44.020]   why not? It's something we can still own. Yeah. And, and also just interrogating what rules you are
[01:40:44.020 --> 01:40:51.460]   playing by that are, that you can completely alter. Like what rules are you currently following? Let's
[01:40:51.460 --> 01:40:57.300]   start there. And how can you play with them? Do a two week experiment. And, and you and I have landed
[01:40:57.300 --> 01:41:02.100]   in the same place, by the way, with in your case, kind of the monologue, but in my case,
[01:41:02.100 --> 01:41:09.860]   it's like, there's a reason why, you know, we're doing this conversation morning, like my time and
[01:41:09.860 --> 01:41:18.260]   your time. And then I'm recording my own show later as a bookend at the end of the day, because I know
[01:41:19.220 --> 01:41:25.700]   like this is my show and doing my show can be energizing, but there's a lot of heavy lifting
[01:41:25.700 --> 01:41:33.540]   also. And particularly if it's very technical, this is going to be a researcher and a, and a professor and,
[01:41:33.540 --> 01:41:40.180]   and ophthalmology, it's going to be very technical, uh, practical, but technical. So I know that after
[01:41:40.180 --> 01:41:44.580]   that I'm going to be, that's like after doing a VO two max workout or something, I'm going to be
[01:41:44.580 --> 01:41:50.420]   spent and that'll be a great place to just like wipe the sweat off my brow and have a snack and
[01:41:50.420 --> 01:41:54.820]   jump in the pool or something like that at the end of the day. So let's take the order matters.
[01:41:54.820 --> 01:42:01.620]   And, uh, over time you can just pay attention to like how your body feels. Are you excited to hop on?
[01:42:01.620 --> 01:42:07.780]   Like I was excited to hop on and see and catch up and just riff because I knew that it would be also
[01:42:07.780 --> 01:42:10.980]   unexpected in terms of direction, which is fun for me.
[01:42:10.980 --> 01:42:15.300]   Not as excited as you'll be for the ophthalmologist though, because that's going to, that's going to bang
[01:42:15.300 --> 01:42:15.940]   right there.
[01:42:15.940 --> 01:42:20.980]   Well, do you know, not to be an ophthalmologist. So I guess I should, I should eat my words.
[01:42:20.980 --> 01:42:26.260]   Yeah. And this also not to turn this into a, Oh, woe is me. You know, I remember back when we were
[01:42:26.260 --> 01:42:33.300]   youngsters, but, uh, very personal interest, right. For the last year, for the first time I've had presbyopia,
[01:42:33.300 --> 01:42:39.460]   which is age related visual decline. Um, also interestingly, cause I looked it up cause I was
[01:42:39.460 --> 01:42:44.900]   like, is that the same as Presbyterian, like the etymology? And it is Presbyterian is something like
[01:42:44.900 --> 01:42:52.980]   governed by the old governed by elders. So the actual word origins are related, but, uh, presbyopia,
[01:42:52.980 --> 01:42:57.940]   it's like, okay. Like looking at my phone, looking at supplement bottle, the looking at a menu and dim
[01:42:57.940 --> 01:43:02.180]   light, all of that has started to go. And I'm like, I don't like it. I don't like it. I do have some glasses,
[01:43:02.180 --> 01:43:10.260]   but I. Welcome to my life. Yeah. I don't want to immediately hop to that. So. Oh, super. You're,
[01:43:10.260 --> 01:43:15.700]   you're swimming against the current here. I was just complaining to my wife before I got on the air here.
[01:43:15.700 --> 01:43:21.220]   I literally said I was at a cop, my, my coffee shop down the block trying to read a book. And I was like,
[01:43:21.220 --> 01:43:26.740]   it's too dim in there. I was like, I can't read that. It's too dim. I laugh because it's sad and it's
[01:43:26.740 --> 01:43:31.300]   true. And it's also has been my experience. Well, I'll tell you something crazy, which it could be
[01:43:31.300 --> 01:43:38.500]   placebo effect. So I don't want to get too ahead of myself, but I've been, I've been experimenting with
[01:43:38.500 --> 01:43:46.420]   software from this tiny startup and it is intended to train simplifying it here. But instead of doing
[01:43:46.420 --> 01:43:53.860]   anything to your eye structurally, it's training your visual cortex to, to reinterpret information
[01:43:54.500 --> 01:44:02.100]   and to improve your reaction speed in ways that actually change your near vision and have only been
[01:44:02.100 --> 01:44:11.540]   doing it for 26 days. It's like eight minutes a day. It seems to be helping. It seems to be helping,
[01:44:11.540 --> 01:44:15.780]   which is, and it's different from visual education where you're training the muscles in the eye.
[01:44:15.780 --> 01:44:22.500]   This is what I've heard about. This is, this is training your brain. So super interesting. I tell
[01:44:22.500 --> 01:44:28.100]   you what, I realize I'm swimming against the current, but this is also kind of what I do.
[01:44:28.100 --> 01:44:32.500]   Right. I get my Tim, this is like Tim Ferriss. Yeah, this is peak Tim Ferriss. I get my kicks out of like,
[01:44:32.500 --> 01:44:41.860]   okay, I am going to go all in and then I'm going to find all this stuff. And I need someone to tell me if
[01:44:41.860 --> 01:44:46.980]   I am being a crazy person. So this interview is actually happening. Okay. So I, so I get,
[01:44:46.980 --> 01:44:52.660]   so I get somebody on who can be like, that's interesting. That's nonsense. Further studies
[01:44:52.660 --> 01:44:57.140]   needed, but like trial data, actually pretty interesting. Don't do this. That's a terrible
[01:44:57.140 --> 01:45:00.580]   idea. You're actually going to blind yourself if you look into whatever, whatever for 20 minutes a day,
[01:45:00.580 --> 01:45:05.540]   don't do that. And that's great. So, okay. All right. Well, now I will look forward to that.
[01:45:05.540 --> 01:45:06.980]   Yeah. I'm bringing the adults into the room.
[01:45:06.980 --> 01:45:11.700]   All right. Fine. Final question. What's your, have you found this because you've been
[01:45:11.700 --> 01:45:16.500]   at this longer than me, have you found the sweet spot for staff size? What does it take to run?
[01:45:16.500 --> 01:45:19.940]   I know it's confusing because you don't just podcast, but what does it take to run,
[01:45:19.940 --> 01:45:28.020]   you know, um, Tim Ferriss allied conglomerate? Yeah. Tim Ferriss, uh, international allied media,
[01:45:28.020 --> 01:45:38.420]   HQ. Yeah, exactly. Uh, I think that I am excessive in my fixation on leanness and elegance. I think,
[01:45:38.420 --> 01:45:46.500]   I think sometimes I overdo it actually often I overdo it, but what I can, what I can say is what
[01:45:46.500 --> 01:45:52.900]   currently works for me after a lot of testing. Uh, and I will also preface that by saying,
[01:45:52.900 --> 01:45:54.500]   I think I am,
[01:45:54.500 --> 01:46:02.180]   and, uh, maybe this for another call, but I think I'm a very good leader, but a very mediocre or average
[01:46:02.180 --> 01:46:11.780]   manager. Right. So I really require people who are incredibly self-sufficient and self-driven and who
[01:46:11.780 --> 01:46:15.860]   have a lot of self-inquiry, which often requires a lot of self-awareness. And those people are just
[01:46:15.860 --> 01:46:24.020]   very, very, very hard to find. Uh, but you can build them, uh, from starting with simpler tasks and then
[01:46:24.020 --> 01:46:28.340]   cultivating that if they have the raw characteristics, you break them down psychologically.
[01:46:28.340 --> 01:46:33.940]   No, yeah. Yeah. Yeah. Yeah. Yeah. Tim Ferriss. The training center you have, the
[01:46:33.940 --> 01:46:42.020]   reeducation center. Yeah. Please relinquish your phone. Uh, so currently I have three full-time employees,
[01:46:42.900 --> 01:46:52.660]   uh, and a lot of contractors and I have tried to contract out as much as humanly possible.
[01:46:52.660 --> 01:47:00.180]   So this will certainly have echoes of four hour work week, right? So my staff size compared to my
[01:47:00.180 --> 01:47:10.980]   business has not scaled proportionally. Uh, what I will say is contractors have, and people might say,
[01:47:10.980 --> 01:47:15.460]   well, what's the difference? Well, if you live in the U S there are a lot of differences here.
