
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[02:42:20.420 --> 02:42:23.700]   do this. I'm going to tear down a wall in my house. I'm going to put it in Avid. I'm going to cut my
[02:42:23.700 --> 02:42:27.540]   next movie. And he did. He got an Oscar for editing Titanic. He had two other editors,
[02:42:27.540 --> 02:42:32.500]   but now no one ever took him for a ride like that again. He edits on every movie. He has other editors,
[02:42:32.500 --> 02:42:37.300]   but he can go do his own cuts. When he shows me like footage, he's showing me himself on his own
[02:42:37.300 --> 02:42:44.260]   machine. And it's like, again, it gives you all those tools to be able to really find your vision
[02:42:44.260 --> 02:42:47.460]   that you're looking for, because you can't always explain it to somebody because you don't always
[02:42:47.460 --> 02:42:50.660]   know yourself. It's part of, you kind of come up with it as you do the process.
[02:42:50.660 --> 02:42:54.420]   Just a small tangent about the different software and the technologies involved. So you mentioned
[02:42:54.420 --> 02:42:56.340]   Avid as Premiere Pro.
[02:42:56.340 --> 02:43:00.180]   Premiere was still in its early stages then. I think Soderbergh looked at it and he said,
[02:43:00.180 --> 02:43:04.180]   yeah, I can't afford an Avid for this movie. I'm going to go do it. I think he started cutting on
[02:43:04.180 --> 02:43:08.900]   Premiere, but I'm sure it's all better now. I just have always used an Avid because I just always
[02:43:08.900 --> 02:43:13.140]   ran it back to the same production. I think I've just, I don't have to buy a new one, but there's
[02:43:13.140 --> 02:43:15.940]   lots of good, I've heard about all kinds of systems. I just use the same one.
[02:43:15.940 --> 02:43:19.860]   I guess that's the question I have for you. It's just interesting for people. It's very
[02:43:19.860 --> 02:43:24.980]   interesting to me, just the details. Use Avid. What do you like? Multiple monitors, one monitor.
[02:43:24.980 --> 02:43:29.380]   I have a couple of monitors and then one big monitor to watch it if I'm watching the scene
[02:43:29.380 --> 02:43:33.060]   back because the monitors are still a little wacky. I mean, if I were to design my own system,
[02:43:33.060 --> 02:43:38.340]   I'd probably design it differently, but I'm literally, I've worked on that thing since 94.
[02:43:38.340 --> 02:43:42.100]   I still don't know all the shortcuts and all that shit. I still use it like my tape deck,
[02:43:42.100 --> 02:43:47.540]   play, rewind, pause, and I can cut so fast with that. I don't use the mouse for shortcuts. I'm just like,
[02:43:47.540 --> 02:43:53.460]   like, so you found your way, preferred way, the workflow of using it. And now you can
[02:43:53.460 --> 02:43:56.820]   sort of let go of the technical and then be creative.
[02:43:56.820 --> 02:43:59.620]   Yeah. Just be creative. It's just a tool. It's just a tool. And it's like,
[02:43:59.620 --> 02:44:03.460]   it doesn't matter which system it is. It's like, if you can get it to work for you, great. Like,
[02:44:03.460 --> 02:44:07.380]   there's a lot of problems I have with it that I would, I know are probably fixed on another system,
[02:44:07.380 --> 02:44:11.300]   but that they'll have a whole other set of problems. So it's like, well, why bother with that?
[02:44:11.300 --> 02:44:15.620]   You know, there's limitations. I think that it has that would need to be fixed, but not for what I'm doing.
[02:44:15.620 --> 02:44:17.220]   I mean, I can still do what I need.
[02:44:17.220 --> 02:44:23.060]   It feels like part of the artistry is every system has limitations and you learn how to work around those limitations.
[02:44:23.700 --> 02:44:31.300]   I mean, my first VCRs, like those things, those things were, I was always known for taking what
[02:44:31.300 --> 02:44:36.180]   little basic equipment and milking the shit out of it, what it could, pushing the boundaries of what
[02:44:36.180 --> 02:44:41.540]   it can do. And now it's flipped. Now you're working on a program and you can spend 10 years on this thing
[02:44:41.540 --> 02:44:46.580]   and you're scratching the surface of what it's capable of. It's totally flipped the other way. I'm not milking
[02:44:46.580 --> 02:44:53.060]   anything anymore. I'm, I'm barely getting, you know, the smallest capability of it. Cause I would
[02:44:53.060 --> 02:44:57.060]   have to spend a lot of time to figure out all the stuff that it can possibly do. And I'm sure it's,
[02:44:57.060 --> 02:45:01.380]   it's all great, fantastic stuff, but what a different world than when I grew up where it was like, okay,
[02:45:01.380 --> 02:45:07.140]   let me splice these two sound things together. And it was so hard to get it to do, but people would be
[02:45:07.140 --> 02:45:12.020]   like, you got that movie out of that equipment where now it's the other way around. You know, it's like,
[02:45:12.020 --> 02:45:15.300]   all this equipment is great. So when people come to me and say, I've got, well,
[02:45:15.300 --> 02:45:19.140]   I've only got this camera. I was like, the camera's 10 times better than anything I had
[02:45:19.140 --> 02:45:24.340]   for my first 15 years of filmmaking. So you have no complaints. This is like,
[02:45:24.340 --> 02:45:26.340]   you can just start now and just start making stuff.
[02:45:26.340 --> 02:45:31.300]   Uh, I have a lot of friends who are huge fans of your, uh, movies. So one of them asked me that
[02:45:31.300 --> 02:45:34.580]   I'm absolutely must ask you, do you know if there's a sequel of Alita coming?
[02:45:34.580 --> 02:45:38.660]   Oh, we're working on it. We're definitely working on it. Jim and I both want to make it,
[02:45:38.660 --> 02:45:43.860]   but it's usually when we meet, we talk about it. Um, I gave him something to read,
[02:45:43.860 --> 02:45:47.700]   you know, he's a little busy with his avatar movie, but I'm going to get,
[02:45:47.700 --> 02:45:51.140]   I'm going to see him again soon and we'll see where it's at, but we would love to make another
[02:45:51.140 --> 02:45:53.940]   one. We have ideas on how to do it. Cause it was always built to be a trilogy.
[02:45:53.940 --> 02:45:59.220]   And, uh, he sees that there's a lot of love for it. It was just weird. Cause it was Fox movie
[02:45:59.780 --> 02:46:04.420]   and they got bought by Disney, you know, and then, so they weren't really making Fox movies
[02:46:04.420 --> 02:46:08.420]   because they had enough, had enough work with their Disney movies, but now they started to make some
[02:46:08.420 --> 02:46:12.980]   Fox movies. Like they did Deadpool and some Fox movies are starting to get made. So
[02:46:12.980 --> 02:46:17.060]   time might be right for us to come back and do an Alita.
[02:46:17.060 --> 02:46:23.300]   No, I hope you do soon. It's a, but it is, I mean, you do so many different kinds of movies.
[02:46:23.300 --> 02:46:25.220]   That's a whole different kind of puzzle, right?
[02:46:25.220 --> 02:46:29.300]   Yeah. No, but it's not a bad one. It's a good one. It's a cool. It's one of the few,
[02:46:29.300 --> 02:46:34.660]   like usually I made kids, family kids, kids movies or R rated action horror movies. And that was the
[02:46:34.660 --> 02:46:38.820]   first time I got to do a PG 13 movie, which was kind of like, it had a lot of action, but it was for
[02:46:38.820 --> 02:46:41.460]   families could watch it too. And it's kind of like the best of all worlds.
[02:46:41.460 --> 02:46:47.940]   Have to ask you about Sin City. One of my favorite films of all time. It was a visually stunning world.
[02:46:47.940 --> 02:46:54.740]   What are some maybe interesting detailed aspects about you creating that world?
[02:46:54.740 --> 02:46:57.380]   This is why you just got to follow your nose and go do something, you know,
[02:46:57.380 --> 02:47:02.020]   Jim and I were both into 3d early on. Like I visited his set for the Terminator 3d ride.
[02:47:02.020 --> 02:47:05.380]   Just till dawn, I wanted to be 3d. Actually, when they got to the bar,
[02:47:05.380 --> 02:47:09.140]   if you watched from that point on and everything's kind of set up for three,
[02:47:09.140 --> 02:47:13.220]   everything was shooting into the camera and all this, but the cameras they had for 3d and film
[02:47:13.220 --> 02:47:18.100]   was those old shitty ones that were so bad that I went, okay, we can't do it. But I really wanted
[02:47:18.100 --> 02:47:22.820]   people to have to put on glasses when they got into the bar and it was going to turn into a 3d different
[02:47:22.820 --> 02:47:29.460]   movie. I got to do that on spike. It's 3d. So when I did spike, it's 3d. I thought, oh, if I get
[02:47:29.460 --> 02:47:36.340]   Jim's cameras that he's done for these underwater 3d, you know, documentaries, I can make the first digital
[02:47:36.340 --> 02:47:43.540]   3d film for theaters. And so I did. And it seemed like the easiest way was to utilize that when you
[02:47:43.540 --> 02:47:47.860]   put on the glasses, when you go into a game world. So there's a green screen and we shot all the actors
[02:47:47.860 --> 02:47:52.420]   on green screen for all the game stuff. And we can do a lot of 3d stuff coming at kids faces when they're
[02:47:52.420 --> 02:47:57.700]   reaching my 3d is, is not like the kind they have in theaters where it's very polite. Mine's like
[02:47:57.700 --> 02:48:02.660]   theme park 3d where kids are doing like that, trying to grab. That's why it was such a big hit.
[02:48:02.660 --> 02:48:07.540]   Nobody does 3d like that, but I wanted that. I want shit falling in people's laps, you know?
[02:48:07.540 --> 02:48:12.180]   So you remember, so you would go, okay, this is why I'm wearing the glasses and I'm wondering why.
[02:48:12.180 --> 02:48:15.300]   And when I went to go make my next movie, so this is how crazy is what we shot.
[02:48:15.300 --> 02:48:20.820]   Spike is three. Remember actually how fast they came out. That was in the summer of 2003.
[02:48:20.820 --> 02:48:26.500]   few months later, once upon a time, Mexico came out to number one movies. Both were finishing
[02:48:26.500 --> 02:48:34.100]   trilogies of mine. And each one starred Antonio, Danny Trejo, Cheech Marin. When I was editing those
[02:48:34.100 --> 02:48:37.380]   at the same time, you'd be like, whoa, they're killing people. The other ones are like with the
[02:48:37.380 --> 02:48:42.420]   kids going like, Hey family. So it was really, you know, fun. It was fun to, it's easier to do
[02:48:42.420 --> 02:48:45.700]   very different things than to do like two action movies or two family movies at the same time.
[02:48:45.700 --> 02:48:50.340]   But I was like, okay, what's my next movie going to be? Oh shit. How crazy is this? Okay.
[02:48:50.340 --> 02:48:53.620]   So Antonio is on the set. I'm going to shoot him out in half a day
[02:48:53.620 --> 02:49:00.420]   for Spike is 3d. Cause he's only in the last scenes on the green screen, shoot him to lunch.
[02:49:00.420 --> 02:49:03.940]   Okay. Now go away, put on your desperado outfit. Cause we owed some shots for once upon a time,
[02:49:03.940 --> 02:49:08.180]   Mexico on the green screen. He finished two trilogies in the same day. That's gotta be a
[02:49:08.180 --> 02:49:13.540]   first. If ever, no one's ever finished two trilogies in the same day. And it's just kismet,
[02:49:13.540 --> 02:49:19.060]   you know, it's just how it happened to happen that day was just luck or the universe or whatever,
[02:49:19.060 --> 02:49:25.140]   but I needed to get something new now. So I was looking through my bookshelves of inspiration
[02:49:25.140 --> 02:49:29.460]   and I picked up my sin city books, which I've had. I used to be a cartoonist and I always loved how he
[02:49:29.460 --> 02:49:33.700]   drew that. Every time I'd see a different edition, I'd buy it, go home and go, Oh, I already have this.
[02:49:33.700 --> 02:49:38.340]   I got like three copies of this already. And it would just always grab me by the throat. And I liked that
[02:49:38.340 --> 02:49:42.900]   he was a writer director in a way, cause he would not just wrote the comic, but he drew it too.
[02:49:42.900 --> 02:49:45.860]   A lot of times it's a different writer or different comic artists. He's like a real,
[02:49:45.860 --> 02:49:51.380]   like a kinship, you know, this is someone who writes and directs his own thing. But I was looking at it
[02:49:51.380 --> 02:49:55.060]   and I went, Oh shit, I know how to do this now. I just did it on the green screen. If I shoot this
[02:49:55.060 --> 02:49:59.620]   on green screen, the actors on green screen, I can make the backgrounds look just like this. And I can
[02:49:59.620 --> 02:50:05.300]   contrast up the actors and I could get this very graphic look, which sometimes for a window, it's just a
[02:50:05.300 --> 02:50:11.460]   white box. So it's even got a sliding scale for budget. If I run out of money, just put the actors
[02:50:11.460 --> 02:50:15.380]   in black and white, just put like a white dot behind him for a streetlight. And that looks just like the
[02:50:15.380 --> 02:50:21.780]   book. So I'm going to bring the book to life. So I'll show you how fast we go from development
[02:50:21.780 --> 02:50:27.700]   at troublemaker. It was October. Once upon a time, Mexico would come out.
[02:50:27.700 --> 02:50:33.540]   I was like, Oh shit, I know how to do this now since city. I'm going to do a test. I went to my green
[02:50:33.540 --> 02:50:36.740]   screen here in my studio. You'll see my green screen where I shot all these movies
[02:50:36.740 --> 02:50:41.620]   and I shot, you know, uh, my sister, myself, put it black and white.
[02:50:41.620 --> 02:50:48.340]   Looks just like the comic, but it's moving. So I, I call a, uh, comic book artist friend of mine,
[02:50:48.340 --> 02:50:52.740]   Mike Allred. And I said, uh, do you have Frank Miller's number? And he goes, yeah, I do. Okay.
[02:50:52.740 --> 02:50:57.300]   I'm going to call him up. So I called Frank Miller. Hey, it's Robert Rodriguez. I have a test. I'm
[02:50:57.300 --> 02:51:01.300]   going to show you for Sin City. I'm going to be in New York tomorrow. He's like tomorrow. Okay. Yeah,
[02:51:01.300 --> 02:51:06.900]   sure. Come by. Meet me at this bar. Okay. Book a flight for New York. I fly up there. I have my
[02:51:06.900 --> 02:51:14.180]   laptop just like this. I go to the bar, I show him what looks like an image from his comic and it starts
[02:51:14.180 --> 02:51:20.100]   moving. And he's like, wow, how did you do that? I said, I got my own studio and all this. And then
[02:51:20.100 --> 02:51:25.300]   I started telling him, man, let's make this movie. Cause no one had the rights to it. He never gave
[02:51:25.300 --> 02:51:28.740]   the rights to a studio. A lot of comics. Oh, one of your brothers bought this a while back,
[02:51:28.740 --> 02:51:33.140]   you know, or then you got to go through the studio. He still owned his own rights. In fact,
[02:51:33.140 --> 02:51:37.220]   he'd gotten burned by Hollywood so many times as a screenwriter that he said, fuck it. I'm going to
[02:51:37.220 --> 02:51:42.020]   go back and draw a comic. That's so raw that can never be made into a movie. So of course I call
[02:51:42.020 --> 02:51:47.780]   him, Hey, let's make a great movie. I show him how we can do it. And I go, I know you don't know me
[02:51:47.780 --> 02:51:51.540]   and you're not going to, you're going to have to earn, I have to earn your trust for you to give me
[02:51:51.540 --> 02:51:58.420]   your baby. Uh, but we can make this right away. And he's like, uh, he's all excited for about two
[02:51:58.420 --> 02:52:03.620]   seconds. And then he goes, Oh no, then we got to write a script. And then the studio is going to have
[02:52:03.620 --> 02:52:07.620]   notes. All that shit he's been through before. And it's not like that. I have a whole different
[02:52:07.620 --> 02:52:12.660]   setup. I got my own studio in Austin. This is how it's going to be. If you like this idea, I'm going to,
[02:52:12.660 --> 02:52:14.900]   you're not going to have to take any risk. Let me take all the risk.
[02:52:17.140 --> 02:52:20.180]   I'm going to go write the script myself next month. It's going to be unremarkable because
[02:52:20.180 --> 02:52:22.500]   I'm going to write it right out of your book. I'm going to just go to, I'm going to edit three
[02:52:22.500 --> 02:52:25.700]   of the stories down. I'm going to just take stuff out. Really. It might add a few things to connect
[02:52:25.700 --> 02:52:30.900]   it, but I'll write the script in December myself. No money involved. Then we'll call some actor
[02:52:30.900 --> 02:52:34.100]   friends of mine. We'll have them come to my green screen. We'll shoot the opening scene
[02:52:34.100 --> 02:52:40.900]   as a test, but it's also the opening scene. I'll do the effects myself. I'll do the sound,
[02:52:40.900 --> 02:52:46.340]   do the music. I'll do fake credits. We'll watch it together. If you like what you see,
[02:52:46.500 --> 02:52:50.980]   we'll make the movie. You give me the rights. Then if you don't like it, keep it. It's a short
[02:52:50.980 --> 02:52:56.820]   film to show your friends. Let's be really cool. He's like, all right. There's nothing on him to do.
[02:52:56.820 --> 02:53:02.260]   It's all in me. I write the script in December, January, Josh Arnett, Marlee Shelton, come down,
[02:53:02.260 --> 02:53:06.980]   fly Frank in shooting for 10 hours on my green screen. We shoot that opening sequence.
[02:53:07.140 --> 02:53:11.780]   Incredible opening sequence. Record his voiceover right then in my little voiceover booth.
[02:53:11.780 --> 02:53:17.540]   Marlee Shelton comes up. Why did I hire him to kill me? I don't know. Let's go ask Frank. He's right
[02:53:17.540 --> 02:53:22.740]   here. Let's go ask Frank. I want to know myself. He tells her and he's like, I want to do this movie.
[02:53:22.740 --> 02:53:27.700]   He's already, as I tell you, Frank, I used to be cartoonist. It's the same thing. You're already
[02:53:27.700 --> 02:53:32.740]   a director. You're just using a pen instead of a camera. The performances you get out of your paper
[02:53:32.740 --> 02:53:38.180]   actors are phenomenal. The shots you do are like beyond any DP has ever done. And the visual look,
[02:53:38.180 --> 02:53:42.580]   we've never seen that. I want to just take this and make it move. I just want the comic to move.
[02:53:42.580 --> 02:53:47.060]   Any other studio would just go make it look like any gritty crime movie and they would,
[02:53:47.060 --> 02:53:51.300]   they would miss the point that it's the visual is half of it. I want it to look just like this
[02:53:51.300 --> 02:53:54.740]   because it would be the boldest movie anyone's seen. Cause that's how it reads. When I read the
[02:53:54.740 --> 02:53:57.300]   book, it's like, if this was moving, it would be the most phenomenal movie.
[02:53:57.300 --> 02:54:03.460]   In fact, I asked him, do you ever feel like directing any, any of these short ones? I thought
[02:54:03.460 --> 02:54:06.900]   about directing the big fat kill, maybe as a short films. You should come direct that one.
[02:54:06.900 --> 02:54:09.780]   Shit. You should direct all of them with me. Cause I'm really copying it right out of a book. You
[02:54:09.780 --> 02:54:15.140]   should direct it with me. All right, let's go. So then, uh, January. Okay. So remember I met him
[02:54:15.140 --> 02:54:19.620]   in November. I wrote it in December, January. We shoot the test. Took me a couple of weeks to do
[02:54:19.620 --> 02:54:25.380]   the effects. He loves it. I make a meeting with Bruce Willis, show it to Bruce Willis. What's so cool
[02:54:25.380 --> 02:54:30.580]   about doing that opening scene is that any actor I show it to now, I show him the book, which is awesome.
[02:54:30.580 --> 02:54:35.300]   You'd be playing this character, but look at this test. Let me show you the book. What it looked like
[02:54:35.300 --> 02:54:42.820]   before I turned this test into a test watches it. Josh Arnett voiceover music titles. Come on.
[02:54:42.820 --> 02:54:48.260]   First name on the screen, Bruce Willis. And I go, Hey, look, you're in the credits. You have to do it
[02:54:48.260 --> 02:54:55.220]   now. Manifesting it. Right. He's like, shit, man, this is great. I'm in. He's in, go get everyone
[02:54:55.220 --> 02:55:00.740]   else from that. It was just easy to get. And we were filming the movie. So February,
[02:55:00.740 --> 02:55:07.140]   right. Building the few little sets we had, like the bar. I told Frank, we don't need to build a bar,
[02:55:07.140 --> 02:55:09.460]   but I'm going to go ahead and build a bar. So we have a place to go have script meetings.
[02:55:09.460 --> 02:55:13.380]   Everything else will be green screen. We'll build fake steps and things out of green.
[02:55:13.380 --> 02:55:17.060]   So we're doing that. And I'm casting the first one. We're shooting the movie by March,
[02:55:17.060 --> 02:55:25.140]   beginning of March. And I remember because my son was born March 3rd. And I was in LA for his birth
[02:55:25.140 --> 02:55:31.140]   because I was also recording the orchestra for the score I wrote somehow in the past few months for
[02:55:31.140 --> 02:55:39.220]   Kill Bill 2. That's how much stuff was going on. That's like when you just let it flow,
[02:55:40.260 --> 02:55:46.660]   you're just riding the wave. You're not doing any of that. So that's what's by staying in that
[02:55:46.660 --> 02:55:52.020]   like urgent, there's always the deadlines are just pushing you to create stuff. And we shot the movie
[02:55:52.020 --> 02:55:56.580]   so fast in record time. Now, not only that, I shot a whole other movie that year. I shot
[02:55:56.580 --> 02:56:01.500]   The Adventures of Sharkboy and Lava Girl with kids that came out two months after Sin City the next year,
[02:56:01.500 --> 02:56:05.060]   within less than a year, Sin City was out. You're shooting that in parallel with Sin City. That's
[02:56:05.060 --> 02:56:08.340]   hilarious. Is that great? Yeah. Like sometimes we'd be shooting with the kids and then the afternoon
[02:56:08.340 --> 02:56:11.780]   Rudger Howard would come and some of the Sin City girls to finish, you know, shooting stuff that we
[02:56:11.780 --> 02:56:17.540]   needed to film. It was just insane how fast we had to move. I was doing it in my head. I was editing.
[02:56:17.540 --> 02:56:26.180]   I just edited it. And then I would scan the artwork into the computer and I would edit the storyboards
[02:56:26.180 --> 02:56:30.580]   with the sound effects and I would do the voiceover. I would imitate Mickey and I would imitate Bruce
[02:56:30.580 --> 02:56:35.780]   and lay out how fast it was going to move. And you were like, wow. So now we have a template
[02:56:35.780 --> 02:56:39.380]   with the real drawings and the lighting on how we're going to do it. It was funny because I
[02:56:39.380 --> 02:56:43.380]   could do pretty good in Bruce Willis because I know in his career so long, if you're doing his voiceover
[02:56:43.380 --> 02:56:49.220]   and he would hear my guide voice for the timing, he'd be like, is that me or is that you? Can't tell.
[02:56:49.220 --> 02:56:54.420]   It's like, oh, that one was me, but just do that. It's like, oh man, it sounds like me.
[02:56:54.420 --> 02:56:58.260]   First of all, why haven't films like that been made?
[02:56:58.260 --> 02:57:02.980]   Well, it's a very specific look because it went into that comic. The first piece of music I wrote for that
[02:57:02.980 --> 02:57:06.580]   was the main title and I called it descent. I wanted the notes to descend because it felt
[02:57:06.580 --> 02:57:10.020]   like you were descending into this dark world and you don't come out to the end of the movie.
[02:57:10.020 --> 02:57:15.700]   You're just like in this world where all these layers of unreality, like water doesn't photograph
[02:57:15.700 --> 02:57:19.140]   that way, snow doesn't photograph, but it's there and you're seeing and you're seeing the actors.
[02:57:19.140 --> 02:57:21.140]   So you're just really, it's like a dream world.
[02:57:21.140 --> 02:57:21.700]   Yeah.
[02:57:21.700 --> 02:57:26.260]   So I was really into it and I did tests for the most difficult shots first. Like,
[02:57:26.260 --> 02:57:31.860]   how do I get his tape to glow in the dark, like in the comics, so it's still in the shadow. And I
[02:57:31.860 --> 02:57:37.140]   realized, oh, use fluorescent tape and a fluorescent light. That way I can keep it. We can still key it.
[02:57:37.140 --> 02:57:42.980]   Like I started just doing my own visual effects like that early on because I knew technology was
[02:57:42.980 --> 02:57:48.260]   changing so fast that I would need to just know how to do it. Like I'm like a magician shooting
[02:57:48.260 --> 02:57:52.820]   digital. Nobody wanted to touch digital back then. DPs were all afraid of digital. They didn't want to
[02:57:52.820 --> 02:57:58.580]   have to learn something new. So I had to DP it. So be photographing it. I'm like, it's so fun to cut
[02:57:58.580 --> 02:58:03.620]   because I mean, to, to light, like you have to have that light out of frame right now, but I could bring
[02:58:03.620 --> 02:58:08.100]   the lights in right here. As long as it was, they're not crossing it. I'm just going to take
[02:58:08.100 --> 02:58:12.420]   it out of the green anyway. So I could have the coolest light on everybody, cool edge lights. You
[02:58:12.420 --> 02:58:16.660]   can have an edge light back here, an edge light back here, a fill light here, but you don't erase
[02:58:16.660 --> 02:58:21.700]   them. I just take him out. Can you educate me and people curious about this? Oh, like what is the power
[02:58:21.700 --> 02:58:27.380]   of light when you're telling a story, when you're creating a feeling and experience, like what's the
[02:58:27.380 --> 02:58:33.300]   artistry of that? Well, if you look at the drawings too, sometimes it's the absence of light. Like you would see
[02:58:33.300 --> 02:58:37.140]   this face, but then this would be completely black, but you would still see my eye, which is
[02:58:37.140 --> 02:58:42.100]   like impossible. Right. But you believe it when you see it. Cause it's there. So things like that were
[02:58:42.100 --> 02:58:46.180]   a lot of the tricks I tried first. Cause I liked that about it. It's like, you have a guy completely
[02:58:46.180 --> 02:58:51.380]   backlit. So there's no light on his face, but yet his glasses are glowing white. So we'd put fluorescent
[02:58:51.380 --> 02:58:55.460]   tape in there, hit that with a light. Then we could turn it white later. The black and white really helps.
[02:58:55.460 --> 02:59:00.500]   And then just upping the contrast. But I mean, it's just something that you have a feeling for,
[02:59:00.500 --> 02:59:02.980]   but you're able to try it. In fact, when I took it to George
[02:59:02.980 --> 02:59:08.100]   Lucas who George Lucas said this to me early on, cause I was, we're the only guy shooting digital.
[02:59:08.100 --> 02:59:12.980]   He said, man, it's so good. You live in Austin. That's why I'm in Marin County.
[02:59:12.980 --> 02:59:18.900]   Cause when you live outside of this box of LA, Hollywood, you think outside of the box automatically,
[02:59:18.900 --> 02:59:22.580]   you're just going to stumble upon innovations. And he was right. It was like, well, yeah,
[02:59:22.580 --> 02:59:25.540]   what's this? Why, why aren't we shooting digital? Let's shoot digital. Why are we shooting digital 3d?
[02:59:25.540 --> 02:59:28.900]   Let's do that. Why don't we just use green screen for the background? You just start innovating
[02:59:28.900 --> 02:59:33.460]   because you're away from anyone saying, Hey, you can't do it that way, which they would say if I was
[02:59:33.460 --> 02:59:38.020]   in LA. So we just came up with a whole other method. So I took him since city to check out
[02:59:38.020 --> 02:59:43.700]   the first thing I was going to show at Comic-Con. He said, um, now this will really show people
[02:59:43.700 --> 02:59:48.500]   what digital is capable of. This really shows how avant-garde you can get with that.
[02:59:49.380 --> 02:59:55.220]   that you can never have done that on film, you know? And so by me versing myself in that technology
[02:59:55.220 --> 02:59:59.460]   early, I was able to make a movie like that. And then everyone had to play catch up, you know? So
[02:59:59.460 --> 03:00:04.260]   you should always just follow your, that's why people say, don't use those curtains as I'm going
[03:00:04.260 --> 03:00:11.220]   to work. Just blow past those guys, go innovate your own thing. Cause sometimes not knowing is better,
[03:00:11.220 --> 03:00:16.020]   you know, being too naive to like, don't you know, you shouldn't have been able to make that movie that
[03:00:16.020 --> 03:00:20.660]   way. People would, people would say like, how did you make my marriage for $7,000? Just,
[03:00:20.660 --> 03:00:25.380]   you know, it's impossible. It's like, why do you keep using that word? Cause it can't be impossible
[03:00:25.380 --> 03:00:29.860]   if I did it. Cause I'm not that smart. And it's like saying, how did you get to the top of Mount
[03:00:29.860 --> 03:00:35.460]   Everest? It's impossible. Well, I just kept walking. I didn't realize it was kind of at a slope. I didn't
[03:00:35.460 --> 03:00:39.620]   really realize it was going up that high. Yeah. You you've talked about like a big part of your
[03:00:39.620 --> 03:00:45.860]   approach to filmmaking to life is manifesting, manifesting the reality you want. In fact, I should
[03:00:45.860 --> 03:00:52.020]   sort of comment and I'd love to ask you about manifesting. You asked me at the beginning of
[03:00:52.020 --> 03:00:56.580]   this conversation, do you consider yourself a creative person? I should sort of reflect on
[03:00:56.580 --> 03:01:00.660]   that because I was very uncomfortable answering that. Yeah. I noticed a little bit and I was like,
[03:01:00.660 --> 03:01:03.460]   I'm going to, I'm going to free you up so that you're never uncomfortable again.
[03:01:03.460 --> 03:01:06.260]   It's scary just to say that about, about yourself.
[03:01:06.260 --> 03:01:09.300]   Cause you think there's a lot of, there's a lot of people who go, well, you're not an artist,
[03:01:09.300 --> 03:01:12.260]   you're not a creative, but you're not saying I'm an artist. I'm saying I'm a creative
[03:01:12.260 --> 03:01:15.700]   person, but that's an artist too, isn't it? No, artist isn't necessarily a guy
[03:01:15.700 --> 03:01:19.780]   with a French mustache and the funny ad. That's not necessarily what an artist, artists are regular
[03:01:19.780 --> 03:01:24.260]   people. Yeah. And regular people relate to art that's imperfect. If you can make art that's
[03:01:24.260 --> 03:01:28.100]   perfect, don't want to relate to it. So when you think about it like that, you go, well,
[03:01:28.100 --> 03:01:33.620]   I can make imperfect art. So yeah, I'm an artist. And if you have doubt, you're an artist. That's an
[03:01:33.620 --> 03:01:38.020]   artist. Real artists always wonder if they're good enough. So you are an artist. Just by the fact that
[03:01:38.020 --> 03:01:42.900]   you had uncomfortable saying it, you're a real artist. Yeah. And there's some degree,
[03:01:42.900 --> 03:01:47.220]   I don't know if you could speak to this, but, um, you know, there's a fear of creating
[03:01:47.220 --> 03:01:53.620]   shitty things. You know, I've, I've created a lot of really shitty things in my life and it always
[03:01:53.620 --> 03:01:59.540]   feels like that's really important to do. Okay. But you're judging something that, that you have no
[03:01:59.540 --> 03:02:05.540]   business judging, right? Like I have so many people. That's why I like making movies on purpose that have
[03:02:05.540 --> 03:02:11.380]   less money and less time on purpose. Like the biggest movie I said at all time on Netflix is
[03:02:11.380 --> 03:02:15.220]   we can be heroes. I told them, I don't want to spend more than $50 million. I know you all want to give
[03:02:15.220 --> 03:02:19.620]   me 80, but I want to be a hero and come into 50 because one, it'll make it better. And then two,
[03:02:19.620 --> 03:02:23.380]   you'll, you'll make three of them instead of just one. I don't want to just go spend the farm. And
[03:02:23.380 --> 03:02:27.220]   how many filmmakers will do that? Don't try to get as much money as they can, but when you're spending
[03:02:27.220 --> 03:02:33.060]   less, it's a win-win situation and you have more creative freedom. It's going to leave you alone. You can do whatever you want.
[03:02:33.060 --> 03:02:37.780]   So I, I like the creative limitations that come from less money. That's why I like brass knuckle films.
[03:02:37.780 --> 03:02:42.740]   Like we're going to make them for less so that they are better, not because they're not to make them
[03:02:42.740 --> 03:02:48.340]   shitty. So many people have come up to me and said, um, you know what part I love in your movie? They'll
[03:02:48.340 --> 03:02:53.540]   tell me some scene. And I'm like, oh, well that's because we ran out of sun and we had to like do that
[03:02:53.540 --> 03:02:58.820]   jump with just him jumping on a pad three times or whatever it is. It's something that you fumbled
[03:02:58.820 --> 03:03:04.820]   together. And that's what they're drawn to. They're drawn to that imperfect thing. And so I wouldn't judge it
[03:03:04.820 --> 03:03:10.420]   because somebody's, you know, if you called your movie shitty, that's like John Carpenter saying, yeah, nobody liked the
[03:03:10.420 --> 03:03:16.660]   thing and it's a shitty movie and everyone hated it. So it must not be good. And then 10 years later, it's a masterpiece.
[03:03:17.540 --> 03:03:24.020]   Don't judge it. Cause if you, words we use on ourselves are very powerful. So if you say,
