
[00:00:00.000 --> 00:00:01.080]   Hey, everybody. Hey, everybody.
[00:49:35.000 --> 00:49:36.720]   in the public and private markets.
[00:49:36.720 --> 00:49:41.040]   You know, everybody I'm sure who watches your podcast
[00:49:41.040 --> 00:49:42.920]   is very aware of scaling loss.
[00:49:42.920 --> 00:49:46.000]   And we have not had a scaling loss for training,
[00:49:46.000 --> 00:49:47.560]   where if you 10X the amount of compute
[00:49:47.560 --> 00:49:48.800]   you should train a model,
[00:49:48.800 --> 00:49:50.720]   you significantly improve the intelligence
[00:49:50.720 --> 00:49:53.000]   and capability of that model.
[00:49:53.000 --> 00:49:54.960]   And often they're these, you know,
[00:49:54.960 --> 00:49:57.640]   kind of emergent properties that emerge
[00:49:57.640 --> 00:50:00.200]   alongside that higher IQ.
[00:50:00.200 --> 00:50:05.200]   No one thought it was possible to make more than 25,000,
[00:50:05.200 --> 00:50:09.240]   maybe 30,000, 32,000, pick a number,
[00:50:09.240 --> 00:50:11.760]   NVIDIA hoppers coherent.
[00:50:11.760 --> 00:50:15.360]   And what coherent means is in a training cluster
[00:50:15.360 --> 00:50:18.800]   that each GPU, to kind of simplify it,
[00:50:18.800 --> 00:50:21.880]   knows what every other GPU is thinking.
[00:50:21.880 --> 00:50:25.040]   So every GPU in that 30,000 cluster
[00:50:25.040 --> 00:50:28.600]   knows what the other 29,999 are thinking.
[00:50:28.600 --> 00:50:31.160]   And you need a lot of networking to make that happen.
[00:50:31.160 --> 00:50:32.760]   - Enabled by InfiniBand, right?
[00:50:32.760 --> 00:50:37.320]   - InfiniBand, and I think even more importantly, NVLink.
[00:50:37.320 --> 00:50:38.680]   Although a lot of...
[00:50:38.680 --> 00:50:42.480]   Ethernet is, you know, never bet against the internet,
[00:50:42.480 --> 00:50:44.720]   never bet against Ethernet.
[00:50:44.720 --> 00:50:47.600]   Like if you read the Lama 3.1 technical paper,
[00:50:47.600 --> 00:50:48.800]   you know, got a lot of people excited
[00:50:48.800 --> 00:50:50.600]   about SkinnyLink Ethernet.
[00:50:50.600 --> 00:50:51.880]   But...
[00:50:51.880 --> 00:50:54.000]   - Just to slow down for the audience here, Gavin,
[00:50:54.000 --> 00:50:57.680]   maybe explain why transporting information
[00:50:57.680 --> 00:51:00.240]   between the GPUs is important.
[00:51:00.240 --> 00:51:02.360]   And we're talking, we're in the weeds here a little bit.
[00:51:02.360 --> 00:51:03.560]   Everybody's heard of Ethernet,
[00:51:03.560 --> 00:51:05.400]   but some of the other protocols
[00:51:05.400 --> 00:51:08.360]   and ways of moving stuff around, large amounts of data.
[00:51:08.360 --> 00:51:11.600]   That's what these H200s, H200s do particularly well.
[00:51:11.600 --> 00:51:14.120]   They'll move a couple of terabytes a second
[00:51:14.120 --> 00:51:17.520]   from one processor to the next processor.
[00:51:17.520 --> 00:51:18.360]   - Yeah.
[00:51:18.360 --> 00:51:19.200]   So...
[00:51:19.200 --> 00:51:23.400]   You know, picture a server,
[00:51:23.400 --> 00:51:25.720]   in the case of a GPU,
[00:51:25.720 --> 00:51:28.640]   it looks like maybe three pizza boxes
[00:51:28.640 --> 00:51:30.080]   stacked on top of each other,
[00:51:30.080 --> 00:51:32.120]   and it has eight GPUs together.
[00:51:32.120 --> 00:51:36.640]   And those eight GPUs are connected today
[00:51:36.640 --> 00:51:38.920]   with something called NVLink.
[00:51:38.920 --> 00:51:42.440]   Probably, you can think of the speed of communication.
[00:51:42.440 --> 00:51:45.920]   On-chip is the fastest.
[00:51:45.920 --> 00:51:48.080]   Chip-to-memory, next fastest.
[00:51:48.080 --> 00:51:52.000]   You know, chip-to-chip within a server, next fastest.
[00:51:52.000 --> 00:51:56.000]   And so you take those units of servers,
[00:51:56.000 --> 00:51:59.280]   which are connected, the GPUs are connected on the server
[00:51:59.280 --> 00:52:01.160]   with a technology called NVSwitch,
[00:52:01.160 --> 00:52:04.120]   and you stitch them together with either InfiniBand
[00:52:04.120 --> 00:52:09.120]   or Ethernet into a giant cluster.
[00:52:09.680 --> 00:52:14.600]   And each GPU has to be connected to every other GPU
[00:52:14.600 --> 00:52:15.600]   and know what they're thinking.
[00:52:15.600 --> 00:52:16.680]   They need to be coherent.
[00:52:16.680 --> 00:52:19.040]   They need to kind of share memory.
[00:52:19.040 --> 00:52:21.160]   For the compute to work,
[00:52:21.160 --> 00:52:25.640]   the GPUs need to work together for AI.
[00:52:25.640 --> 00:52:29.920]   And no one thought it was possible
[00:52:29.920 --> 00:52:32.080]   to connect more than 30,000 of these
[00:52:32.080 --> 00:52:33.520]   with today's technology.
[00:52:35.400 --> 00:52:39.240]   From public reports, Elon, as he so often does,
[00:52:39.240 --> 00:52:42.400]   focused deeply on this,
[00:52:42.400 --> 00:52:44.360]   thought about it from first principles,
[00:52:44.360 --> 00:52:47.880]   how long it should take, the way it should be done.
[00:52:47.880 --> 00:52:50.320]   And he came up with a very, very different way
[00:52:50.320 --> 00:52:53.640]   of designing a data center.
[00:52:53.640 --> 00:52:58.640]   And he was able to make over 100,000 GPUs coherent.
[00:52:58.640 --> 00:53:01.200]   No one thought it was possible.
[00:53:02.960 --> 00:53:05.960]   If I was a last minute ad for this,
[00:53:05.960 --> 00:53:08.920]   but I would have said there were all these articles
[00:53:08.920 --> 00:53:11.560]   that were being published in the summer
[00:53:11.560 --> 00:53:15.000]   saying that no one believed he was gonna be able to do it.
[00:53:15.000 --> 00:53:16.280]   It was hype.
[00:53:16.280 --> 00:53:18.880]   It was, you know, ridiculousness.
[00:53:18.880 --> 00:53:20.120]   And that was coming.
[00:53:20.120 --> 00:53:22.120]   The reason the reporters felt comfortable
[00:53:22.120 --> 00:53:24.080]   writing those silly stories
[00:53:24.080 --> 00:53:28.280]   is because engineers at Meta and Google and other firms
[00:53:28.280 --> 00:53:29.880]   were saying, "We can't do it.
[00:53:29.880 --> 00:53:31.280]   There's no way he can do it."
[00:53:31.440 --> 00:53:33.040]   - Hmm.
[00:53:33.040 --> 00:53:34.400]   - He did it.
[00:53:34.400 --> 00:53:36.840]   And I think the world really only believed it
[00:53:36.840 --> 00:53:39.840]   when, you know, Jensen did that podcast,
[00:53:39.840 --> 00:53:42.800]   I think with, wasn't it with Gerstner?
[00:53:42.800 --> 00:53:44.200]   - It might've been with Gerstner.
[00:53:44.200 --> 00:53:45.280]   - Yeah, I think it was with Gerstner,
[00:53:45.280 --> 00:53:47.760]   and said, "What Elon did was superhuman.
[00:53:47.760 --> 00:53:49.800]   No one else could have done it."
[00:53:49.800 --> 00:53:52.160]   And I actually think you can argue
[00:53:52.160 --> 00:53:54.760]   that Elon doing that, in a lot of ways,
[00:53:54.760 --> 00:53:58.280]   kind of saved NVIDIA from a tough six-month period
[00:53:58.280 --> 00:54:00.080]   when Blackwell was delayed,
[00:54:00.080 --> 00:54:01.960]   because everyone who was waiting for Blackwell
[00:54:01.960 --> 00:54:02.880]   and thought it was impossible
[00:54:02.880 --> 00:54:05.400]   to make 100,000 hoppers coherent,
[00:54:05.400 --> 00:54:07.680]   rushed out and bought a lot of hoppers
[00:54:07.680 --> 00:54:09.080]   to try and do it themselves.
[00:54:09.080 --> 00:54:12.120]   Now, we will see if someone else is able to do it.
[00:54:12.120 --> 00:54:13.680]   It was really, really hard.
[00:54:13.680 --> 00:54:17.440]   No one else thought it was possible.
[00:54:17.440 --> 00:54:21.440]   And as a result of that,
[00:54:21.440 --> 00:54:23.600]   Gruk 3 is in trading now
[00:54:23.600 --> 00:54:26.400]   on this giant, colossus supercomputer,
[00:54:26.400 --> 00:54:27.920]   the biggest in the world, 100,000 GPUs.
[00:54:27.920 --> 00:54:29.040]   - In Memphis.
[00:54:29.040 --> 00:54:30.120]   - In Memphis.
[00:54:30.120 --> 00:54:30.960]   - In Memphis.
[00:54:30.960 --> 00:54:32.240]   - At the old Electrolux factory,
[00:54:32.240 --> 00:54:34.200]   and they're putting a lot of energy in there,
[00:54:34.200 --> 00:54:36.080]   a lot of natural gas, a lot of-
[00:54:36.080 --> 00:54:39.360]   - Yeah, a dingy Electrolux factory.
[00:54:39.360 --> 00:54:40.720]   - Yeah.
[00:54:40.720 --> 00:54:42.240]   - With a lot of megapacks around it,
[00:54:42.240 --> 00:54:45.200]   and the city of Memphis is all in on supporting this.
[00:54:45.200 --> 00:54:46.040]   - Yeah.
[00:54:46.040 --> 00:54:47.960]   - Which is obviously smart for them.
[00:54:47.960 --> 00:54:49.480]   But you have not had a real test
[00:54:49.480 --> 00:54:51.320]   of scaling laws for training,
[00:54:51.320 --> 00:54:53.640]   arguably since GPT-4.
[00:54:53.640 --> 00:54:55.440]   And this will be the first test.
[00:54:55.440 --> 00:54:57.440]   And if scaling laws for training hold,
[00:54:57.440 --> 00:55:00.040]   Gruk 3 should be a significant advance
[00:55:00.040 --> 00:55:01.240]   in the state of the art.
[00:55:01.240 --> 00:55:06.000]   That is an immensely,
[00:55:06.000 --> 00:55:08.400]   from a Bayesian way to look at the world,
[00:55:08.400 --> 00:55:10.920]   that is an immensely important data point.
[00:55:10.920 --> 00:55:15.800]   But if that card doesn't work,
[00:55:15.800 --> 00:55:17.160]   and I think it is gonna work,
[00:55:17.160 --> 00:55:19.480]   I think Gruk 3 is gonna be really good,
[00:55:19.480 --> 00:55:21.360]   I should note that I am-
[00:55:21.360 --> 00:55:22.440]   - Well, with consumers,
[00:55:22.440 --> 00:55:23.280]   yeah, you're involved in XAI.
[00:55:23.280 --> 00:55:25.440]   - My firm is an investor in XAI.
[00:55:25.440 --> 00:55:26.320]   - Got it.
[00:55:26.320 --> 00:55:28.200]   - Yeah, they've raised a tremendous amount of capital,
[00:55:28.200 --> 00:55:29.480]   a lot of it from the Middle East,
[00:55:29.480 --> 00:55:31.480]   and they're supposedly gonna build Colossus
[00:55:31.480 --> 00:55:33.400]   to a million GPUs.
[00:55:33.400 --> 00:55:37.120]   Is this data goal 10 times bigger than it is currently?
[00:55:37.120 --> 00:55:39.080]   There's been some debate back and forth, Freeburg,
[00:55:39.080 --> 00:55:42.440]   about, "Hey, are we hitting a wall here?"
[00:55:42.440 --> 00:55:43.760]   Maybe you could explain the wall,
[00:55:43.760 --> 00:55:45.920]   either of you, to the audience, yeah.
[00:55:45.920 --> 00:55:46.760]   - David.
[00:55:46.760 --> 00:55:49.040]   - Well, I'll let Gavin speak to the wall.
[00:55:49.040 --> 00:55:52.120]   I mean, Gavin, I think one of the questions also is,
[00:55:52.120 --> 00:55:53.880]   you know, do we see
[00:55:54.880 --> 00:55:59.120]   an evolution if the kind of increment in performance
[00:55:59.120 --> 00:56:01.080]   relative to the investment in
[00:56:01.080 --> 00:56:08.080]   net kind of training, compute resources, declines,
[00:56:08.080 --> 00:56:11.920]   do we start to see a shift in how the architecture
[00:56:11.920 --> 00:56:13.760]   of the systems are run?
[00:56:13.760 --> 00:56:16.120]   Meaning, like, do we start to build models of models,
[00:56:16.120 --> 00:56:18.800]   and that starts to resolve a higher-level architecture
[00:56:18.800 --> 00:56:22.880]   that unlocks new performative capabilities?
[00:56:22.880 --> 00:56:23.720]   So.
[00:56:23.720 --> 00:56:25.720]   - I would just say we're already building models of models.
[00:56:25.720 --> 00:56:28.720]   You know, almost every application startup I'm aware of
[00:56:28.720 --> 00:56:29.720]   is chaining models.
[00:56:29.720 --> 00:56:31.200]   You know, you start with a cheap model,
[00:56:31.200 --> 00:56:32.440]   you check the cheap model's work
[00:56:32.440 --> 00:56:34.360]   with a more expensive model.
[00:56:34.360 --> 00:56:36.240]   You know, lots of very clever things are being done.
[00:56:36.240 --> 00:56:38.880]   You know, every AI application company
[00:56:38.880 --> 00:56:40.280]   has what's called a router,
[00:56:40.280 --> 00:56:42.480]   so they can, you know, swap out the underlying model
[00:56:42.480 --> 00:56:44.760]   if another one is better for the task at hand.
[00:56:44.760 --> 00:56:49.640]   As far as what the wall is,
[00:56:49.640 --> 00:56:52.320]   there's been a big debate that we were hitting a wall
[00:56:52.320 --> 00:56:54.120]   on these scaling laws,
[00:56:54.120 --> 00:56:57.360]   and that scaling laws were breaking down.
[00:56:57.360 --> 00:56:59.400]   And I just thought that was deeply silly,
[00:56:59.400 --> 00:57:02.320]   'cause no one had built a cluster bigger than,
[00:57:02.320 --> 00:57:04.480]   you know, 32,000 H100s.
[00:57:04.480 --> 00:57:07.120]   And nobody knew.
[00:57:07.120 --> 00:57:10.200]   It was a ridiculous debate.
[00:57:10.200 --> 00:57:13.200]   And there were, you know, really smart people on both sides,
[00:57:13.200 --> 00:57:15.680]   but there's no new data.
[00:57:15.680 --> 00:57:18.880]   GROK 3 is the first new data point
[00:57:18.880 --> 00:57:20.480]   to support whether or not scaling laws
[00:57:20.480 --> 00:57:21.920]   are breaking or holding.
[00:57:21.920 --> 00:57:23.520]   Because no one else thought
[00:57:23.520 --> 00:57:25.680]   you could make 100,000 hoppers coherent.
[00:57:25.680 --> 00:57:28.360]   And I think based on public reports,
[00:57:28.360 --> 00:57:31.480]   they're going to 200,000 hoppers.
[00:57:31.480 --> 00:57:33.760]   And then the next tick is a million.
[00:57:33.760 --> 00:57:35.400]   It was reported they're gonna be first in line
[00:57:35.400 --> 00:57:36.600]   for Blackwell.
[00:57:36.600 --> 00:57:39.600]   But GROK 3 is a big card and will resolve
[00:57:39.600 --> 00:57:44.000]   this question of whether or not we're hitting a wall.
[00:57:44.000 --> 00:57:46.840]   The other question you raised, David, is very interesting.
[00:57:46.840 --> 00:57:48.040]   And by the way, we should note,
[00:57:48.040 --> 00:57:51.440]   there is now a new axis of scaling.
[00:57:51.440 --> 00:57:52.960]   Some people call it test time compute.
[00:57:52.960 --> 00:57:54.640]   Some people call it inference scaling.
[00:57:54.640 --> 00:57:55.840]   And basically the way this works,
[00:57:55.840 --> 00:57:58.000]   you just think of these models as human.
[00:57:58.000 --> 00:57:59.720]   The more you speak to one of these models,
[00:57:59.720 --> 00:58:01.680]   the way you'd speak to your like 17 year old
[00:58:01.680 --> 00:58:04.960]   going off to take the SAT, the better it will do for you.
[00:58:04.960 --> 00:58:06.440]   As a human, you know, if I asked you, David,
[00:58:06.440 --> 00:58:10.000]   what's two plus two, four flashes in your mind right away.
[00:58:10.000 --> 00:58:12.920]   If I ask you to, you know, unify a grand unified theory
[00:58:12.920 --> 00:58:15.280]   of physics that accounts for both quantum mechanics
[00:58:15.280 --> 00:58:18.800]   and relativistic physics, you will think for a lot longer.
[00:58:18.800 --> 00:58:19.960]   - 147.
[00:58:19.960 --> 00:58:21.520]   - Yeah, nobody knows.
[00:58:21.520 --> 00:58:25.720]   We have been giving these models the same amount of time
[00:58:25.720 --> 00:58:28.840]   to think no matter how complicated the question was.
[00:58:28.840 --> 00:58:31.120]   What we've now learned is if you let them think for longer
[00:58:31.120 --> 00:58:34.480]   about more complex questions, test time compute,
[00:58:34.480 --> 00:58:36.240]   you can dramatically improve their IQ.
[00:58:36.240 --> 00:58:40.080]   So we're just at the beginning of this new scaling law.
[00:58:40.080 --> 00:58:42.880]   But I think the question you raised on ROI is very good.
[00:58:42.880 --> 00:58:46.760]   And I'm happy to address it.
[00:58:46.760 --> 00:58:50.600]   And there's a context window shift underway as well,
[00:58:50.600 --> 00:58:55.160]   which also creates a new kind of scaling access arguably
[00:58:55.160 --> 00:58:57.680]   in terms of the potential set of applications.
[00:58:57.680 --> 00:59:02.680]   So networks of models, think time, context window,
[00:59:02.680 --> 00:59:06.400]   there are multiple dimensions upon which these tools
[00:59:06.400 --> 00:59:09.840]   ultimately kind of resolve to better performance.
[00:59:09.840 --> 00:59:13.320]   - Oh yeah, even if scaling laws for training break,
[00:59:13.320 --> 00:59:15.200]   we have another decade of innovation ahead of us.
[00:59:15.200 --> 00:59:18.760]   - Exactly, and as my understanding from speaking to folks,
[00:59:18.760 --> 00:59:20.880]   I'm certainly not as deep and well versed as you,
[00:59:20.880 --> 00:59:23.560]   but there's a lot of effort and research going on
[00:59:23.560 --> 00:59:28.120]   in re-engineering various parts of the stack
[00:59:28.120 --> 00:59:31.160]   to reduce energy, to reduce every resource
[00:59:31.160 --> 00:59:33.440]   that effectively drives model performance,
[00:59:33.440 --> 00:59:35.120]   to basically re-engineer architecture.
[00:59:35.120 --> 00:59:37.840]   It was all like very brute force for a period of time.
[00:59:37.840 --> 00:59:39.040]   And it was like push, push, push.
[00:59:39.040 --> 00:59:40.880]   But now as we go back and we start to re-engineer
[00:59:40.880 --> 00:59:43.360]   and architect things in perhaps a more designed way,
[00:59:43.360 --> 00:59:44.840]   we get better performance
[00:59:44.840 --> 00:59:46.560]   and there's a lot of work to do there still.
[00:59:46.560 --> 00:59:47.880]   - Absolutely.
[00:59:47.880 --> 00:59:50.320]   - This is one of the great things about capitalism
[00:59:50.320 --> 00:59:52.400]   and a functioning capital market
[00:59:52.400 --> 00:59:54.560]   is you've got people working just on the context window.
[00:59:54.560 --> 00:59:55.720]   For people who don't know what that is,
[00:59:55.720 --> 00:59:57.760]   is that's the number of tokens.
[00:59:57.760 --> 00:59:59.960]   A token is essentially a word you can think of it,
[00:59:59.960 --> 01:00:01.360]   a piece of information.
[01:00:01.360 --> 01:00:06.000]   The number of tokens you can put into a conversation
[01:00:06.000 --> 01:00:07.800]   within a large language model.
[01:00:07.800 --> 01:00:09.640]   Some people have really large context windows,
[01:00:09.640 --> 01:00:10.480]   some people have smaller ones,
[01:00:10.480 --> 01:00:11.960]   but you can basically put an entire book
[01:00:11.960 --> 01:00:14.120]   in the context window and start asking questions
[01:00:14.120 --> 01:00:15.440]   against the model.
[01:00:15.440 --> 01:00:18.280]   And the speed of those is critically important as well,
[01:00:18.280 --> 01:00:19.240]   because if you put the book in there
[01:00:19.240 --> 01:00:20.880]   and it takes you 10 minutes to get an answer,
[01:00:20.880 --> 01:00:22.840]   that's not functional, right?
[01:00:22.840 --> 01:00:25.240]   - Gavin, are you an investor in open AI?
[01:00:25.240 --> 01:00:26.680]   - Oh, absolutely not.
[01:00:26.680 --> 01:00:27.520]   - Yeah.
[01:00:27.520 --> 01:00:30.200]   Can you kind of theorize on what the build out
[01:00:30.200 --> 01:00:32.600]   that's being done with Colossus does
[01:00:32.600 --> 01:00:35.400]   to the advantage that open AI has today?
[01:00:35.400 --> 01:00:38.440]   How long till we kind of catch up there with XAI
[01:00:38.440 --> 01:00:41.160]   and how much is going to be disrupted
[01:00:41.160 --> 01:00:42.160]   and how quickly here?
[01:00:42.160 --> 01:00:44.440]   - Well, if scaling laws hold,
[01:00:44.440 --> 01:00:50.920]   the best information I have is the largest cluster
[01:00:50.920 --> 01:00:53.360]   Microsoft has after panicking.
[01:00:53.360 --> 01:00:57.160]   It's still smaller than XAI's cluster in Memphis.
[01:00:57.160 --> 01:00:59.320]   If you didn't believe that it was possible,
[01:00:59.320 --> 01:01:00.880]   you weren't even working on it.
[01:01:00.880 --> 01:01:06.120]   Grok 3 should take the lead if scaling laws hold
[01:01:06.120 --> 01:01:09.080]   in January or February.
[01:01:11.080 --> 01:01:13.600]   I do think a lot of talent has left open AI.
[01:01:13.600 --> 01:01:20.200]   I thought it was a really shocking statement
[01:01:20.200 --> 01:01:25.200]   from Mira Mirati that she resigned during a fundraise.
[01:01:25.200 --> 01:01:28.040]   That's the only way she can express disapproval
[01:01:28.040 --> 01:01:29.720]   of what is going on there
[01:01:29.720 --> 01:01:32.040]   and still probably get her money.
[01:01:32.040 --> 01:01:33.560]   - Right.
[01:01:33.560 --> 01:01:38.560]   - So I think there's a lot of reasons
[01:01:38.560 --> 01:01:42.280]   if scaling laws hold, to be optimistic about Grok 3.
[01:01:42.280 --> 01:01:47.440]   But I think, and then by the way, on the power question,
[01:01:47.440 --> 01:01:52.440]   and they are 23 and 24, it was just a panic to get GPUs
[01:01:52.440 --> 01:01:54.600]   and get them plugged in.
[01:01:54.600 --> 01:01:57.600]   Now we're trying to make them efficient and thoughtful
[01:01:57.600 --> 01:01:59.160]   and to your point, re-architecting them.
[01:01:59.160 --> 01:02:02.040]   - And the H200s now are 50% less power
[01:02:02.040 --> 01:02:06.280]   and either 50% more or twice as much compute,
[01:02:06.280 --> 01:02:07.120]   depending on the task.
[01:02:07.480 --> 01:02:09.280]   - They have a little more compute and a lot more memory,
[01:02:09.280 --> 01:02:10.880]   which really matters.
[01:02:10.880 --> 01:02:13.560]   So per kind of a unit of effective compute,
[01:02:13.560 --> 01:02:15.320]   they're a lot more power efficient.
[01:02:15.320 --> 01:02:18.480]   - Two or three times, you think, or?
[01:02:18.480 --> 01:02:22.320]   - No, the H200s, probably not 2X,
[01:02:22.320 --> 01:02:25.160]   but a good increment and the H100 was a great chip.
[01:02:25.160 --> 01:02:26.600]   - So 50%, yeah.
[01:02:26.600 --> 01:02:28.040]   - Yeah, Blackwell's just around the corner
[01:02:28.040 --> 01:02:30.120]   and that's an entirely new architecture
[01:02:30.120 --> 01:02:33.040]   with an entirely new set of networking technologies.
[01:02:33.040 --> 01:02:35.600]   - What would consumers, if we had to sort of speculate here,
[01:02:35.600 --> 01:02:37.320]   what would consumers,
[01:02:37.320 --> 01:02:40.000]   how would consumers' experiences change
[01:02:40.000 --> 01:02:42.920]   in using forward-facing language models?
[01:02:42.920 --> 01:02:44.760]   And then maybe what are developers going to see
[01:02:44.760 --> 01:02:45.760]   on the back end, you know,
[01:02:45.760 --> 01:02:47.920]   in terms of what they're going to be able to build?
[01:02:47.920 --> 01:02:52.360]   If this pans out in the next short term, two years.
[01:02:52.360 --> 01:02:55.240]   - Right now, you have like a friend in your pocket
[01:02:55.240 --> 01:03:00.240]   who has an IQ of 115, 110 maybe,
[01:03:00.240 --> 01:03:04.720]   but has all of the world's knowledge accessible to it.
[01:03:04.720 --> 01:03:06.480]   And that's what makes it amazing.
[01:03:06.480 --> 01:03:07.400]   I think this will be like,
[01:03:07.400 --> 01:03:08.440]   you have a friend in your pocket,
[01:03:08.440 --> 01:03:11.320]   but, and they sometimes make things up.
[01:03:11.320 --> 01:03:13.000]   Again, they're very human.
[01:03:13.000 --> 01:03:13.840]   And a lot of humans,
[01:03:13.840 --> 01:03:16.880]   when they don't know the answer, they dissemble.
[01:03:16.880 --> 01:03:18.480]   These AIs do it too.
[01:03:18.480 --> 01:03:21.440]   So you will have a friend in your pocket
[01:03:21.440 --> 01:03:25.680]   with an IQ of maybe 130 that knows everything,
[01:03:25.680 --> 01:03:28.040]   has more up-to-date knowledge of the world,
[01:03:28.040 --> 01:03:33.040]   and is more grounded in factual accuracy.
[01:03:33.880 --> 01:03:34.720]   And it is interesting,
[01:03:34.720 --> 01:03:37.920]   for any question involving real-time information,
[01:03:37.920 --> 01:03:39.920]   mostly sports and finance,
[01:03:39.920 --> 01:03:40.920]   you know, I always, you know,
[01:03:40.920 --> 01:03:42.520]   if there's a stock down 25%,
[01:03:42.520 --> 01:03:45.680]   ask every AI, "Why is the stock down 25%?"
[01:03:45.680 --> 01:03:48.160]   Generally, Grok is the one that knows.
[01:03:48.160 --> 01:03:49.880]   - Yeah, Grok actually-- - But I'm obviously biased.
[01:03:49.880 --> 01:03:51.400]   - Yeah, no, no. - Grok knows.
[01:03:51.400 --> 01:03:53.920]   - Grok, because of the Twitter data set,
[01:03:53.920 --> 01:03:56.120]   - Exactly. - knows what is happening
[01:03:56.120 --> 01:03:57.160]   at the moment.
[01:03:57.160 --> 01:03:58.640]   - In the world today.
[01:03:58.640 --> 01:03:59.640]   - All right, and then, you know,
[01:03:59.640 --> 01:04:02.240]   as we sort of wrap up here on the AI,
[01:04:02.240 --> 01:04:06.240]   what about the ROI here that Deva was mentioning?
[01:04:06.240 --> 01:04:10.640]   - Yeah, so I find these debates also very funny, you know.
[01:04:10.640 --> 01:04:12.080]   There have been articles written
[01:04:12.080 --> 01:04:15.840]   about multi-hundred-billion-dollar ROI questions.
[01:04:15.840 --> 01:04:17.440]   Those are very strange to me,
[01:04:17.440 --> 01:04:22.440]   because the biggest spenders on GPUs are public companies,
[01:04:22.440 --> 01:04:26.120]   and they report financial results every quarter.
[01:04:26.120 --> 01:04:27.600]   And you can calculate a metric
[01:04:27.600 --> 01:04:29.760]   called return on invested capital,
[01:04:29.760 --> 01:04:32.520]   - Yes. - and ROIC, ROI,
[01:04:32.520 --> 01:04:37.200]   has gone vertical since they ramped their CapEx on GPUs,
[01:04:37.200 --> 01:04:38.600]   and actually just started to level out
[01:04:38.600 --> 01:04:39.840]   in this latest quarter.
[01:04:39.840 --> 01:04:43.640]   So the ROI on AI has been very positive thus far,
[01:04:43.640 --> 01:04:45.080]   just a fact.
[01:04:45.080 --> 01:04:47.320]   It's a really good question.
[01:04:47.320 --> 01:04:49.320]   Will it continue, particularly if, you know,
[01:04:49.320 --> 01:04:50.760]   it's gonna cost a hundred billion dollars
[01:04:50.760 --> 01:04:53.400]   to train a model in two or three years,
[01:04:53.400 --> 01:04:55.280]   which I think is a realistic estimate.
[01:04:56.920 --> 01:04:59.440]   - I guess the counter to that isn't the counter to that,
[01:04:59.440 --> 01:05:01.720]   that maybe there's a little bit of hype,
[01:05:01.720 --> 01:05:04.160]   that, you know, maybe there are people
[01:05:04.160 --> 01:05:06.520]   are trying to determine the ROI
[01:05:06.520 --> 01:05:08.320]   and correlate it more precisely.
[01:05:08.320 --> 01:05:10.640]   And I guess that's the challenge, you know,
[01:05:10.640 --> 01:05:13.840]   meta doing AI across its entire enterprise,
[01:05:13.840 --> 01:05:14.960]   you might see, and Google,
[01:05:14.960 --> 01:05:18.880]   you might see it directly making ads
[01:05:18.880 --> 01:05:20.040]   more effective, as an example.
[01:05:20.040 --> 01:05:20.880]   - 100%, yeah.
[01:05:20.880 --> 01:05:21.720]   - So that's happening. - Meta and Google
[01:05:21.720 --> 01:05:23.240]   have shown the best ROIs on AI.
[01:05:23.240 --> 01:05:24.800]   - Yeah, and I think that, you know,
[01:05:24.800 --> 01:05:25.640]   that's happening. - Google have shown
[01:05:25.640 --> 01:05:26.760]   the best ROIs on AI.
[01:05:26.760 --> 01:05:30.240]   - Yeah, but then for other folks, like, you know,
[01:05:30.240 --> 01:05:32.880]   is it actually happening, or is it a toy, I guess,
[01:05:32.880 --> 01:05:34.000]   is the criticism I hear.
[01:05:34.000 --> 01:05:35.000]   I'm not saying that's my position,
[01:05:35.000 --> 01:05:36.720]   but that's the criticism I hear is like,
[01:05:36.720 --> 01:05:39.400]   are people actually getting money from the copilot,
[01:05:39.400 --> 01:05:42.520]   or maybe this is just product market fit discovery process,
[01:05:42.520 --> 01:05:47.480]   'cause the AI laptops, AI intelligence on Apple,
[01:05:47.480 --> 01:05:51.400]   and let's say some general LLMs people feel
[01:05:51.400 --> 01:05:52.400]   maybe aren't worth the money,
[01:05:52.400 --> 01:05:55.680]   or copilot for Microsoft, maybe not worth the money.
[01:05:55.680 --> 01:05:57.800]   - Yeah, I mean, I personally have not had good experiences
[01:05:57.800 --> 01:06:00.000]   with copilot, but I would say
[01:06:00.000 --> 01:06:06.200]   that, and I'm sure both of you have come across these,
[01:06:06.200 --> 01:06:10.720]   there are lots of companies that are just these thin wrappers
[01:06:10.720 --> 01:06:13.120]   over a foundation model,
[01:06:13.120 --> 01:06:16.920]   and they go from zero to 40 million instantaneously,
[01:06:16.920 --> 01:06:20.640]   and they're profitable, and for their customers,
[01:06:20.640 --> 01:06:22.880]   they're replacing labor budgets.
[01:06:22.880 --> 01:06:23.760]   - Yes. - And I think,
[01:06:23.760 --> 01:06:25.800]   I'm sure you guys are noticing this too,
[01:06:25.800 --> 01:06:28.000]   but startups today at a given size
[01:06:28.000 --> 01:06:29.360]   are employing fewer people
[01:06:29.360 --> 01:06:31.120]   than they would have three years ago.
[01:06:31.120 --> 01:06:32.240]   And just like, you know, it's funny,
[01:06:32.240 --> 01:06:34.840]   people were very skeptical. - I would say 50% less.
[01:06:34.840 --> 01:06:36.840]   - Yeah, and that's the ROI on AI.
