
[00:00:00.000 --> 00:00:01.600]   two days ago,
[01:22:20.720 --> 01:22:26.080]   as a skill set so i put a couple million bucks into an account and i'm just trying to actively
[01:22:26.080 --> 01:22:31.920]   figure out how does value work there and you know i'm just starting to make trades that i want to
[01:22:31.920 --> 01:22:35.680]   hold for 10 or 20 years and we'll see if i can beat the market that's the other thing is what do
[01:22:35.680 --> 01:22:40.640]   you want to spend your life doing if the index if you can put money in a passive index and not do
[01:22:40.640 --> 01:22:46.400]   any work well you know that's attractive as well so sax what do you think in terms of active management
[01:22:46.400 --> 01:22:51.920]   you know in these public markets and the size of the bets that have to be like i said i think it's
[01:22:51.920 --> 01:22:57.200]   very hard to beat the market consistently i think it's a very tough profession i i'm sure there are
[01:22:57.200 --> 01:23:04.160]   people who can do it but i don't know if it's easy to predict who those people are so look i you know
[01:23:04.160 --> 01:23:10.480]   i think it's something that can be done but i just think it's a tough tough game i mean what we do as
[01:23:10.480 --> 01:23:16.320]   private investors is a little different right because not everybody is in a position to buy share
[01:23:16.320 --> 01:23:20.160]   right yeah you're not available to you you don't even know the company access is limited and
[01:23:20.160 --> 01:23:27.360]   information is limited and in exchange for that sort of preferential access that we get we actually
[01:23:27.360 --> 01:23:32.720]   have to do work so when you're when yeah when you're a public investor in a company disney or
[01:23:32.720 --> 01:23:36.480]   whatever you don't do any work you're not involved at all we do a lot of work for the companies and
[01:23:36.480 --> 01:23:41.440]   that's why they choose us and so it's not you know it's you're not competing against the whole world
[01:23:41.440 --> 01:23:46.240]   i think the public markets are just so competitive are you tempted though looking at these prices and
[01:23:46.240 --> 01:23:50.960]   how they're going to be able to do that because i was looking at a company that was trading at 50
[01:23:50.960 --> 01:23:55.840]   times revenue last year they're raising again they double their revenue so now they're at 20 25 times
[01:23:55.840 --> 01:23:59.680]   revenue they're raising at last year's valuation and then i looked at the public market comps and
[01:23:59.680 --> 01:24:04.160]   they're trading at six times so now i'm like wait a second and obviously you're gonna look at the
[01:24:04.160 --> 01:24:08.240]   growth rate you gotta look at the growth rate so it was three three the growth rate in this example
[01:24:08.240 --> 01:24:12.480]   was three times fat greater than the public market comp so how would you assess that then
[01:24:12.480 --> 01:24:16.160]   well what we're seeing right now is that pretty good sas companies that are growing
[01:24:16.160 --> 01:24:20.320]   maybe on a trailing basis they grew 3x and you know prospectively they're growing call it two
[01:24:20.320 --> 01:24:25.200]   and a half x um they're trading right now not trading but basically deals are getting done
[01:24:25.200 --> 01:24:31.840]   at 20 times ar 20 which are this year's current run rate yeah the current arr
[01:24:31.840 --> 01:24:35.120]   you're not getting that like bonus like here's your projected next year we're going to give it
[01:24:35.120 --> 01:24:42.400]   based on that this is current no no current arr is about 20 22 23 times arr um down from
[01:24:42.400 --> 01:24:46.080]   what last year a hundred oh it was like a hundred times was the rule of thumb yeah so now
[01:24:46.080 --> 01:24:51.520]   there are some where their you know deals are getting done in the high 20s i'd say or even 30
[01:24:51.520 --> 01:24:56.720]   if they're if you believe that by the end of the year it'll be more like 20. so but i i think the
[01:24:56.720 --> 01:25:04.800]   new levels are landing at 20 20 something times ar now why does that make sense relative to the
[01:25:04.800 --> 01:25:10.560]   public sas companies well like you said the sas index is trading at roughly six times but that's
[01:25:10.560 --> 01:25:16.000]   only twenty percent average growth right and so you know if you're growing three times the growth
[01:25:16.000 --> 01:25:21.600]   right right and the high growth sas companies are trading it like seven times um that's for like a
[01:25:21.600 --> 01:25:25.920]   forty percent grower we've talked about this before so listen if you're tripling year over
[01:25:25.920 --> 01:25:31.120]   year and you pay 20 times that'll be a seven times next year but if you're growing two two and a half
[01:25:31.120 --> 01:25:35.600]   three acts next year that's way faster so yeah i think there's actually an arbitrage there i mean
[01:25:35.600 --> 01:25:41.280]   this is why we like doing private sas investing right now deals are getting done i will say that
[01:25:41.280 --> 01:25:45.920]   the people who i'm seeing who are really struggling uh freeburg are the people who are really
[01:25:45.920 --> 01:25:48.560]   struggling with the money that they're making and the people who are really struggling with the
[01:25:48.560 --> 01:25:50.320]   money that they're making and the people who are really struggling with the money that they're making
[01:25:50.320 --> 01:25:52.400]   they're not the people who are really struggling with the money that they're making they're the
[01:25:52.400 --> 01:25:54.960]   people who are really struggling with the money that they're making they're the people who
[01:25:54.960 --> 01:25:57.840]   didn't turn on i'm talking about the very early stage they didn't turn on revenue
[01:25:57.840 --> 01:26:04.160]   they were making progress in team building and culture and features but they just weren't focused
[01:26:04.160 --> 01:26:09.360]   on the revenue side and my lord people got a lot of credit i mean 50 million hundred million dollar
[01:26:09.360 --> 01:26:15.840]   evaluations without the revenue turned on um and that now they're faced with not being able to
[01:26:15.840 --> 01:26:19.920]   make money yeah it's and raising money yeah because you have to raise money for your companies
[01:26:19.920 --> 01:26:26.640]   it's not easy okay unpack it what's not you know uh well what are the conversations like give us
[01:26:26.640 --> 01:26:32.240]   the anecdotal information i mean i've seen a number of term sheets get pulled so i think oh
[01:26:32.240 --> 01:26:40.880]   really yeah we've heard a lot about companies that kind of during the q1 early q2 time frame
[01:26:40.880 --> 01:26:44.720]   had term sheets weren't closing got the laid out
[01:26:45.760 --> 01:26:52.560]   and um there's a number of kind of examples of repricing where the investors come back markets
[01:26:52.560 --> 01:26:58.480]   have changed let's reprice the thing or hey um we're not going to do this deal anymore we're
[01:26:58.480 --> 01:27:02.880]   going to sit on the sidelines and wait till the market settles or our lps actually aren't going
[01:27:02.880 --> 01:27:09.360]   to let us fund new stuff uh so there's a a lot of those last one for people what does that mean
[01:27:09.360 --> 01:27:13.840]   you know yeah investor you know investors have lps they have investors themselves and
[01:27:13.840 --> 01:27:15.680]   their lps are coming to them and saying do not put
[01:27:15.680 --> 01:27:20.640]   more money out right now we are telling you we are not going to wire our money to you we need you to
[01:27:20.640 --> 01:27:24.720]   wait until even though they're contractually obligated to they're telling you theoretically
[01:27:24.720 --> 01:27:28.480]   they don't may not be contractually obligated to but obviously these are long-term partnerships and
[01:27:28.480 --> 01:27:33.680]   so when an lp you know or a group of lps says guys we're not comfortable with you deploying money
[01:27:33.680 --> 01:27:38.080]   right now you know you're in a 10-year partnership 15-year partnership with them you're gonna as an
[01:27:38.080 --> 01:27:44.320]   investor as a fund you're gonna say okay i'm gonna kind of listen to that right now now the bigger
[01:27:44.320 --> 01:27:45.600]   issues in series bc and bc are you know you're gonna be able to deploy money right now you're gonna
[01:27:45.600 --> 01:27:46.640]   be able to deploy money right now you're gonna have a lot of people that are going to be able to
[01:27:46.640 --> 01:27:47.360]   do a lot of other things right now you're not going to have a lot of people that are going to be able
[01:27:47.360 --> 01:27:48.320]   to deploy money right now you're not going to have a lot of people that are going to be able to deploy
[01:27:48.320 --> 01:27:52.960]   you know have some traction have some performance have raised a bunch of capital have done a bunch
[01:27:52.960 --> 01:27:57.360]   of work and investors don't know what they're worth they're like hey is this thing worth 25
[01:27:57.360 --> 01:28:02.400]   million or 125 million or 500 million last year you could have raised money at 500 million i mean look
[01:28:02.400 --> 01:28:06.480]   at what happened with uh one of those crypto things those crypto trading platforms they
[01:28:06.480 --> 01:28:12.240]   raised 500 million dollars last july and they just sold the business for a reported 25 million dollars
[01:28:12.240 --> 01:28:15.520]   after being valued at 5 billion a year ago yeah so
[01:28:15.520 --> 01:28:19.440]   the whole thing the truth might have been more like 275 million um yeah we don't know some news
[01:28:19.440 --> 01:28:24.640]   that got left yeah and and so but but series a people seem to be pretty active again and so
[01:28:24.640 --> 01:28:31.040]   active again but the prices now for seed yeah but it's a lot easier happening 6 to 15 series a is
[01:28:31.040 --> 01:28:35.920]   happening 15 to 25. it's a lot easier to get a deal done in a series a because people say hey look i'm
[01:28:35.920 --> 01:28:40.480]   going to give you this you say okay i'll take it i need the money series b c and d is where there's
[01:28:40.480 --> 01:28:45.040]   this whole fight because there's existing investors existing shareholders who are saying i don't want
[01:28:45.440 --> 01:28:51.280]   50 right down a 70 right down a 30 right down over the last round and fighting and then doing inside
[01:28:51.280 --> 01:28:55.840]   rounds and bridge notes and all sorts of other shenanigans to not have to take a negative mark
[01:28:55.840 --> 01:29:01.520]   on their book yeah well one thing so one thing that's interesting here is that um you think
[01:29:01.520 --> 01:29:05.760]   about like where the opportunity is in the market right now and i think one of the things that
[01:29:05.760 --> 01:29:09.520]   happened in the boom is that everyone got pushed to go earlier and earlier because deals were so
[01:29:09.520 --> 01:29:15.360]   competitive and so you know in the sas business normally one million of ar was considered the
[01:29:15.360 --> 01:29:20.160]   rule of thumb for getting a series for basically graduating to a series a that you were ready to go
[01:29:20.160 --> 01:29:26.160]   from c to series a when you had a million of ar as we know during the boom last year that number kept
[01:29:26.160 --> 01:29:32.480]   going down you know yeah 500 300 000 and then you would see crazy deals get done that were pre-revenue
[01:29:32.480 --> 01:29:36.400]   with price at 100 plus we never did any of those kinds of deals because we just thought they were
[01:29:36.400 --> 01:29:40.800]   too crazy but they definitely happened well think about the dynamic now which is
[01:29:40.800 --> 01:29:45.280]   let's say that that sas startup that has a million of ar they can do
[01:29:45.280 --> 01:29:51.920]   a series a at 50 or we can just wait until they get to 5 million of arr and then pay 20 times and
[01:29:51.920 --> 01:29:56.560]   do it at 100 free which of those is the better risk adjusted return let me tell you there's a
[01:29:56.560 --> 01:30:01.840]   lot of risk in going from 1 million arr to 5 million arr that's hard it's hard there's a
[01:30:01.840 --> 01:30:05.360]   lot of things you need a sales team you're just you're not doing it through the founders
[01:30:05.360 --> 01:30:10.640]   yeah you need to start scaling a team you need a real sales capacity but also
[01:30:10.640 --> 01:30:15.200]   a lot of startups that could sort of hack together and cobble together one million of
[01:30:15.200 --> 01:30:21.680]   arr based on non-scalable techniques that various startup incubators teach like you know don't do
[01:30:21.680 --> 01:30:27.120]   things that don't scale programs right it's okay to do that from zero to one but not one to ten
[01:30:27.120 --> 01:30:32.000]   right well well or it's it's not that it's not okay it's just that it doesn't work right like
[01:30:32.000 --> 01:30:35.360]   you're not going to be able to cobble together five million of ar you can cobble together one
[01:30:35.360 --> 01:30:39.680]   million of ar you can use the cheat code to get there so what i'm saying is there's a lot of risk
[01:30:39.680 --> 01:30:44.240]   in going from one to five you find out whether the product's really scalable so what is the better
[01:30:44.240 --> 01:30:45.120]   deal wait till 100.
[01:30:45.120 --> 01:30:52.480]   wait till it's priced at 100 or 120 million pre or doing the deal at 40 to 50. now if you love the
[01:30:52.480 --> 01:30:57.040]   if you love the company you want to get in as early as possible but i think you're going to
[01:30:57.040 --> 01:31:01.760]   start seeing a dynamic where in the same way that last year everyone went earlier and earlier you're
[01:31:01.760 --> 01:31:07.120]   going to see vc start to sit back and go a little later and later prove it to us a dead man's zone
[01:31:07.120 --> 01:31:09.760]   nobody should be putting money into deals right now what is it why
[01:31:09.760 --> 01:31:15.040]   what does it do unless unless you're in the business unless you're in the business of
[01:31:15.040 --> 01:31:21.360]   running a fee generating machine if you're really trying to generate alpha you have to have a sense
[01:31:21.360 --> 01:31:25.520]   of what's actually happening in the world right now if you're just trying to deliver the market
[01:31:25.520 --> 01:31:32.560]   beta and run an index then yeah you're right you should ignore this idea that there could be
[01:31:32.560 --> 01:31:37.680]   more price adjustments but if you look at the public markets which is again the ultimate
[01:31:37.680 --> 01:31:44.960]   terminal buyer they have more cash than they ever had since 2008 which means that there is no real
[01:31:44.960 --> 01:31:49.760]   reason to buy you're talking about private companies it all ultimately ends up in the
[01:31:49.760 --> 01:31:55.040]   public markets and so if the public markets are saying there is no reason to buy this stuff
[01:31:55.040 --> 01:32:00.960]   it trickles down so then the crossover investor who has a public private business says you know
[01:32:00.960 --> 01:32:06.960]   what on the public side i'm completely de-risked and in cash and so on the private side i'll just
[01:32:06.960 --> 01:32:10.880]   be a little bit more circumspect and wait as david said i'll just wait six months
[01:32:10.880 --> 01:32:14.880]   and put even more money in later i'll actually have a better
[01:32:14.880 --> 01:32:21.520]   irr and i'll make the same profit dollars so then the series b and c firm who used to feed those
[01:32:21.520 --> 01:32:27.040]   deals to the crossover folks are like oh well if you're waiting i don't want to have to write
[01:32:27.040 --> 01:32:31.120]   a check to support these folks my whole point was to have you mark up the deal so i could raise a
[01:32:31.120 --> 01:32:37.920]   new fund they slow down and then that goes back to the series a person who's like well wait a minute
[01:32:37.920 --> 01:32:42.880]   you know the reason i paid it at 50 pre was because i thought you'd step in and buy it at 100.
[01:32:44.800 --> 01:32:50.640]   slow down so all i'm saying is i think that we are at the point of the cycle where constipation
[01:32:50.640 --> 01:32:57.120]   is setting it and this is why you're seeing such a downtick in deal velocity and dollars put to work
[01:32:57.120 --> 01:33:02.240]   this is uh great advice i want everybody to take i'm going to take the opposite advice and i'm
[01:33:02.240 --> 01:33:06.960]   going to do twice as many deals in the seed stage as everybody else but i encourage every venture
[01:33:06.960 --> 01:33:11.280]   capitalist and seed fund to take chamath's advice i'm doing the opposite because a five-person
[01:33:11.280 --> 01:33:14.720]   company this isn't advice this is just a market observation i'm just telling you
[01:33:14.720 --> 01:33:20.640]   what observation i hope everybody takes that as the truth because what i'm seeing is the founders
[01:33:20.640 --> 01:33:26.320]   who are raising and who have real businesses are so sharp right now and so focused on costs
[01:33:26.320 --> 01:33:31.280]   and profits and what matters and they have eliminated all the that doesn't there's a
[01:33:31.280 --> 01:33:35.840]   whole contingent i don't know if you're seeing it sax i'd say it's one out of five one out of four
[01:33:35.840 --> 01:33:39.600]   that are like i understand what's happening here and i'm going to take advantage of this moment
[01:33:39.600 --> 01:33:44.640]   in time and i'm going to just drive revenue and profit but what happens to the 250 billion dollar
[01:33:44.640 --> 01:33:48.720]   that's been put to work in the last two years that need to get up rounds yeah it doesn't matter to me
[01:33:48.720 --> 01:33:52.400]   all i care about is meeting young companies that are growing with revenue but i think they're they're
[01:33:52.400 --> 01:33:57.920]   just trying to have i'm trying to have a conversation yeah yeah no i mean that's a lot of
[01:33:57.920 --> 01:34:02.800]   indigestion yeah they're gonna have to cut their staffs by half and get to profitability ultimately
[01:34:02.800 --> 01:34:08.720]   the way that valuations matter or price levels matter is there's an entry price and an exit price
[01:34:08.720 --> 01:34:14.560]   and ideally if you can time it right you want to invest when valuation levels are low and you want
[01:34:14.560 --> 01:34:20.240]   to exit when valuation levels are high if you were a vc last year you should have been realizing as
[01:34:20.240 --> 01:34:24.880]   much as you can because valuation levels are really high there was a good uh tweet by one of
[01:34:24.880 --> 01:34:29.440]   uh brett gerstner's colleagues at altimeter basically saying she was talking to lps and
[01:34:29.440 --> 01:34:34.480]   asking what they care about and what she reported lps is saying is that if you're a
[01:34:34.480 --> 01:34:38.960]   fund that's more than five years old and you didn't distribute during the best yep window
[01:34:38.960 --> 01:34:44.480]   ever which was 2018 or 2021 it's a hard no you know we're not going to be re-upping with your
[01:34:44.480 --> 01:34:49.440]   i'll say it even more if you're if you're a venture investor who took a longitudinal view
[01:34:49.440 --> 01:34:55.600]   on public market stocks and then have now seen 60 to 70 percent write downs of those same stocks
[01:34:55.600 --> 01:35:00.160]   that you could have distributed you should still have something to answer to that makes
[01:35:00.160 --> 01:35:06.400]   no sense it turns out that the skill of private market investing and the skill of public market
[01:35:06.400 --> 01:35:11.440]   investing are different even if all you're doing is delivering the market beta it's still different
[01:35:11.440 --> 01:35:14.400]   enough we had this discussion last year remember i was saying should i distribute
[01:35:14.400 --> 01:35:18.320]   for the shares of robin hood should i hold them what should i be doing we told you to distribute
[01:35:18.320 --> 01:35:23.040]   and i distributed i distributed everything you know and uh and in terms of secondary i feel
[01:35:23.040 --> 01:35:26.560]   particularly you feel like a genius now because your lp should say thank you jason they should
[01:35:26.560 --> 01:35:31.760]   know some of them are saying that what i feel smart about i'll be honest is uh we had i think
[01:35:31.760 --> 01:35:34.960]   let's just say i'm making up a number four out of five times we were offered
[01:35:34.960 --> 01:35:40.160]   the opportunity to trim our positions in secondary with our winners uh from people who wanted to
[01:35:40.160 --> 01:35:44.320]   buy secondary shares i did it probably four out of five times um and i'm just kicking myself i'd
[01:35:44.320 --> 01:35:49.120]   into it the fifth or i didn't ask if they would take more because my god we were able to clear
[01:35:49.120 --> 01:35:53.200]   some positions at very high valuations that are now lower than that in the private markets and
[01:35:53.200 --> 01:35:58.160]   send cash to our lps and get our you know get over our hurdles and our first two funds
[01:35:58.160 --> 01:36:02.720]   which you know i feel smart about i think that you should feel so
[01:36:02.720 --> 01:36:07.600]   so good about that that is that is really hard what you did and i think people underestimate
[01:36:07.600 --> 01:36:14.240]   how hard it is it is really hard to actually return more money than you have taken it yeah
[01:36:14.240 --> 01:36:21.760]   i mean that's what i'm focused on just that simple statement and and by the way it was hard in the
[01:36:21.760 --> 01:36:27.680]   last 10 years where we've had basically a massive up market and the four of us frankly benefited
[01:36:27.680 --> 01:36:32.640]   from the extraordinary luck of being in tech yeah no it's super lucky i think the big thing that's
[01:36:32.640 --> 01:36:36.240]   going to happen right now i'm seeing it all over the place is m a i think is going to start ticking
[01:36:36.240 --> 01:36:40.560]   up just today amazon acquired one medical for 3.9 billion one medical operates a network of
[01:36:40.560 --> 01:36:44.160]   clinics if you don't know three point nine billion dollar enterprise value for a hundred and eight
[01:36:44.160 --> 01:36:49.200]   and eighty two franchises which is 21 million a franchise look at what happened to their um look
[01:36:49.200 --> 01:36:55.680]   what happened to their stock price no i know i went from 60 in the peak in february of 2021 to uh
[01:36:55.680 --> 01:36:59.840]   seven in may and they bought it they basically bought it at the same price it was trading at
[01:36:59.840 --> 01:37:03.920]   in january no my point is you could buy a mcdonald's franchise for 2 million or you could
[01:37:03.920 --> 01:37:08.960]   buy the company that fixes the people that needed mcdonald's for 21 million that's why they got by
[01:37:08.960 --> 01:37:14.080]   the way at mcdonald's you can't make money selling pharmaceuticals and upselling you know other stuff
[01:37:14.080 --> 01:37:19.280]   that amazon's gonna certainly i think it's super interesting i think it's super interesting that
[01:37:19.280 --> 01:37:24.720]   amazon's getting into this business wow i mean that is really interesting they clearly have a
[01:37:24.720 --> 01:37:31.360]   an economic model that shows um some significant footprint and retail footprint well yeah and there
[01:37:31.360 --> 01:37:36.480]   may also be kind of a supplement pharmaceutical kind of upgrade opportunity there's synergy in this
[01:37:36.480 --> 01:37:42.400]   uh business and think about the synergy between what they're getting is also not just the physical
[01:37:42.400 --> 01:37:44.000]   locations but a network of different types of businesses that are going to be able to get into
[01:37:44.000 --> 01:37:47.680]   the field and so you can see that there's a network of doctors that can do telehealth i don't know if
[01:37:47.680 --> 01:37:52.800]   you guys have ever used one medical but they do really um you know easy zoom telehealth services
[01:37:52.800 --> 01:37:57.280]   and so you could hop on get a prescription have it fulfilled by amazon it shows up at your doorstep in
[01:37:57.280 --> 01:38:01.840]   under an hour genius it'll be an incredible synergy for that business and probably a real
[01:38:01.840 --> 01:38:06.080]   value driver not just at the core units but with respect to other things they're going to sell
[01:38:06.080 --> 01:38:12.720]   through your one medical doctor will provision a blood test he or she will analyze those blood tests
[01:38:12.720 --> 01:38:13.920]   over a telehealth
[01:38:13.920 --> 01:38:16.560]   and then they'll be able to get a prescription and then they'll be able to get a blood test
[01:38:16.560 --> 01:38:19.840]   and then they'll be able to get a blood test and then they'll be able to get a blood test and then
[01:38:19.840 --> 01:38:21.760]   they'll be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:21.760 --> 01:38:24.000]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:24.000 --> 01:38:26.240]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:26.240 --> 01:38:29.040]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:29.040 --> 01:38:31.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:31.600 --> 01:38:34.240]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:34.240 --> 01:38:36.640]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:36.640 --> 01:38:39.520]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:39.520 --> 01:38:41.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:41.600 --> 01:38:43.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:43.600 --> 01:38:45.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:45.600 --> 01:38:47.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:47.600 --> 01:38:49.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:49.600 --> 01:38:51.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:51.600 --> 01:38:53.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:53.600 --> 01:38:55.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:55.600 --> 01:38:57.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:57.600 --> 01:38:59.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:38:59.600 --> 01:39:01.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:01.600 --> 01:39:03.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:03.600 --> 01:39:05.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:05.600 --> 01:39:07.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:07.600 --> 01:39:09.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:09.600 --> 01:39:11.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:11.600 --> 01:39:13.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:13.600 --> 01:39:15.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:15.600 --> 01:39:17.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:17.600 --> 01:39:19.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:19.600 --> 01:39:21.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:21.600 --> 01:39:23.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:23.600 --> 01:39:25.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:25.600 --> 01:39:27.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:27.600 --> 01:39:29.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:29.600 --> 01:39:31.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:31.600 --> 01:39:33.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:33.600 --> 01:39:35.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:35.600 --> 01:39:37.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:37.600 --> 01:39:39.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:39.600 --> 01:39:41.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:41.600 --> 01:39:43.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:43.600 --> 01:39:45.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:45.600 --> 01:39:47.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:47.600 --> 01:39:49.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:49.600 --> 01:39:51.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:51.600 --> 01:39:53.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:53.600 --> 01:39:55.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:55.600 --> 01:39:57.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:57.600 --> 01:39:59.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:39:59.600 --> 01:40:01.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:01.600 --> 01:40:03.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:03.600 --> 01:40:05.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:05.600 --> 01:40:07.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:07.600 --> 01:40:09.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:09.600 --> 01:40:11.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:11.600 --> 01:40:13.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:13.600 --> 01:40:15.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:15.600 --> 01:40:17.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:17.600 --> 01:40:19.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:19.600 --> 01:40:21.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:21.600 --> 01:40:23.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:23.600 --> 01:40:25.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:25.600 --> 01:40:27.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:27.600 --> 01:40:29.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:29.600 --> 01:40:31.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:31.600 --> 01:40:33.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:33.600 --> 01:40:35.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:35.600 --> 01:40:37.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:37.600 --> 01:40:39.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:39.600 --> 01:40:41.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:41.600 --> 01:40:43.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:43.600 --> 01:40:45.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:45.600 --> 01:40:47.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:47.600 --> 01:40:49.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:49.600 --> 01:40:51.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:51.600 --> 01:40:53.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:53.600 --> 01:40:55.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:55.600 --> 01:40:57.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:57.600 --> 01:40:59.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:40:59.600 --> 01:41:01.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:01.600 --> 01:41:03.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:03.600 --> 01:41:05.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:05.600 --> 01:41:07.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:07.600 --> 01:41:09.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:09.600 --> 01:41:11.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:11.600 --> 01:41:13.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:13.600 --> 01:41:15.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:15.600 --> 01:41:17.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:17.600 --> 01:41:19.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:19.600 --> 01:41:21.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:21.600 --> 01:41:23.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:23.600 --> 01:41:25.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
[01:41:25.600 --> 01:41:27.600]   be able to get a blood test and then they'll be able to get a blood test and then they'll
