
[00:00:00.000 --> 00:00:03.000]   Welcome back to 6S094
[00:55:32.000 --> 00:55:33.500]   what is new about this
[00:55:33.500 --> 00:55:35.800]   so why is Audi saying
[00:55:35.800 --> 00:55:37.800]   this is the first L3 system
[00:55:37.800 --> 00:55:39.300]   worldwide on the market
[00:55:39.300 --> 00:55:43.900]   when talking about these levels of automation
[00:55:43.900 --> 00:55:45.200]   there's a classification
[00:55:45.200 --> 00:55:46.800]   which starts at level 0
[00:55:46.800 --> 00:55:49.300]   which is basically the driver is doing everything
[00:55:49.300 --> 00:55:50.800]   there's no assistance
[00:55:50.800 --> 00:55:51.300]   nothing
[00:55:51.300 --> 00:55:54.800]   and then it gradually becomes
[00:55:54.800 --> 00:55:56.900]   into partly automation
[00:55:56.900 --> 00:55:59.600]   and when we're talking about these assistance functions
[00:55:59.900 --> 00:56:02.000]   like lane keeping and distance keeping
[00:56:02.000 --> 00:56:05.000]   we're talking about level 2 assistance functions
[00:56:05.000 --> 00:56:05.500]   okay
[00:56:05.500 --> 00:56:06.200]   which is
[00:56:06.200 --> 00:56:10.200]   meaning that the driver is
[00:56:10.200 --> 00:56:12.100]   obliged
[00:56:12.100 --> 00:56:15.000]   to permanently monitor the traffic situation
[00:56:15.000 --> 00:56:16.900]   to keep the hands on the wheel
[00:56:16.900 --> 00:56:19.400]   even though there's a support and an assistance
[00:56:19.400 --> 00:56:21.800]   and to intervene immediately
[00:56:21.800 --> 00:56:24.000]   if anything is not quite right
[00:56:24.000 --> 00:56:26.900]   so you know that from lane assistance systems
[00:56:26.900 --> 00:56:28.400]   when the steering is not
[00:56:28.800 --> 00:56:30.700]   perfectly in the right lane
[00:56:30.700 --> 00:56:33.100]   you have to intervene and correct immediately
[00:56:33.100 --> 00:56:35.100]   and that is the main difference
[00:56:35.100 --> 00:56:37.800]   now we got a takeover request
[00:56:37.800 --> 00:56:38.600]   so what
[00:56:38.600 --> 00:56:39.500]   so let's
[00:56:39.500 --> 00:56:40.900]   let's talk about what
[00:56:40.900 --> 00:56:44.400]   that means this is
[00:56:44.400 --> 00:56:46.200]   still a human-centered system
[00:56:46.200 --> 00:56:47.600]   it still struggles
[00:56:47.600 --> 00:56:50.300]   it still must solve the human-robot interaction problem
[00:56:50.300 --> 00:56:54.400]   and there's many others playing in the space
[00:56:54.400 --> 00:56:56.100]   on the on the full autonomy side
[00:56:56.100 --> 00:56:57.200]   Waymo, Uber
[00:56:58.000 --> 00:57:00.200]   GM Cruise, Newtonomy
[00:57:00.200 --> 00:57:03.800]   the CTO of which will speak here on Tuesday
[00:57:03.800 --> 00:57:05.500]   Optimus Ride
[00:57:05.500 --> 00:57:07.200]   Zenuity
[00:57:07.200 --> 00:57:08.500]   Voyage
[00:57:08.500 --> 00:57:12.700]   the CEO of which will speak here next Thursday
[00:57:12.700 --> 00:57:15.300]   and Aurora
[00:57:15.300 --> 00:57:17.200]   not listed
[00:57:17.200 --> 00:57:20.600]   the founder of which will speak here next Friday
[00:57:20.600 --> 00:57:24.000]   and the human-centered autonomy side
[00:57:24.000 --> 00:57:25.100]   the reason I am
[00:57:26.600 --> 00:57:28.000]   speaking about it so much today
[00:57:28.000 --> 00:57:29.400]   is we don't have any speakers
[00:57:29.400 --> 00:57:30.500]   I'm the speaker
[00:57:30.500 --> 00:57:33.400]   the Tesla Autopilot
[00:57:33.400 --> 00:57:35.000]   is for several years now
[00:57:35.000 --> 00:57:36.900]   doing incredible work on that side
[00:57:36.900 --> 00:57:40.000]   we're also working with Volvo Pilot Assist
[00:57:40.000 --> 00:57:43.000]   as a lot of different approaches there
[00:57:43.000 --> 00:57:44.100]   more conservative
[00:57:44.100 --> 00:57:45.200]   interesting
[00:57:45.200 --> 00:57:48.200]   the Audi Traffic Jam Assist
[00:57:48.200 --> 00:57:50.200]   as I mentioned the A8 being released
[00:57:50.200 --> 00:57:51.500]   at the end of this year
[00:57:51.500 --> 00:57:54.200]   the Mercedes Drive Pilot Assist
[00:57:54.200 --> 00:57:55.200]   and the E-Class
[00:57:55.800 --> 00:57:58.000]   an interesting vehicle that I got to drive
[00:57:58.000 --> 00:58:00.400]   quite a bit is the Cadillac Super Cruise
[00:58:00.400 --> 00:58:01.500]   the CT6
[00:58:01.500 --> 00:58:04.100]   which is very much constrained
[00:58:04.100 --> 00:58:05.900]   geographically to highway driving
[00:58:05.900 --> 00:58:07.700]   and
[00:58:07.700 --> 00:58:10.800]   the loudest proudest of them all
[00:58:10.800 --> 00:58:14.200]   George Hotz of the ComAi OpenPilot
[00:58:14.200 --> 00:58:16.200]   I'll just leave that there
[00:58:16.200 --> 00:58:20.100]   So
[00:58:20.100 --> 00:58:22.300]   where can AI help?
[00:58:22.300 --> 00:58:28.700]   We'll get into the details of the coming lectures
[00:58:28.700 --> 00:58:30.200]   on each individual component
[00:58:30.200 --> 00:58:32.000]   I'd like to give some examples
[00:58:32.000 --> 00:58:36.700]   the key areas, problem spaces
[00:58:36.700 --> 00:58:39.500]   that we can use machine learning
[00:58:39.500 --> 00:58:40.600]   to solve from data
[00:58:40.600 --> 00:58:42.800]   is localization and mapping
[00:58:42.800 --> 00:58:45.600]   so being able to localize yourself in the space
[00:58:45.600 --> 00:58:48.300]   the very first question that a robot needs to answer
[00:58:48.300 --> 00:58:49.600]   where am I?
[00:58:51.200 --> 00:58:52.400]   Scene understanding
[00:58:52.400 --> 00:58:54.900]   taking the scene in and interpreting that scene
[00:58:54.900 --> 00:58:57.100]   detecting all the entities in the scene
[00:58:57.100 --> 00:59:01.100]   detecting the class of those entities
[00:59:01.100 --> 00:59:04.100]   in order to then do movement planning
[00:59:04.100 --> 00:59:05.700]   to move around those entities
[00:59:05.700 --> 00:59:07.700]   and finally driver state
[00:59:07.700 --> 00:59:10.400]   essential element for the human-robot interaction
[00:59:10.400 --> 00:59:12.200]   perceive everything about the driver
[00:59:12.200 --> 00:59:14.300]   everything about the pedestrian and the cyclist
[00:59:14.300 --> 00:59:15.600]   and the cars outside
[00:59:15.600 --> 00:59:17.500]   the human element of those
[00:59:17.500 --> 00:59:21.000]   the human perception side
[00:59:22.000 --> 00:59:23.500]   so first the where am I?
[00:59:23.500 --> 00:59:25.000]   visual odometry
[00:59:25.000 --> 00:59:26.900]   using camera sensors
[00:59:26.900 --> 00:59:29.700]   which is really where
[00:59:29.700 --> 00:59:31.900]   once again deep learning is most
[00:59:31.900 --> 00:59:35.300]   the vision sensor is the most amenable
[00:59:35.300 --> 00:59:36.800]   to learning based approaches
[00:59:36.800 --> 00:59:38.700]   and visual odometry
[00:59:38.700 --> 00:59:41.100]   is using camera to localize yourself
[00:59:41.100 --> 00:59:42.700]   to answer the where am I question
[00:59:42.700 --> 00:59:47.000]   the traditional approaches of SLAM
[00:59:49.200 --> 00:59:51.400]   detect features in the scene
[00:59:51.400 --> 00:59:54.000]   and track them through time
[00:59:54.000 --> 00:59:55.100]   from frame to frame
[00:59:55.100 --> 00:59:56.700]   and from the movement
[00:59:56.700 --> 00:59:58.300]   of those features
[00:59:58.300 --> 01:00:00.000]   are able to estimate
[01:00:00.000 --> 01:00:01.900]   thousands of features
[01:00:01.900 --> 01:00:02.900]   tracking
[01:00:02.900 --> 01:00:04.500]   estimate the location
[01:00:04.500 --> 01:00:06.900]   the orientation of the vehicle
[01:00:06.900 --> 01:00:07.900]   or the camera
[01:00:07.900 --> 01:00:13.400]   those methods with stereo vision
[01:00:13.400 --> 01:00:16.600]   first requires taking two camera streams
[01:00:16.600 --> 01:00:17.900]   on distorting them
[01:00:18.100 --> 01:00:19.500]   computing disparity map
[01:00:19.500 --> 01:00:21.900]   from the different perspectives of the two camera
[01:00:21.900 --> 01:00:24.400]   computing the matching between the two
[01:00:24.400 --> 01:00:27.000]   the feature detection
[01:00:27.000 --> 01:00:28.900]   the sift and fast
[01:00:28.900 --> 01:00:31.000]   or any of the methods of extracting
[01:00:31.000 --> 01:00:32.900]   non deep learning methods of this
[01:00:32.900 --> 01:00:34.300]   extracting features
[01:00:34.300 --> 01:00:36.500]   strong detectable features
[01:00:36.500 --> 01:00:37.500]   that can be tracked through
[01:00:37.500 --> 01:00:38.700]   from frame to frame
[01:00:38.700 --> 01:00:40.100]   tracking those features
[01:00:40.100 --> 01:00:42.200]   and estimating the trajectory
[01:00:42.200 --> 01:00:44.500]   the orientation of the camera
[01:00:44.500 --> 01:00:47.200]   that's the traditional approach to visual odometry
[01:00:48.200 --> 01:00:51.400]   in the recent years since 2015
[01:00:51.400 --> 01:00:54.800]   but most success in the last year
[01:00:54.800 --> 01:00:58.300]   has been the end-to-end deep learning approaches
[01:00:58.300 --> 01:01:00.700]   either stereo or monocular cameras
[01:01:00.700 --> 01:01:02.300]   DeepVO
[01:01:02.300 --> 01:01:05.100]   is one of the most successful
[01:01:05.100 --> 01:01:08.500]   the end-to-end method is taking a sequence of images
[01:01:08.500 --> 01:01:10.300]   extracting with a CNN
[01:01:10.300 --> 01:01:11.800]   from each image
[01:01:11.800 --> 01:01:14.400]   essential features from each image
[01:01:14.400 --> 01:01:16.100]   and then using RNN
[01:01:16.100 --> 01:01:17.200]   recurrent neural network
[01:01:17.200 --> 01:01:18.900]   to track over time
[01:01:18.900 --> 01:01:20.800]   the trajectory the pose of the camera
[01:01:20.800 --> 01:01:25.300]   image to pose
[01:01:25.300 --> 01:01:26.300]   end-to-end
[01:01:26.300 --> 01:01:29.500]   here's the visualization on a KITTI dataset
[01:01:29.500 --> 01:01:31.600]   using DeepVO
[01:01:31.600 --> 01:01:35.200]   again taking the video up on the top right
[01:01:35.200 --> 01:01:36.400]   as an input
[01:01:36.400 --> 01:01:38.500]   and estimating what's visualized
[01:01:38.500 --> 01:01:41.500]   is the position of the vehicle
[01:01:41.500 --> 01:01:44.000]   in red is the estimate
[01:01:44.600 --> 01:01:46.500]   based again end-to-end
[01:01:46.500 --> 01:01:48.100]   with a CNN and RNN
[01:01:48.100 --> 01:01:50.600]   the in red is the estimate
[01:01:50.600 --> 01:01:52.500]   in blue is the ground truth
[01:01:52.500 --> 01:01:53.700]   in the KITTI dataset
[01:01:53.700 --> 01:01:59.400]   so this removes a lot of the modular parts of SLAM
[01:01:59.400 --> 01:02:01.700]   a visual odometry
[01:02:01.700 --> 01:02:04.200]   and allows it to be end-to-end
[01:02:04.200 --> 01:02:06.000]   which means it's learnable
[01:02:06.000 --> 01:02:07.800]   which means it gets better with data
[01:02:07.800 --> 01:02:10.100]   that's huge
[01:02:10.100 --> 01:02:13.000]   and that's vision alone
[01:02:14.100 --> 01:02:16.700]   this is one of the exciting opportunities for AI
[01:02:16.700 --> 01:02:18.800]   or people working in AI
[01:02:18.800 --> 01:02:21.200]   is the ability to
[01:02:21.200 --> 01:02:23.100]   use a single sensor
[01:02:23.100 --> 01:02:25.000]   and perhaps the most inspiring
[01:02:25.000 --> 01:02:27.700]   because that sensor is similar to our own
[01:02:27.700 --> 01:02:30.600]   the sensor that we ourselves use
[01:02:30.600 --> 01:02:32.100]   of our eyes
[01:02:32.100 --> 01:02:34.200]   to use that alone
[01:02:34.200 --> 01:02:36.400]   as the primary sensor to control a vehicle
[01:02:36.400 --> 01:02:38.300]   that's really exciting
[01:02:38.300 --> 01:02:40.100]   and the fact that deep learning
[01:02:40.100 --> 01:02:41.300]   that the vision
[01:02:41.300 --> 01:02:42.500]   visible light
[01:02:42.500 --> 01:02:44.700]   is the most amenable to deep learning approaches
[01:02:44.700 --> 01:02:45.900]   makes this
[01:02:45.900 --> 01:02:48.700]   particularly an exciting area for deep learning research
[01:02:48.700 --> 01:02:50.900]   scene understanding of course
[01:02:50.900 --> 01:02:52.900]   we can do a thousand slides on this
[01:02:52.900 --> 01:02:55.000]   traditionally object detection
[01:02:55.000 --> 01:02:56.500]   pedestrians, vehicles
[01:02:56.500 --> 01:02:59.300]   there is a bunch of different types of classifiers
[01:02:59.300 --> 01:03:00.400]   and feature extractors
[01:03:00.400 --> 01:03:01.500]   heart-like features
[01:03:01.500 --> 01:03:03.100]   and deep learning
[01:03:03.100 --> 01:03:04.900]   has basically taken over
[01:03:04.900 --> 01:03:06.700]   and dominated every aspect
[01:03:06.700 --> 01:03:08.900]   of scene interpretation
[01:03:08.900 --> 01:03:10.100]   perception
[01:03:10.100 --> 01:03:11.200]   understanding
[01:03:11.200 --> 01:03:12.000]   tracking
[01:03:12.500 --> 01:03:14.900]   recognition classification detection problems
[01:03:14.900 --> 01:03:17.000]   and audio
[01:03:17.000 --> 01:03:18.300]   can't forget audio
[01:03:18.300 --> 01:03:22.900]   that we can use audio
[01:03:22.900 --> 01:03:24.900]   as source of information
[01:03:24.900 --> 01:03:27.400]   whether that's detecting honks or in this case
[01:03:27.400 --> 01:03:29.600]   using the audio of the tires
[01:03:29.600 --> 01:03:31.000]   microphones on the tires
[01:03:31.000 --> 01:03:34.100]   to determine visualize there's a spectrogram
[01:03:34.100 --> 01:03:35.200]   of the audio coming in
[01:03:40.600 --> 01:03:42.700]   for those of you who are particularly have a
[01:03:42.700 --> 01:03:45.300]   particularly tuned ear can listen
[01:03:45.300 --> 01:03:46.700]   to the different
[01:03:46.700 --> 01:03:48.500]   audio coming in here
[01:03:48.500 --> 01:03:53.300]   of wet road and dry road after the rain
[01:03:53.300 --> 01:03:56.100]   so there's no rain but the road is nevertheless wet
[01:03:56.100 --> 01:03:59.600]   and detecting that is extremely important for vehicles
[01:03:59.600 --> 01:04:01.700]   because they still don't have traction control
[01:04:01.700 --> 01:04:03.300]   is that have poor control
[01:04:03.300 --> 01:04:06.000]   in road to road surface
[01:04:06.000 --> 01:04:07.600]   tire road surface connection
[01:04:07.600 --> 01:04:10.100]   and being able to detect that from just audio
[01:04:10.500 --> 01:04:12.000]   is a very interesting approach
[01:04:12.000 --> 01:04:16.200]   finally
[01:04:16.200 --> 01:04:17.800]   or not finally next
[01:04:17.800 --> 01:04:19.800]   for the perception control side finally
[01:04:19.800 --> 01:04:21.600]   is the movement planning
[01:04:21.600 --> 01:04:22.900]   getting from A to point
[01:04:22.900 --> 01:04:24.200]   from point A to point B
[01:04:24.200 --> 01:04:25.800]   traditional approaches
[01:04:25.800 --> 01:04:28.800]   the optimization based approach
[01:04:28.800 --> 01:04:31.100]   determine the optimal control
[01:04:31.100 --> 01:04:33.400]   try to reduce the problem
[01:04:33.400 --> 01:04:35.200]   formalize the problem in a way
[01:04:35.200 --> 01:04:37.700]   that's amenable to optimization
[01:04:37.700 --> 01:04:39.200]   based approaches
[01:04:39.300 --> 01:04:43.200]   there's a lot of assumptions that need to be made
[01:04:43.200 --> 01:04:45.900]   but once those assumptions are made
[01:04:45.900 --> 01:04:47.400]   you're able to determine
[01:04:47.400 --> 01:04:48.900]   generate
[01:04:48.900 --> 01:04:52.400]   thousands or millions of possible trajectories
[01:04:52.400 --> 01:04:53.800]   and have an objective function
[01:04:53.800 --> 01:04:55.800]   would determine which of the trajectories to take
[01:04:55.800 --> 01:04:57.700]   here's a race car optimizing
[01:04:57.700 --> 01:05:00.300]   how to take a turn at high speed
[01:05:00.300 --> 01:05:03.500]   with deep learning
[01:05:03.500 --> 01:05:05.600]   reinforcement learning
[01:05:07.800 --> 01:05:10.100]   the application neural networks to reinforcement learning
[01:05:10.100 --> 01:05:12.000]   is particularly exciting
[01:05:12.000 --> 01:05:15.400]   for both the control and the planning side
[01:05:15.400 --> 01:05:19.300]   so that's where
[01:05:19.300 --> 01:05:22.100]   the two of the competitions we're doing in this class
[01:05:22.100 --> 01:05:22.900]   coming to play
[01:05:22.900 --> 01:05:26.500]   the simplistic two-dimensional world of deep traffic
[01:05:26.500 --> 01:05:31.000]   and the high speed moving
[01:05:31.000 --> 01:05:32.900]   high risk
[01:05:32.900 --> 01:05:35.500]   world of deep crash
[01:05:36.500 --> 01:05:38.600]   (car crash)
[01:05:38.600 --> 01:05:40.400]   we'll explore those tomorrow
[01:05:40.400 --> 01:05:44.900]   tomorrow's lectures on deep reinforcement learning
[01:05:44.900 --> 01:05:47.800]   and finally driver state
[01:05:47.800 --> 01:05:50.600]   detecting everything about the driver
[01:05:50.600 --> 01:05:52.500]   and then interacting with them
[01:05:52.500 --> 01:05:53.900]   on the left and green
[01:05:53.900 --> 01:05:55.200]   are the easier problems
[01:05:55.200 --> 01:05:57.300]   on the right and red are the harder problems
[01:05:57.300 --> 01:05:58.700]   in terms of perception
[01:05:58.700 --> 01:05:59.400]   in terms of
[01:05:59.400 --> 01:06:02.400]   how amenable they are to deep learning methods
[01:06:02.400 --> 01:06:04.300]   body pose estimation
[01:06:04.500 --> 01:06:06.000]   is a very well studied
[01:06:06.000 --> 01:06:08.100]   problem
[01:06:08.100 --> 01:06:10.300]   we have extremely good detectors
[01:06:10.300 --> 01:06:11.700]   for estimating the pose
[01:06:11.700 --> 01:06:14.400]   the hands, the elbows, the shoulders
[01:06:14.400 --> 01:06:16.900]   every aspect, visible aspect of the body
[01:06:16.900 --> 01:06:20.100]   head pose, the orientation of the head
[01:06:20.100 --> 01:06:22.000]   we're extremely good at that
[01:06:22.000 --> 01:06:25.700]   and as we get smaller and smaller in terms of size
[01:06:25.700 --> 01:06:26.800]   blink rate
[01:06:26.800 --> 01:06:28.400]   blink duration
[01:06:28.400 --> 01:06:29.700]   eye pose
[01:06:29.700 --> 01:06:30.900]   and blink dynamics
[01:06:30.900 --> 01:06:32.400]   start getting more and more difficult
[01:06:32.400 --> 01:06:34.200]   all of these metrics
[01:06:34.300 --> 01:06:36.600]   all of these metrics extremely important
[01:06:36.600 --> 01:06:38.400]   for detecting things like drowsiness
[01:06:38.400 --> 01:06:40.700]   or as components of detecting emotion
[01:06:40.700 --> 01:06:42.700]   or where people are looking
[01:06:42.700 --> 01:06:45.700]   in driving where your head is turned
[01:06:45.700 --> 01:06:47.800]   is not necessarily where you're looking
[01:06:47.800 --> 01:06:50.500]   in regular life
[01:06:50.500 --> 01:06:53.100]   non-driving life
[01:06:53.100 --> 01:06:54.200]   when you look somewhere
[01:06:54.200 --> 01:06:55.700]   you usually turn your head
[01:06:55.700 --> 01:06:58.800]   to look with your eyes
[01:06:58.800 --> 01:07:02.800]   in driving your head often stays still
[01:07:02.800 --> 01:07:04.000]   or moves very subtly
[01:07:04.200 --> 01:07:05.800]   your eyes do a lot more moving
[01:07:05.800 --> 01:07:07.500]   it's the kind of
[01:07:07.500 --> 01:07:11.200]   effect that we described as the lizard owl effect
[01:07:11.200 --> 01:07:15.100]   some fraction of people a small fraction are owls
[01:07:15.100 --> 01:07:17.100]   meaning they move their head a lot
[01:07:17.100 --> 01:07:19.900]   and some people
[01:07:19.900 --> 01:07:21.700]   most people are lizards
[01:07:21.700 --> 01:07:24.000]   moving eyes to allocate their attention
[01:07:24.000 --> 01:07:25.800]   the problem with eyes
[01:07:25.800 --> 01:07:27.800]   is from the computer vision perspective
[01:07:27.800 --> 01:07:29.500]   they're much harder to detect in
[01:07:29.500 --> 01:07:31.700]   lighting variation in real-world conditions
[01:07:32.200 --> 01:07:34.300]   they get harder and we'll discuss how to deal with it
[01:07:34.300 --> 01:07:35.800]   of course
[01:07:35.800 --> 01:07:37.300]   that's where deep learning steps up
[01:07:37.300 --> 01:07:39.100]   and really helps with real-world data
[01:07:39.100 --> 01:07:42.300]   cognitive load we'll discuss as well
[01:07:42.300 --> 01:07:44.300]   estimating the cognitive load of the driver
[01:07:44.300 --> 01:07:47.300]   to give a quick clip
[01:07:47.300 --> 01:07:49.900]   is this is the driver glance we've seen before
[01:07:49.900 --> 01:07:51.500]   estimating the very
[01:07:51.500 --> 01:07:55.500]   most important problem on driver state side
[01:07:55.500 --> 01:07:58.000]   is
[01:07:58.000 --> 01:08:00.500]   determining whether they're looking on road
[01:08:00.500 --> 01:08:01.400]   or off-road
[01:08:02.100 --> 01:08:03.700]   it's the dumbest simplest
[01:08:03.700 --> 01:08:05.500]   but most important aspect
[01:08:05.500 --> 01:08:06.400]   are they looking at
[01:08:06.400 --> 01:08:07.400]   are they in the seat
[01:08:07.400 --> 01:08:08.500]   and looking on the road
[01:08:08.500 --> 01:08:09.600]   or are they not
[01:08:09.600 --> 01:08:13.600]   that's driver glance classification
[01:08:13.600 --> 01:08:17.200]   not estimating the XYZ geometric orientation
[01:08:17.200 --> 01:08:18.000]   where they're looking
[01:08:18.000 --> 01:08:21.300]   but actually binary class classification
[01:08:21.300 --> 01:08:22.800]   on road or off-road
[01:08:22.800 --> 01:08:24.800]   body pose estimation
[01:08:24.800 --> 01:08:27.400]   determining of the hands are on wheel
[01:08:27.400 --> 01:08:28.600]   or not
[01:08:28.600 --> 01:08:30.600]   determining if the body alignment
[01:08:30.600 --> 01:08:32.300]   is standard is good
[01:08:32.300 --> 01:08:34.200]   for seat belt
[01:08:34.200 --> 01:08:35.200]   for safety
[01:08:35.200 --> 01:08:37.300]   this is one of the important things
[01:08:37.300 --> 01:08:38.500]   for autonomous vehicles
[01:08:38.500 --> 01:08:41.200]   if there's an imminent danger to the driver
[01:08:41.200 --> 01:08:44.400]   the driver should be asked to return to a position
[01:08:44.400 --> 01:08:45.400]   that is safe for them
[01:08:45.400 --> 01:08:47.100]   in a case of a crash
[01:08:47.100 --> 01:08:49.100]   driver in motion
[01:08:49.100 --> 01:08:55.500]   on the top is a satisfied
[01:08:55.500 --> 01:08:58.100]   on the bottom is a frustrated driver
[01:08:58.900 --> 01:09:00.700]   they self-reported satisfied
[01:09:00.700 --> 01:09:02.400]   this is with a voice-based navigation
[01:09:02.400 --> 01:09:03.300]   one of the biggest
[01:09:03.300 --> 01:09:05.900]   sources of frustrations for people in cars
[01:09:05.900 --> 01:09:07.200]   is voice-based navigation
[01:09:07.200 --> 01:09:09.900]   trying to tell an artificial intelligence system
[01:09:09.900 --> 01:09:11.500]   using your voice alone
[01:09:11.500 --> 01:09:12.600]   where you would like to go
[01:09:12.600 --> 01:09:15.000]   huge source of frustration
[01:09:15.000 --> 01:09:17.400]   one of the interesting things
[01:09:17.400 --> 01:09:19.200]   in our large data set that we have
[01:09:19.200 --> 01:09:20.900]   from the effective computing
[01:09:20.900 --> 01:09:22.300]   perspective is determining
[01:09:22.300 --> 01:09:23.400]   which of the features
[01:09:23.400 --> 01:09:26.800]   are most commonly associated with frustrated
[01:09:26.800 --> 01:09:28.100]   voice-based interaction
[01:09:28.300 --> 01:09:29.500]   and that's a smile
[01:09:29.500 --> 01:09:30.300]   shown there
[01:09:30.300 --> 01:09:32.400]   it's the counterintuitive notion
[01:09:32.400 --> 01:09:34.000]   that emotion
[01:09:34.000 --> 01:09:35.900]   in particular emotion in the car
[01:09:35.900 --> 01:09:37.400]   is very context dependent
[01:09:37.400 --> 01:09:39.500]   that smiling is not necessarily
[01:09:39.500 --> 01:09:40.500]   a sign of happiness
[01:09:40.500 --> 01:09:41.600]   and
[01:09:41.600 --> 01:09:43.000]   the stoic
[01:09:43.000 --> 01:09:44.900]   bored look
[01:09:44.900 --> 01:09:46.800]   of the driver up top
[01:09:46.800 --> 01:09:50.300]   is not necessarily a reflection of unhappiness
[01:09:50.300 --> 01:09:52.000]   he is indeed
[01:09:52.000 --> 01:09:53.600]   a 10 out of 10
[01:09:53.600 --> 01:09:56.400]   on terms of satisfaction with the experience
[01:09:56.500 --> 01:10:00.500]   if he has ever been satisfied with anything
[01:10:00.500 --> 01:10:04.100]   happens to be Dan Brown
[01:10:04.100 --> 01:10:06.200]   one of the amazing engineers in our team
[01:10:06.200 --> 01:10:08.200]   cognitive load
[01:10:08.200 --> 01:10:10.400]   estimating from the eye region
[01:10:10.400 --> 01:10:12.000]   and sequences of images
[01:10:12.000 --> 01:10:14.100]   3D convolutional neural networks
[01:10:14.100 --> 01:10:17.200]   taking in a sequence of images from the eye
[01:10:17.200 --> 01:10:19.800]   looking at the blink dynamics in the eye position
[01:10:19.800 --> 01:10:21.400]   to determine the cognitive load
[01:10:21.400 --> 01:10:22.800]   from zero to two
[01:10:22.800 --> 01:10:24.600]   how deep in thought you are
[01:10:25.500 --> 01:10:27.600]   two paths to autonomous future
[01:10:27.600 --> 01:10:28.900]   again
[01:10:28.900 --> 01:10:31.200]   I would like to
[01:10:31.200 --> 01:10:32.200]   maybe
[01:10:32.200 --> 01:10:33.600]   for the last time
[01:10:33.600 --> 01:10:35.500]   but probably not
[01:10:35.500 --> 01:10:37.300]   argue for the one on the left
[01:10:37.300 --> 01:10:39.000]   because our brilliant
[01:10:39.000 --> 01:10:40.300]   much smarter than me
[01:10:40.300 --> 01:10:42.800]   guest speakers will argue for the one on the right
[01:10:42.800 --> 01:10:46.300]   the human centered approach
[01:10:46.300 --> 01:10:49.600]   allows us to solve the problems of 99% accuracy
[01:10:49.600 --> 01:10:52.000]   of localization scene understanding movement planning
[01:10:52.000 --> 01:10:54.300]   those are the problems we're taking on this class
[01:10:54.600 --> 01:10:56.900]   the scene segmentation that we'll talk about on Thursday
[01:10:56.900 --> 01:10:58.500]   the control
[01:10:58.500 --> 01:10:59.900]   that we'll talk about tomorrow
[01:10:59.900 --> 01:11:02.500]   and the driver state that we'll talk about next Wednesday
[01:11:02.500 --> 01:11:03.600]   these problems
[01:11:03.600 --> 01:11:04.800]   can be solved
[01:11:04.800 --> 01:11:06.200]   with deep learning today
[01:11:06.200 --> 01:11:08.000]   the problems on the right
[01:11:08.000 --> 01:11:10.400]   solving them to close to 100% accuracy
[01:11:10.400 --> 01:11:13.100]   are extremely difficult and maybe decades away
[01:11:13.100 --> 01:11:15.100]   because for full autonomy
[01:11:15.100 --> 01:11:18.300]   to be here
[01:11:18.300 --> 01:11:20.000]   we have to solve this situation
[01:11:20.000 --> 01:11:22.400]   I've shown this many times Arctic Triumph
[01:11:23.200 --> 01:11:24.800]   we have to solve this situation
[01:11:24.800 --> 01:11:28.500]   I give you just a few examples
[01:11:28.500 --> 01:11:34.300]   what do you do?
[01:11:34.300 --> 01:11:37.100]   you have to solve this situation
[01:11:37.100 --> 01:11:47.500]   a sort of subtler situation here
[01:11:47.500 --> 01:11:48.400]   is a
[01:11:48.400 --> 01:11:51.400]   is a busy crosswalk
[01:11:52.100 --> 01:11:55.600]   where no autonomous vehicle will ever have a hope of getting through
[01:11:55.600 --> 01:11:57.200]   unless it asserts itself
[01:11:57.200 --> 01:12:00.600]   and there's a couple of vehicles here that kind of
[01:12:00.600 --> 01:12:02.200]   nudge themselves through
[01:12:02.200 --> 01:12:03.800]   or at least
[01:12:03.800 --> 01:12:06.200]   when they have the right of way don't necessarily nudge
[01:12:06.200 --> 01:12:08.600]   but don't hesitate when a pedestrian is present
[01:12:08.600 --> 01:12:10.800]   an ambulance flying by even though
[01:12:10.800 --> 01:12:12.300]   if you use a
[01:12:12.300 --> 01:12:14.200]   trajectory so
[01:12:14.200 --> 01:12:16.900]   pedestrian intent modeling algorithm
[01:12:16.900 --> 01:12:19.400]   to predict the momentum of the pedestrian
[01:12:20.400 --> 01:12:22.400]   to estimate where they can possibly go
[01:12:22.400 --> 01:12:24.800]   you would then autonomous vehicle will stop
[01:12:24.800 --> 01:12:26.700]   but these vehicles don't stop
[01:12:26.700 --> 01:12:28.600]   they assert themselves they move forward
[01:12:28.600 --> 01:12:32.300]   now
[01:12:32.300 --> 01:12:34.400]   for a full autonomy system
[01:12:34.400 --> 01:12:38.100]   this may not be the last time I show this video
[01:12:38.100 --> 01:12:41.100]   but because
[01:12:41.100 --> 01:12:42.800]   it's taking full control
[01:12:42.800 --> 01:12:46.800]   it's following a reward function and objective function
[01:12:46.800 --> 01:12:49.800]   and all of the problems the ethical
[01:12:50.400 --> 01:12:52.900]   and the AI problems that arise
[01:12:52.900 --> 01:12:55.500]   like this coast runner problem
[01:12:55.500 --> 01:12:57.200]   will arise
[01:12:57.200 --> 01:12:59.400]   so we have to solve those problems
[01:12:59.400 --> 01:13:01.100]   we have to design that objective function
