
[00:00:00.000 --> 00:00:05.300]   Do you want to fly first class for less than the cost of economy or even just cut your economy
[01:12:17.420 --> 01:12:20.040]   Unfortunately, they pass along surcharges.
[01:12:20.040 --> 01:12:25.940]   So unless you're flying an airline that doesn't impose surcharges, it's not likely to be a good deal.
[01:12:26.060 --> 01:12:34.160]   So that was all a way of saying there are situations where you could get a great, a very good deal with ANA, but I would not.
[01:12:34.160 --> 01:12:40.520]   Yeah, that's for experts only, I think, because because exactly as you said, the award space might go away.
[01:12:40.520 --> 01:12:45.500]   And there's no way you should move points to ANA speculatively.
[01:12:45.500 --> 01:12:49.060]   Those points expire with no recourse.
[01:12:49.060 --> 01:12:49.840]   Yeah.
[01:12:49.840 --> 01:12:51.140]   And it takes a while.
[01:12:51.140 --> 01:12:52.680]   So that's the nerve wracking thing, right?
[01:12:52.700 --> 01:12:57.820]   If the award's gone by the time it gets there, now you've got these expiring miles, I would say.
[01:12:57.820 --> 01:13:03.180]   Only if you are just very flexible and confident you'll use them is it not a scary proposition.
[01:13:03.180 --> 01:13:05.540]   So what about Tap Air Portugal?
[01:13:05.540 --> 01:13:07.240]   I know it's a Cap One partner.
[01:13:07.240 --> 01:13:08.740]   I have zero experience.
[01:13:08.740 --> 01:13:10.640]   Not a lot of transfer bonuses.
[01:13:10.640 --> 01:13:12.500]   I have zero experience, too.
[01:13:12.500 --> 01:13:18.320]   I'm not aware of any good uses of Tap Air miles that are current right now.
[01:13:18.320 --> 01:13:21.940]   I think there used to be a deal with using them to fly Emirates, maybe.
[01:13:21.940 --> 01:13:24.360]   But I don't think that's available anymore.
[01:13:24.360 --> 01:13:25.160]   Yeah.
[01:13:25.160 --> 01:13:30.160]   The other one that I saw as Tai Air is kind of the one partner Citi has that no one else has.
[01:13:30.160 --> 01:13:35.740]   But I have not found anyone in my exhaustive research that has had any use for Tai Air points.
[01:13:35.740 --> 01:13:39.240]   And I'm not an exception to that finding.
[01:13:40.240 --> 01:13:49.380]   Okay, the one I skipped, which is a built-only transfer partner, at least by the time this episode airs, is Alaska.
[01:13:49.380 --> 01:13:52.820]   You know, up until the end of June, you could get there through Hawaiian.
[01:13:53.760 --> 01:13:57.480]   If you have built points, you know, I think Alaska is a great partner.
[01:13:57.480 --> 01:14:00.480]   And, you know, I transferred a ton of Amex points through Hawaiian.
[01:14:00.480 --> 01:14:05.720]   I don't want to get people too excited because built points are among the hardest points to accumulate.
[01:14:05.720 --> 01:14:11.120]   Obviously, if you pay rent, fantastic way to accumulate built points up to $100,000 a year.
[01:14:11.660 --> 01:14:20.940]   And, you know, you still get a card with, you know, three eggs on dining, two eggs on travel, but it's just really tough to accumulate them because there's no sign-up bonus.
[01:14:20.940 --> 01:14:22.080]   There's only one card.
[01:14:22.080 --> 01:14:26.000]   But if you have them, I'm a big fan of Alaska.
[01:14:26.000 --> 01:14:29.600]   I am a huge fan of Alaska, Miles.
[01:14:29.960 --> 01:14:37.400]   I've found so many great uses of them from flying American Airlines for as few as 4,500 points.
[01:14:37.400 --> 01:14:38.340]   4,500.
[01:14:38.340 --> 01:14:41.060]   And these are often, like, really expensive flights.
[01:14:41.060 --> 01:14:50.340]   Like, you know, I've seen them, like, around the holidays for a $500 flight being available for 4,500 Alaska miles.
[01:14:50.340 --> 01:14:52.020]   It's just insane.
[01:14:52.020 --> 01:15:03.000]   I just booked multiple flights to London on American Airlines using Alaska miles, 45,000 miles to go Detroit to Chicago to London.
[01:15:03.000 --> 01:15:07.040]   It's just ridiculous how good of a value that is.
[01:15:07.040 --> 01:15:19.380]   The irony with that example is that you get much better value from the East Coast U.S., even though that's a West Coast-based airline, because of the way their distance-based award chart works.
[01:15:20.020 --> 01:15:22.180]   I won't dwell more because I am a fan.
[01:15:22.180 --> 01:15:24.300]   Obviously, there are the Alaska cards.
[01:15:24.300 --> 01:15:29.980]   Maybe by the time this comes out, their premium card that comes out in the summer that they've talked about is out.
[01:15:29.980 --> 01:15:33.720]   You know, Hawaiian cards will probably, my guess is, be closed for new applications.
[01:15:33.720 --> 01:15:42.120]   But I would say if you can get access to points that transfer to Alaska or you can get Alaska points themselves, I'm a fan.
[01:15:42.120 --> 01:15:46.340]   But it's going to be harder and harder with losing Amex going to Hawaiian.
[01:15:46.340 --> 01:15:47.720]   So good luck.
[01:15:49.720 --> 01:15:52.680]   So we didn't talk much about hotels.
[01:15:52.680 --> 01:16:06.520]   And that's a little bit on purpose because for the most part, and we'll talk about the glaring exception here, which I'm sure you know, most hotel points in general are just not as valuable as airline miles.
[01:16:06.520 --> 01:16:16.580]   And so I looked, you guys do a reasonable redemption value, and it seems like almost every airline mile has a redemption value of greater than one cent.
[01:16:16.580 --> 01:16:28.640]   Hyatt is the one exception, and they're a chase and built transfer partner.
[01:16:28.640 --> 01:16:34.280]   So I definitely want to highlight why Hyatt can be such an excellent value.
[01:16:34.540 --> 01:16:44.100]   And then maybe we run through really briefly on whether there is any value to be had transferring points to any of the other programs, but not dwell on them too much.
[01:16:44.100 --> 01:16:52.120]   Because if you want hotel points often, you're better off accumulating them with hotel cards and hotel signup bonuses than as transfer partners.
[01:16:52.380 --> 01:16:55.700]   And obviously staying in the chains, but let's start with Hyatt.
[01:16:55.700 --> 01:17:03.920]   Well, I mean, Hyatt just has great value for their own hotels, middling value for their Mr. and Mrs. Smith partnership.
[01:17:03.920 --> 01:17:08.020]   So I wouldn't, I wouldn't get excited about transferring to Hyatt for that.
[01:17:08.020 --> 01:17:15.340]   But if you're going to book a Hyatt hotel, there's a very good chance that you can get a great value for your points.
[01:17:15.340 --> 01:17:17.340]   So definitely check that out.
[01:17:17.340 --> 01:17:18.000]   Yep.
[01:17:18.000 --> 01:17:33.600]   I know a lot of people who kind of consider their chase points, Hyatt points, and don't really even consider United, for example, as a transfer partner, because they'd rather use Air Canada because all the points go to Air Canada.
[01:17:33.600 --> 01:17:39.960]   Even if United's a better deal, because using chase points for United means losing points that could go to Hyatt.
[01:17:39.960 --> 01:17:41.340]   Right, right.
[01:17:41.340 --> 01:17:47.460]   And that's because you can't transfer from like Amex to United, where people tend to have a lot of points.
[01:17:47.460 --> 01:17:50.080]   So they use their Amex points and transfer to Air Canada.
[01:17:50.080 --> 01:17:50.660]   Right.
[01:17:50.660 --> 01:17:51.220]   Yeah.
[01:17:51.220 --> 01:17:53.460]   No, that's a totally sound thing.
[01:17:53.460 --> 01:17:56.820]   And it's, you know, 90% my approach as well.
[01:17:56.820 --> 01:17:58.880]   I mentioned earlier, I have transferred to United.
[01:17:58.880 --> 01:18:00.280]   That was quite a while ago now.
[01:18:00.280 --> 01:18:02.360]   I haven't done anything but Hyatt since then.
[01:18:02.360 --> 01:18:02.960]   Yeah.
[01:18:03.120 --> 01:18:03.400]   Yeah.
[01:18:03.400 --> 01:18:06.320]   So in my mind, chase points are pretty much just Hyatt points.
[01:18:06.320 --> 01:18:08.520]   I love that you can book suites with points.
[01:18:08.520 --> 01:18:16.260]   And if you earn status on Hyatt, you know, the upgrade awards that let you confirm suites and upgrade them are fantastic.
[01:18:16.260 --> 01:18:17.560]   I'm a big fan of Hyatt.
[01:18:17.560 --> 01:18:19.740]   I should spend more time on them another episode.
[01:18:19.740 --> 01:18:22.020]   But you will never find a transfer bonus.
[01:18:22.020 --> 01:18:24.800]   I don't think there's ever been one in the history of this game.
[01:18:25.180 --> 01:18:27.200]   We'll do a quick run through.
[01:18:27.200 --> 01:18:34.480]   So Wyndham seems like with Vacasa as a partnership going from Cap 1 or City to Wyndham could make sense.
[01:18:34.480 --> 01:18:35.100]   Yep.
[01:18:35.100 --> 01:18:35.560]   Yep.
[01:18:35.560 --> 01:18:39.400]   You can get decent value booking vacation rentals with Wyndham points.
[01:18:39.740 --> 01:18:43.460]   But it seems like not great value booking Wyndham's with Wyndham points.
[01:18:44.140 --> 01:18:44.980]   It varies.
[01:18:44.980 --> 01:18:45.380]   Yeah.
[01:18:45.380 --> 01:18:47.140]   I mean, sometimes you can get decent value.
[01:18:47.140 --> 01:18:49.560]   But yeah, on average, it doesn't look good.
[01:18:49.560 --> 01:18:50.120]   Yeah.
[01:18:50.120 --> 01:18:50.500]   Yeah.
[01:18:50.500 --> 01:18:54.400]   They've had one to two transfer bonuses a year around that 20% mark.
[01:18:54.760 --> 01:18:59.660]   IHG, I know there's a lot of Chase card holders who might now have IHG status.
[01:18:59.660 --> 01:19:07.820]   Independent of IHG, the program on its own, but as a transfer partner, from my perspective, it's one-to-one from Chase and Bilt.
[01:19:07.820 --> 01:19:11.420]   It just holds nothing to Hyatt as an alternative.
[01:19:11.420 --> 01:19:13.240]   I can't see a reason to transfer ever.
[01:19:13.240 --> 01:19:21.080]   I agree, especially since IHG often has a sale on their points for half a cent each.
[01:19:21.500 --> 01:19:36.160]   And so if you wanted to transfer, let's say, your Chase points to IHG, you can just redeem your Chase points for pennies and then get 100% transfer bonus by buying IHG points for half a cent each when they're on sale.
[01:19:36.160 --> 01:19:36.740]   Yeah.
[01:19:36.740 --> 01:19:44.440]   So you can have 100% transfer bonus much more often than Chase will ever offer even a 70% transfer bonus, which we've seen, I think.
[01:19:44.440 --> 01:19:52.560]   Now, I'd make a similar case that Hilton points are about the same value and about the same frequency of being able to buy them for half a cent.
[01:19:52.560 --> 01:20:00.440]   But the transfer rate from Amex is one-to-two, and they often do a transfer bonus a couple times a year, 25%, 40%.
[01:20:01.000 --> 01:20:10.400]   I don't usually think of transferring Amex points to Hilton, but I remember there were a few people I knew who got Amex shutdowns, and they were like, well, I think I'm just going to move everything to Hilton.
[01:20:10.400 --> 01:20:14.960]   And so what do you think about, as Amex, you don't have access to Hyatt.
[01:20:14.960 --> 01:20:18.940]   Is Hilton a good transfer partner for Amex as a way to use your points?
[01:20:19.480 --> 01:20:24.120]   Yeah, I think especially when there's a transfer bonus, I think it's a really reasonable way to go.
[01:20:24.120 --> 01:20:41.560]   Hilton, especially now that they've partnered with Small Luxury Hotels of the World, SLH, they've opened them up to really good value, meaning you can often get one cent per point value or more from your Hilton points, which is really important to understand that Hilton points are more often worth about half a cent each.
[01:20:41.620 --> 01:21:00.160]   So when you see one cent, that's like double value, or another way of putting it is if you transferred from Amex one to two, which is the normal transfer rate, then you're getting like two cents per Amex point or more value in those situations, or better if you did during a transfer bonus, right?
[01:21:00.160 --> 01:21:04.460]   That's a good use if you're into luxury hotels.
[01:21:04.460 --> 01:21:08.880]   At the sort of more medium, lower end, you're going to find fewer opportunities.
[01:21:08.880 --> 01:21:11.580]   There are opportunities, but there's going to be fewer to use Hilton.
[01:21:11.580 --> 01:21:18.200]   Yeah, they have done some recent devaluations on that high end, but they also do have fifth night free.
[01:21:18.200 --> 01:21:21.080]   So keep that in mind when you're thinking about this.
[01:21:21.080 --> 01:21:25.960]   If it's a five night stay at a high end hotel during a transfer bonus, it could be a good use.
[01:21:25.960 --> 01:21:30.160]   If it's a one night stay, no transfer bonus might be a little trickier.
[01:21:30.160 --> 01:21:34.160]   I spent a lot of years staying at Marriott Properties.
[01:21:34.160 --> 01:21:39.080]   I still have never transferred points because again, like IHG, it's a one to one.
[01:21:39.080 --> 01:21:40.800]   Their points are worth less than a cent.
[01:21:40.800 --> 01:21:46.980]   You know, they do have some transfer bonuses and fifth night free, but it just seems like the math has never worked out.
[01:21:46.980 --> 01:21:48.480]   Yeah, yeah.
[01:21:48.480 --> 01:21:56.680]   And you'll sometimes see good value from your Marriott points, but it's just not predictable enough to want to even consider transferring one to one.
[01:21:56.680 --> 01:21:57.980]   Yeah, I wouldn't do it.
[01:21:58.240 --> 01:22:06.300]   Now, the last one is one that I think the first time I've ever opened up a credit card just for transfer partners was that I'd never held city points.
[01:22:06.300 --> 01:22:12.980]   There weren't any kind of unique things that city had on the airline front except a better ratio to Eva Air.
[01:22:13.140 --> 01:22:17.300]   But it's not easy to accumulate, you know, hundreds and hundreds of thousands of city points.
[01:22:17.300 --> 01:22:25.060]   But they do have Leaders Club and Preferred Hotels as two partners for hotels that seem like there might be some value.
[01:22:25.060 --> 01:22:26.540]   Have you gotten value?
[01:22:26.540 --> 01:22:28.260]   I know you have city cards.
[01:22:29.020 --> 01:22:29.600]   Yeah, yeah.
[01:22:29.600 --> 01:22:36.800]   And of course, there's also the one to two transfer rate to Choice, which can also be used to book preferred hotels.
[01:22:36.800 --> 01:22:41.920]   And so there are two different ways to book preferred hotels with city points.
[01:22:41.920 --> 01:22:46.240]   One is to transfer to Choice, one to two, and then book from there.
[01:22:46.400 --> 01:22:52.980]   The other is to transfer to iPrefer, which is preferred hotels' own program at a one to four rate, which is pretty amazing.
[01:22:52.980 --> 01:22:59.260]   So, yes, there are amazing deals to be had with that preferred hotels transfer.
[01:22:59.260 --> 01:23:03.760]   There are good deals to be had with that Choice transfer.
[01:23:03.760 --> 01:23:12.800]   The problem with the preferred hotels transfer is that preferred hotels, their rewards program is not ready for primetime.
[01:23:12.800 --> 01:23:14.100]   That's being generous.
[01:23:14.100 --> 01:23:16.300]   I mean, it's been really bad.
[01:23:16.300 --> 01:23:17.060]   It's getting better.
[01:23:17.060 --> 01:23:22.640]   Often, like, the searches don't for, you know, free nights just don't work correctly.
[01:23:22.640 --> 01:23:32.200]   If you get past that and get to where you can actually book a hotel, you may encounter issues where the hotel tries to charge you, again, that cash rate.
[01:23:32.200 --> 01:23:33.340]   That happened to me.
[01:23:33.340 --> 01:23:34.700]   I worked through it.
[01:23:34.700 --> 01:23:39.940]   But the point is, like, it's as far from friction-free as it can get.
[01:23:40.040 --> 01:23:46.200]   And so, if you're chasing value, there is value to be had, some amazing value, but be ready for some frustration.
[01:23:46.200 --> 01:23:47.880]   Leaders' club is easier.
[01:23:47.880 --> 01:23:50.900]   So, leaders' club is kind of a fixed value in a way.
[01:23:50.900 --> 01:23:56.640]   From city to leaders' club, the transfer ratio is five to one, which sounds terrible.
[01:23:56.840 --> 01:24:00.500]   Like, you end up with 20% leaders' club points that you started with and city points.
[01:24:00.500 --> 01:24:03.680]   But each leaders' club point is worth around $0.08.
[01:24:03.680 --> 01:24:05.360]   So, it actually works out.
[01:24:05.360 --> 01:24:15.180]   Math works out to getting, like, I forget what it is exactly, like, $1.65 maybe per point from your city points, which is not amazing, but it's good.
[01:24:15.180 --> 01:24:25.200]   My experience, I've only booked one, but my experience with booking a leaders' club, leading hotel of the world hotel, using leaders' club points, was very good.
[01:24:25.200 --> 01:24:30.960]   You join their leaders' club, and that automatically gives you benefits, like breakfast and upgrade and things like that.
[01:24:30.960 --> 01:24:35.340]   And I actually got all of those things and used my city points to book.
[01:24:35.340 --> 01:24:37.520]   So, I had a very good experience.
[01:24:37.520 --> 01:24:40.840]   The number of properties available to book with points isn't huge.
[01:24:40.840 --> 01:24:45.600]   So, you really have to, you know, look at what's available and see if it'll work for you.
[01:24:45.600 --> 01:24:47.400]   But the possibilities are good.
[01:24:47.400 --> 01:24:48.240]   Yeah.
[01:24:48.240 --> 01:24:48.560]   Yeah.
[01:24:48.560 --> 01:24:50.020]   For some reason, I skipped over choice.
[01:24:50.020 --> 01:24:53.120]   So, we mentioned that choice for preferred hotels can be interesting.
[01:24:53.120 --> 01:25:01.540]   But if you're sitting on Amex or CapOne points, and you can go one-to-one to choice, just like a lot of the other hotel programs, don't do it, not worth it.
[01:25:01.540 --> 01:25:02.180]   Right.
[01:25:02.180 --> 01:25:04.020]   I think they had one transfer bonus ever.
[01:25:04.020 --> 01:25:09.580]   And even then, choice points, you know, are not worth that one-to-one ratio.
[01:25:10.160 --> 01:25:10.320]   Yeah.
[01:25:10.320 --> 01:25:13.080]   You can sometimes find choice-as-own hotels.
[01:25:13.080 --> 01:25:17.920]   You might be getting as much as a penny per point value, sometimes a little bit more.
[01:25:17.920 --> 01:25:22.240]   But, you know, that's not great value for your transferable points.
[01:25:22.240 --> 01:25:25.260]   But if you're transferring one to two, then it becomes interesting.
[01:25:25.260 --> 01:25:28.440]   And that you can do from Citibank or Wells Fargo.
[01:25:28.440 --> 01:25:28.980]   Yeah.
[01:25:28.980 --> 01:25:29.280]   Yeah.
[01:25:29.280 --> 01:25:36.660]   We didn't talk about Wells Fargo much because I think they only have Virgin Atlantic, Avios, Flying Blue, Life Miles, and Choice.
[01:25:36.660 --> 01:25:47.780]   So it's a very small portfolio, none of which are kind of unique, though that one-to-two ratio is probably the only thing that kind of stands out as differentiated other than Citi.
[01:25:47.780 --> 01:25:49.740]   And then I didn't mention Accor.
[01:25:50.020 --> 01:25:53.220]   Similarly, my understanding, Accor points are kind of fixed in value.
[01:25:53.220 --> 01:25:54.980]   You've got to transfer two to one.
[01:25:54.980 --> 01:25:56.860]   You're not going to get outsized value.
[01:25:56.860 --> 01:25:59.280]   Built is one and a half to one.
[01:25:59.280 --> 01:26:04.900]   But if you're sitting on built points, I'd take Alaska Miles over Accor points every single day.
[01:26:04.900 --> 01:26:07.020]   Every day.
[01:26:07.020 --> 01:26:07.280]   Yeah.
[01:26:07.400 --> 01:26:08.540]   I totally agree.
[01:26:08.540 --> 01:26:09.960]   This was a lot.
[01:26:09.960 --> 01:26:16.420]   So if people need to go back in the timestamps and find other airlines and get excited, by all means, do that.
[01:26:16.420 --> 01:26:23.240]   The one thing that I noticed in some programs is you really want to make sure you have your program set up in advance.
[01:26:23.240 --> 01:26:30.240]   And so, for example, some airlines don't let you book right away after creating a frequent flyer account.
[01:26:30.640 --> 01:26:34.600]   Some airlines, you know, your names might not match perfectly.
[01:26:34.600 --> 01:26:38.340]   So you want to make sure that maybe you opened an account a long time ago.
[01:26:38.340 --> 01:26:40.480]   You know, for me, I sometimes, is it Christopher?
[01:26:40.480 --> 01:26:41.260]   Is it Chris?
[01:26:41.260 --> 01:26:45.040]   Like, you know, if you have a junior or a suffix, that could be a challenge.
[01:26:45.040 --> 01:26:57.580]   So the one tip, and I wonder if there's anything I'm missing, is take an hour and just open up a few accounts at the programs you might think, after listening to this episode, you'd want to transfer for, just to have them set up.
[01:26:57.580 --> 01:26:59.900]   And do that in advance.
[01:27:00.260 --> 01:27:03.700]   And if you're working with a partner and they have miles, maybe do it for both of you.
[01:27:03.700 --> 01:27:06.260]   And I think that can be important.
[01:27:06.260 --> 01:27:10.400]   And you can go in and link them to your Chase and your Amex account.
[01:27:10.400 --> 01:27:16.080]   Sometimes that check of whether the names match happens at linking so you can find out if there are issues.
[01:27:16.080 --> 01:27:21.600]   Just so that when you find that availability, you're not thinking, oh, gosh, I want to go book this flight.
[01:27:21.600 --> 01:27:22.380]   I just found it.
[01:27:22.380 --> 01:27:24.280]   Now I've got to create an Air France account.
[01:27:24.280 --> 01:27:26.080]   Oh, I linked them and the names don't match.
[01:27:26.080 --> 01:27:27.180]   Now I've got to fix it.
[01:27:27.180 --> 01:27:46.940]   And especially I'd recommend going through the multiple Avios programs, Iberia, British Airways, Qatar, Finnair, and set all those up and make sure that your name, email address, and phone number, home address, all that stuff matches exactly across all of them.
[01:27:46.940 --> 01:27:54.660]   And the reason that's so important with those is that you have to have that exact matchup in order to move your Avios around from one program to another.
[01:27:54.820 --> 01:28:02.840]   Also, Iberia in particular, you can't book awards until your account has been, I can't remember, let's say six months old.
[01:28:02.840 --> 01:28:05.380]   So the sooner you do that, the better.
[01:28:05.380 --> 01:28:09.260]   Okay, there's one last thing that I can't believe I forgot to mention.
[01:28:09.260 --> 01:28:12.820]   And I'll just ask you, even though I know the answer.
[01:28:12.820 --> 01:28:19.400]   Let's say you transfer miles from Amex to an airline or a hotel group and you decide, I didn't really want them.
[01:28:19.700 --> 01:28:21.620]   How easy is it to reverse that process?
[01:28:21.620 --> 01:28:26.400]   Well, it's easy to find out that you can't.
[01:28:26.400 --> 01:28:27.600]   You can't do it.
[01:28:27.600 --> 01:28:29.640]   It's a one-way, one-way trip.
[01:28:29.640 --> 01:28:34.840]   So that's why we keep saying, like, don't do it unless you find the award that you want to book and you're ready to do it.
[01:28:34.840 --> 01:28:35.360]   Yeah.
[01:28:35.360 --> 01:28:35.720]   Yeah.
[01:28:35.760 --> 01:28:38.720]   Many of these transfers are instant, but irreversible.
[01:28:38.720 --> 01:28:42.220]   So I think really make sure you find that availability beforehand.
[01:28:42.220 --> 01:28:52.240]   But hopefully, listening to Greg and I talk about these will open up everyone's eyes to the fact that, yes, booking in the portal might feel easy.
[01:28:52.240 --> 01:28:54.660]   You know, you could just search for a flight, find it, and book it.
[01:28:54.660 --> 01:28:56.640]   And using transfer partners might be harder.
[01:28:57.160 --> 01:29:01.720]   Go back and look at the episode we did, Running Through Travel Tools for Searching for Award Flights.
[01:29:01.720 --> 01:29:04.420]   And I think you'd be surprised that it is easier.
[01:29:04.420 --> 01:29:09.560]   But understanding the programs, I think, is the first thing to kind of make it a little easier.
[01:29:09.560 --> 01:29:12.400]   So I really appreciate you taking the time to walk through all this.
[01:29:12.400 --> 01:29:13.080]   Sure.
[01:29:13.080 --> 01:29:13.480]   Absolutely.
[01:29:13.480 --> 01:29:14.420]   It's always fun to do.
[01:29:14.880 --> 01:29:18.460]   Obviously, we're going to link to a lot of the episodes and posts that you mentioned in this.
[01:29:18.460 --> 01:29:23.960]   But if people want to go deeper on points and miles, where can they find everything you're writing and recording?
[01:29:23.960 --> 01:29:26.540]   At frequentmiler.com is the first place to go.
[01:29:26.540 --> 01:29:34.160]   And check out frequentmiler.com forward slash subscribe to find the opportunity to sign up for our email.
[01:29:34.160 --> 01:29:41.700]   You'll find links to our podcast, to our Facebook group, where if you have questions that you'd like to ask, you know,
[01:29:41.700 --> 01:29:45.420]   other people who are immersed in the same kind of thing go there.
[01:29:45.420 --> 01:29:48.740]   And other resources you'll find there as well.
[01:29:48.740 --> 01:29:51.680]   Greg, as always, thank you so much for being here.
[01:29:51.680 --> 01:29:53.220]   Always fun to be here, Chris.

