
[00:00:00.000 --> 00:00:01.000]   Sound is good?
[01:07:26.840 --> 01:07:32.980]   How many of you think this was machine-generated and this was human-generated?
[01:07:32.980 --> 01:07:34.660]   What about the other way around?
[01:07:34.660 --> 01:07:36.860]   More, more.
[01:07:36.860 --> 01:07:38.260]   So there's a vote.
[01:07:38.260 --> 01:07:39.260]   What about this one?
[01:07:39.260 --> 01:07:42.860]   How many of you think this is machine-generated and this is human-generated?
[01:07:42.860 --> 01:07:43.860]   A few.
[01:07:43.860 --> 01:07:44.860]   What about the other way around?
[01:07:44.860 --> 01:07:45.860]   Ah, great, great.
[01:07:45.860 --> 01:07:52.660]   Well, the truth is I don't really know which one was generated by which machine.
[01:07:52.660 --> 01:07:56.820]   Because that was done, I should actually ask Brendan Lake, who designed the experiments
[01:07:56.820 --> 01:07:58.380]   for this particular model.
[01:07:58.380 --> 01:08:01.580]   But I can tell you that there's been a lot of studies.
[01:08:01.580 --> 01:08:05.480]   He's done a lot of studies, and it's almost 50/50.
[01:08:05.480 --> 01:08:11.940]   So in sort of this kind of small, carved domain, we can actually compete with people trying
[01:08:11.940 --> 01:08:16.220]   to generate these characters.
[01:08:16.220 --> 01:08:21.580]   Now let me step back a little bit and tell you about a different class of models.
[01:08:21.580 --> 01:08:28.540]   These are models known as generative adversarial networks, and they've been gaining a lot of
[01:08:28.540 --> 01:08:34.220]   attraction in our community because they seem to produce remarkable results.
[01:08:34.220 --> 01:08:36.940]   So here's the idea.
[01:08:36.940 --> 01:08:41.700]   We're not going to be really defining explicitly the density, but we need to be able to sample
[01:08:41.700 --> 01:08:43.780]   from the model.
[01:08:43.780 --> 01:08:46.460]   And the interesting thing is that there's no variation learning, there's no maximum
[01:08:46.460 --> 01:08:50.380]   likelihood estimation, there's no Markov chain Monte Carlo, there's no sampling.
[01:08:50.380 --> 01:08:51.660]   How do you do that?
[01:08:51.660 --> 01:08:53.520]   How do you learn these models?
[01:08:53.520 --> 01:08:56.140]   And it turns out that you can learn these models by playing a game.
[01:08:56.140 --> 01:08:58.980]   And that's a very clever strategy.
[01:08:58.980 --> 01:09:00.660]   And the idea is the following.
[01:09:00.660 --> 01:09:03.020]   You're going to be setting up a game between two players.
[01:09:03.020 --> 01:09:08.620]   You're going to have a discriminator, D, think of it as a convolutional neural network, and
[01:09:08.620 --> 01:09:12.540]   then you're going to have a generator, G. Maybe you can think of it as a variation learning
[01:09:12.540 --> 01:09:17.980]   core or a Helmholtz machine or something that gives you samples from the data.
[01:09:17.980 --> 01:09:24.380]   The discriminator, D, is going to be discriminating between a sample from the data distribution
[01:09:24.380 --> 01:09:26.780]   and a sample from the generator.
[01:09:26.780 --> 01:09:32.020]   So the goal of the discriminator is to basically say, is this a fake sample or is this a real
[01:09:32.020 --> 01:09:33.020]   sample?
[01:09:33.020 --> 01:09:36.260]   A fake sample is a sample generated by the model.
[01:09:36.260 --> 01:09:39.060]   A real sample is what you see in your data.
[01:09:39.060 --> 01:09:41.860]   Can you tell the difference between the two?
[01:09:41.860 --> 01:09:47.100]   And the generator is going to be trying to fool the discriminator by trying to generate
[01:09:47.100 --> 01:09:50.820]   samples that are hard for the discriminator to discriminate.
[01:09:50.820 --> 01:09:56.300]   So my goal as a generator would be to generate really nice looking digits so that the discriminator
[01:09:56.300 --> 01:10:00.540]   wouldn't be able to tell the difference between the simulated and the real.
[01:10:00.540 --> 01:10:02.940]   That's the key idea.
[01:10:02.940 --> 01:10:08.540]   And so here is intuitively what that looks like.
[01:10:08.540 --> 01:10:13.180]   Let's say you have some data, so images of faces.
[01:10:13.180 --> 01:10:17.900]   I give you an image of a face, and now I have a discriminator that basically says, well,
[01:10:17.900 --> 01:10:23.000]   if I get a real face, I push it through some function, some differentiable function.
[01:10:23.000 --> 01:10:27.140]   Think of it as a convolutional neural network or another differentiable function.
[01:10:27.140 --> 01:10:29.260]   And here I'm outputting one.
[01:10:29.260 --> 01:10:32.820]   So I want to output one if it's a real sample.
[01:10:32.820 --> 01:10:37.460]   Then you have a generator, and generator is you have some noise, so input noise.
[01:10:37.460 --> 01:10:38.780]   Think of it as a Gaussian distribution.
[01:10:38.780 --> 01:10:41.220]   Think about Helmholtz machines.
[01:10:41.220 --> 01:10:46.100]   Given some noise, I go through differentiable function, which is your generator, and I generate
[01:10:46.100 --> 01:10:47.100]   a sample.
[01:10:47.100 --> 01:10:49.980]   This is how my sample might look like.
[01:10:49.980 --> 01:10:55.260]   And then on top of it, I take this sample, I put it into my discriminator, and I say,
[01:10:55.260 --> 01:10:59.260]   for my discriminator, I want to output zero.
[01:10:59.260 --> 01:11:05.140]   Because my discriminator will have to say, well, this is fake, and this is real.
[01:11:05.140 --> 01:11:06.140]   That's the goal.
[01:11:06.140 --> 01:11:12.260]   And the generator basically says, well, how can I get a sample such that my discriminator
[01:11:12.260 --> 01:11:17.260]   is going to be confused, such that the discriminator always outputs one here, because it believes
[01:11:17.260 --> 01:11:21.960]   it's a true sample, believes it's coming from the true data.
[01:11:21.960 --> 01:11:23.960]   So now you have these systems.
[01:11:23.960 --> 01:11:26.660]   So what's the objective?
[01:11:26.660 --> 01:11:29.740]   The objective is a min-max value function.
[01:11:29.740 --> 01:11:35.940]   It's a very intuitive objective function that has the following structure.
[01:11:35.940 --> 01:11:40.740]   You have a discriminator that says, well, this is an expectation with respect to distribution,
[01:11:40.740 --> 01:11:41.740]   data distribution.
[01:11:41.740 --> 01:11:46.420]   So this is basically saying, I want to classify any data points that I get from my data as
[01:11:46.420 --> 01:11:48.140]   being real.
[01:11:48.140 --> 01:11:52.340]   So I want this output to be one, because if it's one, the whole thing is going to be zero.
[01:11:52.340 --> 01:11:55.780]   If it's less than one, it's going to be negative.
[01:11:55.780 --> 01:11:57.960]   And I really want to maximize it.
[01:11:57.960 --> 01:12:01.920]   And then discriminator is saying, well, any time I generate a sample, whatever samples
[01:12:01.920 --> 01:12:07.560]   comes out from my generator, I want to classify it as being fake.
[01:12:07.560 --> 01:12:10.600]   That's the goal of the discriminator.
[01:12:10.600 --> 01:12:11.600]   And then there's a generator.
[01:12:11.600 --> 01:12:15.560]   The generator is sort of the other-- you try to minimize this function, which essentially
[01:12:15.560 --> 01:12:20.920]   says, well, generate samples that discriminator would classify as real.
[01:12:20.920 --> 01:12:26.080]   So I really am going to try to change the parameters of my generator such that this
[01:12:26.080 --> 01:12:27.880]   would produce zero.
[01:12:27.880 --> 01:12:29.240]   Oh, sorry.
[01:12:29.240 --> 01:12:32.280]   So the discriminator would produce one.
[01:12:32.280 --> 01:12:36.480]   So trying to fool the discriminator.
[01:12:36.480 --> 01:12:40.800]   And it turns out the optimal strategy for discriminator is this ratio, which is probability
[01:12:40.800 --> 01:12:44.740]   of the data divided by the probability of the data plus probability of the model.
[01:12:44.740 --> 01:12:48.940]   And in general, if you succeed in building a good generative model, then probability
[01:12:48.940 --> 01:12:50.920]   of the data would be the same as probability of the model.
[01:12:50.920 --> 01:12:56.720]   So discriminator will always be confused to one half.
[01:12:56.720 --> 01:13:01.680]   And here's one particular-- it seems like a simple idea, but it turns out to work remarkably
[01:13:01.680 --> 01:13:02.680]   well.
[01:13:02.680 --> 01:13:08.480]   Here's an architecture called deconvolutional generative adversarial network architecture
[01:13:08.480 --> 01:13:10.960]   that takes the code-- this is a random code.
[01:13:10.960 --> 01:13:12.320]   It's a Gaussian code.
[01:13:12.320 --> 01:13:16.480]   It passes through a sequence of convolutions, a sequence of deconvolutions.
[01:13:16.480 --> 01:13:23.080]   So given the code, you sort of deconvolve it back to high dimensional image.
[01:13:23.080 --> 01:13:25.900]   And you train it using adversarial setting.
[01:13:25.900 --> 01:13:27.320]   This is your sampling.
[01:13:27.320 --> 01:13:28.760]   You generate the image.
[01:13:28.760 --> 01:13:31.720]   And then there is a discriminator, which is just a convolutional neural network that's
[01:13:31.720 --> 01:13:33.040]   trying to say, is that real?
[01:13:33.040 --> 01:13:34.200]   Is that a fake?
[01:13:34.200 --> 01:13:39.820]   And if you train these models on bedrooms-- these are called L-SUN data sets, a bunch
[01:13:39.820 --> 01:13:46.200]   of bedrooms-- this is how samples from the model would look like, which is pretty impressive.
[01:13:46.200 --> 01:13:49.840]   And in fact, when I look at these samples, I'm also sort of thinking, well, maybe the
[01:13:49.840 --> 01:13:55.840]   model is memorizing the data, because these samples look remarkably impressive.
[01:13:55.840 --> 01:13:57.900]   Then there was a follow up work.
[01:13:57.900 --> 01:14:01.320]   These are samples from the CFAR data set.
[01:14:01.320 --> 01:14:04.040]   So here you're seeing training samples.
[01:14:04.040 --> 01:14:09.400]   And here you're seeing samples generated from the model, which is, again, very impressive.
[01:14:09.400 --> 01:14:14.000]   If you look at the structure in these samples, it's quite remarkable that you can generate
[01:14:14.000 --> 01:14:20.840]   samples that look very realistic, actually.
[01:14:20.840 --> 01:14:26.580]   This is what's done-- again, this was done by Tim Salomon and his collaborators.
[01:14:26.580 --> 01:14:31.040]   If you look at the ImageNet and you look at the training data on the ImageNet and looking
[01:14:31.040 --> 01:14:33.800]   at the samples, again, you look-- this is a horse.
[01:14:33.800 --> 01:14:38.000]   This is like-- there's some animal that is an airplane and so forth.
[01:14:38.000 --> 01:14:41.520]   There's like some kind of a truck and such.
[01:14:41.520 --> 01:14:47.800]   So it looks-- when I look at these images, I was very impressed by the quality of these
[01:14:47.800 --> 01:14:52.120]   images, because generally, it's very, very hard to generate realistic looking images.
[01:14:52.120 --> 01:14:58.100]   And the last thing I want to point out-- this was picked up by Ian Goodfellow.
[01:14:58.100 --> 01:15:02.920]   If you cherry pick some of the examples, this is what generated images look like.
[01:15:02.920 --> 01:15:09.280]   So you can sort of see there is a little bit of interesting structure that you're seeing
[01:15:09.280 --> 01:15:12.040]   in these samples.
[01:15:12.040 --> 01:15:17.600]   And one question still remains with these models is, how can we evaluate these models
[01:15:17.600 --> 01:15:18.600]   properly?
[01:15:18.600 --> 01:15:24.640]   Is the model really learning a space of all possible images and how images-- what's the
[01:15:24.640 --> 01:15:26.280]   coherency in those images?
[01:15:26.280 --> 01:15:32.040]   Or is the model mostly kind of like blurring things around and just making some small changes
[01:15:32.040 --> 01:15:33.040]   to the data?
[01:15:33.040 --> 01:15:37.200]   So the question that I would really want-- would like to answer-- to get an answer to
[01:15:37.200 --> 01:15:42.480]   is that, if I show you a new example, a new test image, a new kind of a horse, would the
[01:15:42.480 --> 01:15:45.480]   model say, yes, this is a likely image?
[01:15:45.480 --> 01:15:47.120]   This is very probable images.
[01:15:47.120 --> 01:15:51.760]   I've seen similar images before or something like that or not.
[01:15:51.760 --> 01:15:54.600]   So that still remains an open question.
[01:15:54.600 --> 01:15:58.960]   But again, this is the class of models which steps away from maximum likelihood estimation,
[01:15:58.960 --> 01:16:05.800]   sort of sets it up in a game theoretic framework, which is a really nice set of work.
[01:16:05.800 --> 01:16:08.920]   And in the computer vision community, a lot of people are showing a lot of progress in
[01:16:08.920 --> 01:16:15.760]   using these kinds of models because they tend to generate much more realistic-looking images.
[01:16:15.760 --> 01:16:21.160]   So let me just summarize to say that I've shown you, hopefully, a set of learning algorithms
[01:16:21.160 --> 01:16:23.560]   for deep unsupervised models.
[01:16:23.560 --> 01:16:27.640]   There's a lot of space in these models, a lot of excitement in that space.
[01:16:27.640 --> 01:16:31.120]   And I just wanted to point out that these models, the deep models, they improve upon
[01:16:31.120 --> 01:16:34.400]   current state of the art in a lot of different application domains.
[01:16:34.400 --> 01:16:38.440]   And as I mentioned before, there's been a lot of progress in discriminative models,
[01:16:38.440 --> 01:16:43.680]   convolutional models, using recurrent neural networks for solving action recognition models,
[01:16:43.680 --> 01:16:45.280]   dealing with videos.
[01:16:45.280 --> 01:16:53.320]   And unsupervised learning still remains a field where we've made some progress, but
[01:16:53.320 --> 01:16:56.560]   there's still a lot of progress to be made.
[01:16:56.560 --> 01:16:58.400]   And let me stop there.
[01:16:58.400 --> 01:16:59.400]   So thank you.
[01:16:59.400 --> 01:16:59.400]   [APPLAUSE]
[01:16:59.400 --> 01:17:21.880]   Go to the mics.
[01:17:21.880 --> 01:17:28.760]   So as a Bayesian guy, I'm pretty depressed by the fact that GAN can generate a clearer
[01:17:28.760 --> 01:17:31.160]   image than the variational autoencoder.
[01:17:31.160 --> 01:17:37.640]   So my question is, do you think there could be an energy-based framework or a probabilistic
[01:17:37.640 --> 01:17:43.240]   interpretation of why GAN is so successful, other than it's just a MiMAX game?
[01:17:43.240 --> 01:17:47.520]   I think that generally, if you look at-- I sort of go back and forth between variational
[01:17:47.520 --> 01:17:52.960]   autoencoders, because some of my friends at OpenAI are saying that they can actually generate
[01:17:52.960 --> 01:17:57.320]   really nice-looking images using variational autoencoders.
[01:17:57.320 --> 01:17:59.440]   I'm looking at Peter here.
[01:17:59.440 --> 01:18:06.440]   But I think that one of the problems with image generation today is that with variational
[01:18:06.440 --> 01:18:11.320]   autoencoders, there is this notion of Gaussian loss function.
[01:18:11.320 --> 01:18:17.760]   And what it does is it basically says, well, never produce crystal-clear images, because
[01:18:17.760 --> 01:18:22.760]   if you're wrong, if you put the edge in the wrong place, you're going to be penalized
[01:18:22.760 --> 01:18:26.800]   a lot because of the L2 loss function.
[01:18:26.800 --> 01:18:30.720]   What the GANs are doing, GANs are basically saying, well, I don't really care where I
[01:18:30.720 --> 01:18:35.000]   put the edge, as long as it looks realistic so that I can fool my classifier.
[01:18:35.000 --> 01:18:38.880]   So what tends to happen in practice, and a lot of times, if you actually look at the
[01:18:38.880 --> 01:18:43.920]   images generated by GANs, sometimes they have a lot of artifacts, like these specific things
[01:18:43.920 --> 01:18:47.240]   that pop up.
[01:18:47.240 --> 01:18:49.560]   Whereas in variational autoencoders, you don't see that.
[01:18:49.560 --> 01:18:52.840]   But again, the problem with variational autoencoders is they tend to produce images that are much
[01:18:52.840 --> 01:18:58.080]   more diffused or not as sharp or not as clear as what GANs is doing.
[01:18:58.080 --> 01:19:02.120]   And there's been some work on trying to sharpen the images, which is you're using variational
[01:19:02.120 --> 01:19:07.960]   autoencoders to generate the globally coherent scene, and then you're using generative adversarialness
[01:19:07.960 --> 01:19:10.120]   to maybe sharpen it.
[01:19:10.120 --> 01:19:13.400]   Again, it depends what loss function you're using.
[01:19:13.400 --> 01:19:18.240]   And GANs seem to be able to deal with that problem implicitly, because they don't really
[01:19:18.240 --> 01:19:25.400]   care whether you get the edge quite right or not, as long as it fools your classifier.
[01:19:25.400 --> 01:19:26.400]   Thank you.
[01:19:26.400 --> 01:19:27.400]   Hi.
[01:19:27.400 --> 01:19:31.440]   Thank you very much for the interesting talk.
[01:19:31.440 --> 01:19:37.760]   I have a question about the variational autoencoder.
[01:19:37.760 --> 01:19:42.920]   For the more challenging data set, like the street view house number, I noticed that many
[01:19:42.920 --> 01:19:48.720]   implementation, they use a PCA to preprocess the data before they train the model.
[01:19:48.720 --> 01:19:52.120]   What is your thought on that preprocessing step?
[01:19:52.120 --> 01:19:54.080]   Why is it necessary to do that?
[01:19:54.080 --> 01:19:57.040]   Why don't we just learn from the raw pixel?
[01:19:57.040 --> 01:19:59.880]   I actually don't know.
[01:19:59.880 --> 01:20:03.640]   My experience has been that we don't really do a lot of preprocessing.
[01:20:03.640 --> 01:20:07.560]   What you can do is you can do ZCA preprocessing, and you can take the mean, you can take the
[01:20:07.560 --> 01:20:10.680]   second order covariance structure from the data.
[01:20:10.680 --> 01:20:13.000]   That sometimes helps, sometimes it doesn't.
[01:20:13.000 --> 01:20:17.400]   But I don't see any particular reason why you'd want to do PCA preprocessing.
[01:20:17.400 --> 01:20:24.760]   It's just one of-- just like we've seen a lot in our field, people just doing x, y,
[01:20:24.760 --> 01:20:30.200]   and then later on they figure out that they don't really need x and y.
[01:20:30.200 --> 01:20:33.760]   Maybe it was working better for their implementation, for their particular task, but generally I
[01:20:33.760 --> 01:20:46.520]   haven't seen people doing a lot of preprocessing using PCA for training variational timecodes.
[01:20:46.520 --> 01:20:47.520]   Any more questions?
[01:20:47.520 --> 01:20:49.520]   Yes, there's one.
[01:20:49.520 --> 01:20:55.240]   This is regarding binary RBMs.
[01:20:55.240 --> 01:21:00.780]   So if you look at the literature for, let us say, estimation of the partition function
[01:21:00.780 --> 01:21:06.520]   for Ising models, you will see that the literature is a lot more rich compared to the variational
[01:21:06.520 --> 01:21:10.600]   inference literature for restricted Boltzmann machines, especially in the binary context.
[01:21:10.600 --> 01:21:12.200]   Is there a cultural reason for this?
[01:21:12.200 --> 01:21:18.680]   Because specifically, you have for the strictly ferromagnetic case, you have a fully polynomial
[01:21:18.680 --> 01:21:24.080]   time approximation scheme for estimating the log partition function.
[01:21:24.080 --> 01:21:29.640]   But then I don't see usage of these FPRAS algorithms in the RBM space.
[01:21:29.640 --> 01:21:35.260]   So when you juxtapose the literature for the Ising models compared to binary RBMs, you'll
[01:21:35.260 --> 01:21:36.980]   find a very stark asymmetry.
[01:21:36.980 --> 01:21:38.260]   Is there a reason for this?
[01:21:38.260 --> 01:21:45.100]   Yeah, so the thing about Ising models is that if you're in a ferromagnetic case, or if you
[01:21:45.100 --> 01:21:48.420]   have certain particular structure to the Ising models, you can use a lot of techniques.
[01:21:48.420 --> 01:21:51.220]   Even if you use techniques like coupling from the past, you can draw exact samples from
[01:21:51.220 --> 01:21:52.560]   the models.
[01:21:52.560 --> 01:21:55.460]   You can compute the log partition function of polynomial time if you have a specific
[01:21:55.460 --> 01:21:56.460]   structure.
[01:21:56.460 --> 01:22:00.360]   But the problem with RBMs is that generally those assumptions don't apply.
[01:22:00.360 --> 01:22:03.980]   You cannot learn a model which is a ferromagnetic model with RBMs, just where all your weights
[01:22:03.980 --> 01:22:04.980]   are positive.
[01:22:04.980 --> 01:22:08.820]   That's a lot of constraints to put on these class of models.
[01:22:08.820 --> 01:22:14.740]   So that's why-- and once you get outside of these assumptions, then the problem becomes
[01:22:14.740 --> 01:22:17.980]   NP-hard for estimating the partition function.
[01:22:17.980 --> 01:22:20.940]   And obviously, for learning these systems, you need the gradient of the log of the partition
[01:22:20.940 --> 01:22:22.060]   function.
[01:22:22.060 --> 01:22:23.380]   And that's where all the problems come in.
[01:22:23.380 --> 01:22:27.300]   I don't think there is a solution for that.
[01:22:27.300 --> 01:22:33.180]   And unfortunately, variational methods are also not working as well as approximations
[01:22:33.180 --> 01:22:37.660]   like contrastive divergence, or something based on sampling.
[01:22:37.660 --> 01:22:41.340]   People have looked at better approximations and using more sophisticated techniques, but
[01:22:41.340 --> 01:22:43.620]   it hasn't really popped up yet.
[01:22:43.620 --> 01:22:46.580]   Practically, it just doesn't work as well.
[01:22:46.580 --> 01:22:49.580]   But it's a good question.
[01:22:49.580 --> 01:22:50.580]   Hello.
[01:22:50.580 --> 01:23:00.340]   I'm curious about using auto-coder to get semantic hash, especially in text.
[01:23:00.340 --> 01:23:07.620]   Do we need any special representation, text representation, like word to vector as input
[01:23:07.620 --> 01:23:11.100]   for our text sequence?
[01:23:11.100 --> 01:23:15.580]   So I've talked about the model, which is a very simple model, which is modeling bag of
[01:23:15.580 --> 01:23:16.580]   words.
[01:23:16.580 --> 01:23:17.580]   Yes.
[01:23:17.580 --> 01:23:22.100]   You can use word2vec and initialize the model, because it's a way of just taking your words
[01:23:22.100 --> 01:23:25.460]   and projecting them into the semantic space.
[01:23:25.460 --> 01:23:31.300]   There has been a lot of recent techniques using, like Richard was mentioning, GRUs as
[01:23:31.300 --> 01:23:36.340]   a way, if you want to work with sentences, or if you want to embed the entire document
[01:23:36.340 --> 01:23:41.780]   into the semantic space, and if you want to make it binary, you can use GRUs, bidirectional
[01:23:41.780 --> 01:23:44.580]   GRUs, to get the representation of the document.
[01:23:44.580 --> 01:23:47.300]   I think that would probably work better than using word2vec and then just adding things
[01:23:47.300 --> 01:23:48.300]   up.
[01:23:48.300 --> 01:23:52.140]   And then based on that, you can learn a hashing function that maps that particular representation
[01:23:52.140 --> 01:23:57.340]   to the binary space, in which case you can do searching fairly efficiently.
[01:23:57.340 --> 01:23:59.700]   So as an input representation, there are lots of choices.
[01:23:59.700 --> 01:24:06.940]   You can use bidirectional GRUs, which is the method of choice right now.
[01:24:06.940 --> 01:24:14.100]   You can use GloVe, or you can use word2vec and sum up the representations of the words.
[01:24:14.100 --> 01:24:20.620]   Okay, so using only back of word, we use only normal network, that is no recurrence network,
[01:24:20.620 --> 01:24:22.300]   or just simple network?
[01:24:22.300 --> 01:24:23.300]   Yeah, that's right.
[01:24:23.300 --> 01:24:26.820]   But again, your representation can be whatever that representation is, as long as it's differentiable,
[01:24:26.820 --> 01:24:27.820]   right?
[01:24:27.820 --> 01:24:34.900]   Because in this case, you can back propagate through the bidirectional GRUs and learn what
[01:24:34.900 --> 01:24:35.900]   these representations should be.
[01:24:35.900 --> 01:24:36.900]   Okay, thank you so much.
[01:24:36.900 --> 01:24:41.900]   Okay, let's thank Russ again.
[01:24:41.900 --> 01:24:43.080]   (audience applauding)

