
[00:00:00.000 --> 00:00:01.800]   Narcissism is not arrogance.
[02:26:16.440 --> 02:26:18.600]   Like, it's interesting, right?
[02:26:18.600 --> 02:26:21.600]   Because even if, let's say I take my self-advice,
[02:26:21.600 --> 02:26:24.520]   it doesn't feel good, obviously, but it's like, wow.
[02:26:24.520 --> 02:26:26.560]   Like, I went to school for like eight years for this
[02:26:26.560 --> 02:26:28.520]   and you don't even wanna hear my opinion, right?
[02:26:28.520 --> 02:26:30.400]   You're not taking good care of yourself, right?
[02:26:30.400 --> 02:26:32.440]   It doesn't mean you should think my opinion is gospel
[02:26:32.440 --> 02:26:35.240]   'cause I said it, but people then don't
[02:26:35.240 --> 02:26:37.640]   have an understanding of, like, what is expertise?
[02:26:37.640 --> 02:26:39.120]   What do people learn?
[02:26:39.120 --> 02:26:42.760]   How can people help us understand and make better decisions?
[02:26:42.760 --> 02:26:44.480]   It kinda goes out with the wash
[02:26:44.480 --> 02:26:47.560]   and then the position of the expert,
[02:26:47.560 --> 02:26:48.920]   I mean, a lot has been written about this, right,
[02:26:48.920 --> 02:26:52.840]   gets diminished over time very much to our own peril.
[02:26:52.840 --> 02:26:56.080]   And then often with aggression in the medical world
[02:26:56.080 --> 02:26:59.880]   coming back towards the alleged expert.
[02:26:59.880 --> 02:27:01.880]   - Yeah, expertise is a tricky one.
[02:27:01.880 --> 02:27:03.920]   It's such a tricky thing
[02:27:03.920 --> 02:27:08.920]   because coupled with expertise,
[02:27:08.920 --> 02:27:12.960]   the attention is this arrogance
[02:27:12.960 --> 02:27:14.880]   that can come with expertise.
[02:27:14.880 --> 02:27:18.040]   The arrogance can make the expert feel
[02:27:18.040 --> 02:27:19.600]   like they're more of an expert.
[02:27:19.600 --> 02:27:22.040]   And it's a vicious cycle.
[02:27:22.040 --> 02:27:25.000]   And then the arrogance in the current, in the 21st century,
[02:27:25.000 --> 02:27:25.960]   especially with the internet,
[02:27:25.960 --> 02:27:29.640]   the arrogance can completely force the public
[02:27:29.640 --> 02:27:31.800]   to distrust the expert 'cause it always sees
[02:27:31.800 --> 02:27:33.960]   the arrogance versus the expertise.
[02:27:33.960 --> 02:27:37.720]   So ultimately you have to have, I think,
[02:27:37.720 --> 02:27:41.080]   the greatest experts and masters I know
[02:27:41.080 --> 02:27:44.280]   are the ones that have complete humility.
[02:27:44.280 --> 02:27:45.800]   - Right, humility and gratitude.
[02:27:45.800 --> 02:27:47.240]   - And gratitude. - Leads us back.
[02:27:47.240 --> 02:27:49.400]   - Which is usually a really good sign
[02:27:49.400 --> 02:27:53.240]   that somebody is at the top of their field.
[02:27:53.240 --> 02:27:54.520]   - Right, and they'll acknowledge
[02:27:54.520 --> 02:27:55.600]   that they don't know everything.
[02:27:55.600 --> 02:27:57.320]   - Right, which is hilarious, right?
[02:27:57.320 --> 02:28:00.200]   So like the best experts I know
[02:28:00.200 --> 02:28:05.200]   are the ones that will say that they don't know.
[02:28:05.200 --> 02:28:06.400]   - Right. - They will not
[02:28:06.400 --> 02:28:08.080]   call themselves an expert.
[02:28:08.080 --> 02:28:09.200]   - Right, right.
[02:28:09.200 --> 02:28:11.040]   It's very confusing.
[02:28:11.040 --> 02:28:12.200]   - Or know that they know a lot
[02:28:12.200 --> 02:28:13.400]   but don't know the answer to this.
[02:28:13.400 --> 02:28:14.560]   You see that a lot in medicine.
[02:28:14.560 --> 02:28:16.640]   That person knows they're an expert surgeon,
[02:28:16.640 --> 02:28:18.440]   but they also acknowledge they don't know
[02:28:18.440 --> 02:28:20.200]   if this is the right time to operate.
[02:28:20.200 --> 02:28:21.720]   That's how you get to the best answer
[02:28:21.720 --> 02:28:23.200]   instead of someone who is an expert
[02:28:23.200 --> 02:28:24.520]   and always knows the answer.
[02:28:24.520 --> 02:28:27.000]   - Yeah, if we actually rewind
[02:28:27.000 --> 02:28:28.880]   to the beginning of our conversation,
[02:28:28.880 --> 02:28:31.520]   we talked about, you mentioned something
[02:28:31.520 --> 02:28:33.320]   I wanted to return to.
[02:28:33.320 --> 02:28:36.480]   So there's layers that are,
[02:28:36.480 --> 02:28:38.800]   there's an emergent novelty,
[02:28:38.800 --> 02:28:40.640]   and you mentioned that we as human beings,
[02:28:40.640 --> 02:28:43.920]   and we introspect on our own mind,
[02:28:43.920 --> 02:28:46.140]   we really can't know most of it.
[02:28:46.140 --> 02:28:50.080]   Which of course makes me think of this,
[02:28:50.080 --> 02:28:52.480]   the unconscious mind, subconscious mind,
[02:28:52.480 --> 02:28:55.520]   and Carl Jung, how much is hiding there in the shadows?
[02:28:55.800 --> 02:28:58.880]   You've investigated a lot of trauma.
[02:28:58.880 --> 02:29:00.800]   How much is there in our mind
[02:29:00.800 --> 02:29:03.440]   that's not directly accessible to us?
[02:29:03.440 --> 02:29:06.440]   Like what can you say maybe philosophically
[02:29:06.440 --> 02:29:11.440]   about how much is there lurking in the Jungian shadow?
[02:29:11.440 --> 02:29:15.800]   - I think there's a tremendous amount there,
[02:29:15.800 --> 02:29:18.960]   but I wouldn't, I don't immediately go
[02:29:18.960 --> 02:29:21.880]   to an ominous perspective, right?
[02:29:21.880 --> 02:29:23.360]   Because if it's lurking there, right,
[02:29:23.360 --> 02:29:24.640]   it can come get us, right?
[02:29:24.640 --> 02:29:26.720]   And to some extent, that's true, right?
[02:29:26.720 --> 02:29:28.280]   You can say that the seeds of evil are there
[02:29:28.280 --> 02:29:29.920]   if we want to plant and nurture them.
[02:29:29.920 --> 02:29:32.120]   - You think good things can't lurk?
[02:29:32.120 --> 02:29:32.960]   - I guess, I was--
[02:29:32.960 --> 02:29:34.800]   - I was being poetic.
[02:29:34.800 --> 02:29:35.880]   But you're right, you're absolutely right.
[02:29:35.880 --> 02:29:37.440]   And the Jungian shadow is supposed
[02:29:37.440 --> 02:29:38.600]   to not just be dark things,
[02:29:38.600 --> 02:29:39.440]   it's supposed to be everything.
[02:29:39.440 --> 02:29:42.040]   It's supposed to be a lot of positive things as well, yeah.
[02:29:42.040 --> 02:29:43.680]   - Right, which I think brings us
[02:29:43.680 --> 02:29:46.000]   to self-knowledge, to truth,
[02:29:46.000 --> 02:29:49.240]   where I think the opposite of envy,
[02:29:49.240 --> 02:29:53.480]   narcissism, sociopathy, I do think is all rooted in truth.
[02:29:53.480 --> 02:29:55.880]   It's both the truth of the good things about us
[02:29:55.880 --> 02:29:59.080]   or the ways we're not blameable,
[02:29:59.080 --> 02:30:01.200]   blameworthy for the things we're blaming ourselves for,
[02:30:01.200 --> 02:30:04.680]   et cetera, but the self-knowledge and the truth
[02:30:04.680 --> 02:30:08.400]   and getting away from the reflex of anger,
[02:30:08.400 --> 02:30:12.100]   frustration, envy, shame, what I think happens then
[02:30:12.100 --> 02:30:14.260]   is all of that underneath the surface.
[02:30:14.260 --> 02:30:16.800]   If we look at the consciousness as the top of the iceberg,
[02:30:16.800 --> 02:30:19.660]   you know, outside the top, outside the water,
[02:30:19.660 --> 02:30:22.240]   so is what's underneath shifting
[02:30:22.240 --> 02:30:24.120]   and it can pull the top under, right,
[02:30:24.120 --> 02:30:26.040]   or is it supporting the top?
[02:30:26.040 --> 02:30:30.200]   And really, I believe is honesty, truth,
[02:30:30.200 --> 02:30:32.080]   self-knowledge, humility, gratitude,
[02:30:32.080 --> 02:30:33.320]   all this simple stuff.
[02:30:33.320 --> 02:30:36.560]   Good mental health is always consistent with simplicity.
[02:30:36.560 --> 02:30:39.560]   You know, humility, gratitude are easy things to say.
[02:30:39.560 --> 02:30:41.240]   Like, we know what that is, right?
[02:30:41.240 --> 02:30:42.640]   We understand what that is.
[02:30:42.640 --> 02:30:46.360]   Soothing envy by having immense power
[02:30:46.360 --> 02:30:49.000]   and subjugating others is getting very, very complicated,
[02:30:49.000 --> 02:30:51.520]   right, what that is and how that plays out.
[02:30:51.520 --> 02:30:54.160]   So if we are in touch with ourselves,
[02:30:54.160 --> 02:30:57.240]   if we're honest with ourselves, if we own what's ours,
[02:30:57.240 --> 02:30:59.640]   we don't try and own what's not ours, right,
[02:30:59.640 --> 02:31:02.320]   what happens then is something isn't waiting inside of us
[02:31:02.320 --> 02:31:06.720]   to sort of jump us with some new fact of self
[02:31:06.720 --> 02:31:08.380]   or challenge of self, right?
[02:31:08.380 --> 02:31:10.760]   Then I think what happens are phenomena
[02:31:10.760 --> 02:31:13.440]   like intrinsic learning, like the way that so much happens
[02:31:13.440 --> 02:31:15.520]   inside of us automatically, right?
[02:31:15.520 --> 02:31:18.840]   How people who have high levels of expertise
[02:31:18.840 --> 02:31:23.760]   know the answer to complex questions more rapidly, right?
[02:31:23.760 --> 02:31:25.720]   It doesn't take them longer to think through it,
[02:31:25.720 --> 02:31:27.440]   but they have more knowledge to think through.
[02:31:27.440 --> 02:31:30.580]   It's that more happens rapidly and unconsciously,
[02:31:30.580 --> 02:31:33.300]   so they know the more complex answer
[02:31:33.300 --> 02:31:35.180]   more quickly and readily, right?
[02:31:35.180 --> 02:31:37.040]   And we can build that in ourselves,
[02:31:37.040 --> 02:31:39.440]   not just in terms of factual knowledge,
[02:31:39.440 --> 02:31:42.240]   but in terms of how we respond to things, right?
[02:31:42.240 --> 02:31:45.760]   If I make a mistake, do I respond with reflexive shame,
[02:31:45.760 --> 02:31:47.600]   right, if I see someone has something I'd like,
[02:31:47.600 --> 02:31:49.120]   how do I respond?
[02:31:49.120 --> 02:31:51.760]   We're more in accord with ourselves
[02:31:51.760 --> 02:31:56.440]   and then the automaticity in us is serving us better.
[02:31:56.440 --> 02:31:57.480]   - So that's in the positive.
[02:31:57.480 --> 02:31:59.320]   Do you think, do you draw some wisdom
[02:31:59.320 --> 02:32:03.780]   from the early pioneers of psychotherapy
[02:32:03.780 --> 02:32:05.800]   like Freud and Jung?
[02:32:05.800 --> 02:32:06.640]   - Yes.
[02:32:06.640 --> 02:32:07.600]   - That there's some repressed,
[02:32:07.600 --> 02:32:12.400]   there's some stuff to work through
[02:32:12.400 --> 02:32:15.720]   that is in the unconscious mind.
[02:32:15.720 --> 02:32:17.800]   - Yes, I think there's always,
[02:32:17.800 --> 02:32:21.400]   like 100% of the time, if you have a living human,
[02:32:21.400 --> 02:32:24.380]   you have things to work through in the unconscious mind,
[02:32:24.380 --> 02:32:26.520]   right, there's too much that goes on around us
[02:32:26.520 --> 02:32:30.160]   that we might find unacceptable and suppress, right?
[02:32:30.160 --> 02:32:33.760]   There can be smaller but important examples, right?
[02:32:33.760 --> 02:32:38.480]   Someone who feels that they're not a good enough parent
[02:32:38.480 --> 02:32:43.480]   and they, I don't know, they drop the child's plate, right,
[02:32:43.680 --> 02:32:48.680]   and there's a feeling about that of badness in them
[02:32:48.680 --> 02:32:53.440]   that the person can't tolerate and pushes away, right,
[02:32:53.440 --> 02:32:55.440]   and maybe they become a little bit less confident,
[02:32:55.440 --> 02:32:57.120]   a little bit less assertive.
[02:32:57.120 --> 02:32:59.640]   Those small examples are important
[02:32:59.640 --> 02:33:01.160]   because they may be low valence
[02:33:01.160 --> 02:33:04.200]   but there can be many, many, many, many, many of them, right?
[02:33:04.200 --> 02:33:06.160]   Then you can look at the opposite end of the spectrum
[02:33:06.160 --> 02:33:08.320]   where someone, for example, feels,
[02:33:08.320 --> 02:33:12.400]   or they're repressing their sexuality, right, unconsciously.
[02:33:12.400 --> 02:33:15.120]   Something that is so important,
[02:33:15.120 --> 02:33:16.880]   say, to how a person feels about themselves,
[02:33:16.880 --> 02:33:18.320]   to whether they can seek fulfillment,
[02:33:18.320 --> 02:33:20.800]   to how they feel about their ability to interact
[02:33:20.800 --> 02:33:23.000]   and engage with others in ways that are loving
[02:33:23.000 --> 02:33:24.760]   and generative over time.
[02:33:24.760 --> 02:33:29.400]   So from smaller things that accumulate often at rapid pace
[02:33:29.400 --> 02:33:30.840]   to really big things,
[02:33:30.840 --> 02:33:33.160]   we are pushing things into the unconscious
[02:33:33.160 --> 02:33:36.480]   because they're not acceptable and we need to explore,
[02:33:36.480 --> 02:33:37.960]   like, why is that not acceptable?
[02:33:37.960 --> 02:33:39.400]   Maybe there's an unacceptable urge
[02:33:39.400 --> 02:33:41.360]   'cause it's really not acceptable to me, right,
[02:33:41.360 --> 02:33:42.640]   like a violent urge.
[02:33:42.640 --> 02:33:44.700]   Maybe there's an unacceptable urge
[02:33:44.700 --> 02:33:47.160]   because I'm actually listening to the lies
[02:33:47.160 --> 02:33:49.040]   society is telling me about what's okay
[02:33:49.040 --> 02:33:50.460]   and what's not okay, right?
[02:33:50.460 --> 02:33:52.600]   So in exploring those things,
[02:33:52.600 --> 02:33:54.880]   yes, we become happier and healthier
[02:33:54.880 --> 02:33:57.920]   and that could mean if we're already happy and healthy,
[02:33:57.920 --> 02:34:01.160]   it gets better, we get more insulated against the negative,
[02:34:01.160 --> 02:34:03.600]   or it can mean the person who's really nurturing
[02:34:03.600 --> 02:34:06.480]   some of those seeds of evil and envy
[02:34:06.480 --> 02:34:08.800]   does that less or steps away from it.
[02:34:08.800 --> 02:34:10.360]   So whether it's good or it's bad,
[02:34:10.360 --> 02:34:12.360]   it's in there inside of us
[02:34:12.360 --> 02:34:15.160]   and we benefit from understanding
[02:34:15.160 --> 02:34:16.840]   that idea of the observing ego, right?
[02:34:16.840 --> 02:34:18.680]   Like you said, the part that can stop and say,
[02:34:18.680 --> 02:34:22.200]   hey, this is what's, I see what's going on in me.
[02:34:22.200 --> 02:34:25.280]   - What have you learned about exploring the human mind
[02:34:25.280 --> 02:34:27.440]   about the art of conversation?
[02:34:27.440 --> 02:34:29.480]   'Cause ultimately, therapy is conversation.
[02:34:29.480 --> 02:34:30.520]   - Yeah.
[02:34:30.520 --> 02:34:33.200]   - Is there something you can put into words?
[02:34:33.200 --> 02:34:34.040]   - Yeah.
[02:34:34.040 --> 02:34:37.320]   - Like what makes a good conversation?
[02:34:37.320 --> 02:34:41.600]   - I think language is among the most amazing gifts we have
[02:34:41.600 --> 02:34:45.320]   and it's also one of the most clunky routes
[02:34:45.320 --> 02:34:47.000]   to misunderstanding, right?
[02:34:47.000 --> 02:34:49.320]   I think of like, there's a concept of facticity,
[02:34:49.320 --> 02:34:51.800]   things that are like, I guess, unnecessary evils
[02:34:51.800 --> 02:34:52.920]   from the religious perspective,
[02:34:52.920 --> 02:34:54.480]   I think is where the word started,
[02:34:54.480 --> 02:34:57.360]   but of language being like a facticity, right?
[02:34:57.360 --> 02:34:59.540]   That we need to communicate with one another,
[02:34:59.540 --> 02:35:01.580]   we wanna communicate, so we develop words
[02:35:01.580 --> 02:35:03.680]   and we have these amazing brains that can have language
[02:35:03.680 --> 02:35:05.600]   and that's all well and good,
[02:35:05.600 --> 02:35:08.560]   but our fantasy would be more like Mr. Spock, right?
[02:35:08.560 --> 02:35:09.960]   You know, the Vulcan mind meld,
[02:35:09.960 --> 02:35:11.480]   where it's like, I communicate with you
[02:35:11.480 --> 02:35:12.800]   'cause we put our hands on one another
[02:35:12.800 --> 02:35:15.000]   and we know, you know, by doing this,
[02:35:15.000 --> 02:35:17.300]   what we're thinking and what we're feeling
[02:35:17.300 --> 02:35:19.500]   and we won't have misunderstanding.
[02:35:19.500 --> 02:35:22.440]   So because I think we can approximate that,
[02:35:22.440 --> 02:35:25.320]   we can come kind of close with language, right?
[02:35:25.320 --> 02:35:28.100]   Or we can be so far away from it
[02:35:28.100 --> 02:35:31.240]   that we can say the same word and of opposite meanings
[02:35:31.240 --> 02:35:33.960]   and have it generate immediate animosity, right?
[02:35:33.960 --> 02:35:37.320]   That we need to be very, very careful
[02:35:37.320 --> 02:35:40.240]   with language, with communication, with conversations.
[02:35:40.240 --> 02:35:43.240]   And I've come to understand that much, much more
[02:35:43.240 --> 02:35:46.440]   as I've gotten older, both in terms of how hurtful,
[02:35:46.440 --> 02:35:49.840]   you know, reckless speech is,
[02:35:49.840 --> 02:35:51.760]   which is why I'm horrified by so much
[02:35:51.760 --> 02:35:53.840]   of what we see in our political discourse, right?
[02:35:53.840 --> 02:35:57.200]   The slurs, the negativity that's attached to something,
[02:35:57.200 --> 02:36:00.160]   to some word, you know, how one can utter something
[02:36:00.160 --> 02:36:02.880]   and it can go into another person's just into the ear,
[02:36:02.880 --> 02:36:04.480]   but then goes through so many parts
[02:36:04.480 --> 02:36:05.460]   of the meaning of the brain
[02:36:05.460 --> 02:36:07.360]   that that person feels a pervasive sense
[02:36:07.360 --> 02:36:10.400]   of shame or beleagueredness, right?
[02:36:10.400 --> 02:36:14.960]   So yes, reckless language absolutely hurts people
[02:36:14.960 --> 02:36:16.780]   and we see that all the time in ways
[02:36:16.780 --> 02:36:18.520]   that I think are just atrocious.
[02:36:18.520 --> 02:36:22.480]   And also how bad miscommunication harms us.
[02:36:22.480 --> 02:36:24.400]   I mean, I really learned that through a lot
[02:36:24.400 --> 02:36:26.460]   of different ways, but in the work as a therapist
[02:36:26.460 --> 02:36:28.480]   of like really wanting to make sure
[02:36:28.480 --> 02:36:30.520]   that I'm really understanding you
[02:36:30.520 --> 02:36:32.440]   and you're really understanding me.
[02:36:32.440 --> 02:36:34.800]   And a lot of work goes into that communication.
[02:36:34.800 --> 02:36:36.400]   I think people, we can get into a rhythm of it
[02:36:36.400 --> 02:36:38.080]   and then it happens more easily,
[02:36:38.080 --> 02:36:42.320]   but I think it's a life and death difference at times,
[02:36:42.320 --> 02:36:45.040]   you know, lots of times, right, in the world around us
[02:36:45.040 --> 02:36:47.280]   between clear and accurate communication.
[02:36:47.280 --> 02:36:49.320]   Just so I said a word because I think you know what I mean,
[02:36:49.320 --> 02:36:50.960]   or something like that.
[02:36:50.960 --> 02:36:54.600]   - Yeah, so to that, I mean, there's the Camus quote
[02:36:54.600 --> 02:36:58.240]   that I like, "As much unhappiness has come into the world
[02:36:58.240 --> 02:37:00.360]   "because of things left unsaid."
[02:37:02.180 --> 02:37:05.060]   So that has to do with clear communication.
[02:37:05.060 --> 02:37:11.520]   But there's also a dance to a conversation,
[02:37:11.520 --> 02:37:15.200]   a poetry to it.
[02:37:15.200 --> 02:37:17.680]   There is ambiguity to language.
[02:37:17.680 --> 02:37:20.560]   And if you have a kind of awareness of that ambiguity
[02:37:20.560 --> 02:37:23.440]   and you play with it, that's where wit and humor come in.
[02:37:23.440 --> 02:37:27.600]   That allows you to sneak up to difficult topics
[02:37:27.600 --> 02:37:30.400]   without sort of trampling on them.
[02:37:30.400 --> 02:37:34.120]   I don't know, there's an art to it as well.
[02:37:34.120 --> 02:37:36.320]   There's an art to the silence, you know?
[02:37:36.320 --> 02:37:40.260]   Just allowing both human beings,
[02:37:40.260 --> 02:37:41.840]   one of the most intimate things you can share
[02:37:41.840 --> 02:37:43.440]   with a human being is silence.
[02:37:43.440 --> 02:37:45.440]   - Yeah, that's communication.
[02:37:45.440 --> 02:37:46.720]   It's a different communication,
[02:37:46.720 --> 02:37:48.800]   but at times more powerful.
[02:37:48.800 --> 02:37:53.260]   - Yeah, giving a person space to accumulate,
[02:37:53.260 --> 02:37:55.960]   to integrate, to make sense of their thoughts,
[02:37:55.960 --> 02:37:57.440]   enough to say a word.
[02:37:57.440 --> 02:37:59.620]   Maybe a memory sparks so they can think
[02:37:59.620 --> 02:38:03.200]   about that memory and process that memory.
[02:38:03.200 --> 02:38:04.520]   - So it's not just words, right?
[02:38:04.520 --> 02:38:05.400]   It's not just words, right?
[02:38:05.400 --> 02:38:06.680]   'Cause now you're talking about communication
[02:38:06.680 --> 02:38:11.040]   as it's body language, it's expressions of empathy,
[02:38:11.040 --> 02:38:13.320]   it's movements, it's pauses, right?
[02:38:13.320 --> 02:38:15.760]   The communication process is very,
[02:38:15.760 --> 02:38:18.640]   very complicated and deep.
[02:38:18.640 --> 02:38:20.760]   - Yeah, and some of that is building trust,
[02:38:20.760 --> 02:38:22.880]   but also challenging a person.
[02:38:22.880 --> 02:38:25.760]   I wonder about that whole process with strangers,
[02:38:25.760 --> 02:38:29.480]   for example, of how you do that successfully.
[02:38:29.480 --> 02:38:31.640]   Like you and I just met today,
[02:38:31.640 --> 02:38:37.240]   but I think a lot of our interaction is very free.
[02:38:37.240 --> 02:38:39.760]   We can get to know each other in any way we want.
[02:38:39.760 --> 02:38:43.400]   There's a few conversations I have coming up in general
[02:38:43.400 --> 02:38:45.620]   where there's a lot of other pressures and constraints
[02:38:45.620 --> 02:38:46.640]   on those conversations.
[02:38:46.640 --> 02:38:49.760]   There's a danger to it, there's risks,
[02:38:49.760 --> 02:38:51.600]   there's political forces involved.
[02:38:51.600 --> 02:38:56.180]   Not from my perspective, but probably from mine as well,
[02:38:56.180 --> 02:38:58.140]   of how do you say this thing?
[02:38:58.140 --> 02:39:00.480]   What are the words that are going to offend?
[02:39:00.480 --> 02:39:03.720]   And you're learning that about a stranger at the same time.
[02:39:03.720 --> 02:39:10.800]   It's an interesting dance because you have to walk
[02:39:10.800 --> 02:39:12.680]   carefully but deliberately, right?
[02:39:12.680 --> 02:39:17.120]   Carefully because I've learned this about myself,
[02:39:17.120 --> 02:39:20.080]   about others, there's certain words
[02:39:20.080 --> 02:39:21.560]   that can trigger a person,
[02:39:21.560 --> 02:39:25.520]   that can make a person feel poorly,
[02:39:25.520 --> 02:39:28.080]   like shitty about themselves.
[02:39:28.080 --> 02:39:33.300]   So you can push, you can challenge a person about something
[02:39:33.300 --> 02:39:34.740]   and they're totally okay with it,
[02:39:34.740 --> 02:39:36.700]   but if you use a certain word to do it,
[02:39:36.700 --> 02:39:40.200]   maybe it maps to some childhood thing
[02:39:40.200 --> 02:39:41.620]   that their father or mother used to say
[02:39:41.620 --> 02:39:42.820]   or something like this.
[02:39:42.820 --> 02:39:46.980]   Part of the art of conversation is actually
[02:39:46.980 --> 02:39:50.060]   being a little bit free in using those words,
[02:39:50.060 --> 02:39:53.020]   but being extremely sensitive in detecting
[02:39:53.020 --> 02:39:55.520]   when a person reacts to a particular word
[02:39:55.520 --> 02:39:57.520]   and storing that away.
[02:39:57.520 --> 02:40:01.520]   It's like, okay, we might want to return to that later
[02:40:01.520 --> 02:40:03.160]   'cause there might be an interesting,
[02:40:03.160 --> 02:40:04.400]   that could be a tip of an iceberg
[02:40:04.400 --> 02:40:06.560]   that's actually representing something beautiful.
[02:40:06.560 --> 02:40:09.720]   Or you might want to just, it's a nothing word
[02:40:09.720 --> 02:40:12.640]   that you just want to avoid because it's a distraction.
[02:40:12.640 --> 02:40:15.040]   And so all of that kind of has to be integrated
[02:40:15.040 --> 02:40:16.240]   into the dance of language.
[02:40:16.240 --> 02:40:17.520]   This is really interesting,
[02:40:17.520 --> 02:40:19.080]   especially when the stakes are really high.
[02:40:19.080 --> 02:40:20.580]   When you get one conversation,
[02:40:22.120 --> 02:40:24.300]   when you sit down, you have one conversation,
[02:40:24.300 --> 02:40:27.260]   and it makes the difference between,
[02:40:27.260 --> 02:40:29.220]   say you had one conversation with a patient.
[02:40:29.220 --> 02:40:31.380]   This is the only conversation you get to help them.
[02:40:31.380 --> 02:40:33.980]   - Sometimes it is the case, yeah.
[02:40:33.980 --> 02:40:35.660]   - This is pretty high stakes.
[02:40:35.660 --> 02:40:37.460]   - Yeah. - Oh, man.
[02:40:37.460 --> 02:40:39.700]   Yeah, it's tough.
[02:40:39.700 --> 02:40:40.820]   I guess you get over,
[02:40:40.820 --> 02:40:45.540]   and over time, I guess you get used
[02:40:45.540 --> 02:40:48.300]   to the high stakes nature of it.
[02:40:48.300 --> 02:40:49.780]   - When you develop an ability.
[02:40:49.780 --> 02:40:51.700]   With all that unconscious processing, right?
[02:40:51.700 --> 02:40:52.600]   - Right, right.
[02:40:52.600 --> 02:40:55.140]   All that part of the iceberg that's underneath the surface
[02:40:55.140 --> 02:40:56.240]   is doing all of that, right?
[02:40:56.240 --> 02:40:59.000]   It's reading behavioral cues, verbal cues,
[02:40:59.000 --> 02:41:03.720]   and recognizing the primacy of emotion over logic, right?
[02:41:03.720 --> 02:41:05.760]   If it were all logic, it'd be different.
[02:41:05.760 --> 02:41:06.860]   Okay, we're gonna talk about this thing.
[02:41:06.860 --> 02:41:08.360]   I'll say things, you say things back,
[02:41:08.360 --> 02:41:10.520]   even if it's politically contentious, say.
[02:41:10.520 --> 02:41:12.040]   So, okay, we're just gonna talk logically.
[02:41:12.040 --> 02:41:13.840]   But you know, that's not the case, right?
[02:41:13.840 --> 02:41:17.360]   There could be a word that raises a certain emotion,
[02:41:17.360 --> 02:41:18.800]   and you know you don't want to tread there
[02:41:18.800 --> 02:41:20.280]   because the emotion will color
[02:41:20.280 --> 02:41:22.380]   the person's ability to engage.
[02:41:22.380 --> 02:41:24.580]   So, you're aware of all of this.
[02:41:24.580 --> 02:41:27.260]   And then I think from the perspective of all of that,
[02:41:27.260 --> 02:41:29.420]   I mean, it's like standing on the shoulders
[02:41:29.420 --> 02:41:31.620]   of your own internal giant, right?
[02:41:31.620 --> 02:41:34.940]   That understands language and emotions
[02:41:34.940 --> 02:41:36.900]   and body language and attunement
[02:41:36.900 --> 02:41:40.020]   and history and triggering and all of that.
[02:41:40.020 --> 02:41:41.860]   And then on top of that,
[02:41:41.860 --> 02:41:43.260]   as you're standing up on those shoulders,
[02:41:43.260 --> 02:41:45.460]   you're trying to be effective, right?
[02:41:45.460 --> 02:41:48.280]   And then I think that's where effectiveness
[02:41:48.280 --> 02:41:51.140]   can be unilateral or it can be together.
[02:41:51.140 --> 02:41:53.660]   I mean, I think some of what emerged
[02:41:53.660 --> 02:41:56.260]   from Viktor Frankl's writing after the Second World War
[02:41:56.260 --> 02:42:00.260]   was how much a shared humanness means to us,
[02:42:00.260 --> 02:42:02.820]   how much of that can be an incentive
[02:42:02.820 --> 02:42:05.420]   for survival beyond all others, right?
[02:42:05.420 --> 02:42:07.940]   So, the idea of are we doing something,
[02:42:07.940 --> 02:42:09.540]   if we're communicating unilateral,
[02:42:09.540 --> 02:42:12.500]   like I want information from you
[02:42:12.500 --> 02:42:14.580]   or I want you to do a certain thing
[02:42:14.580 --> 02:42:16.260]   when we're done talking, right?
[02:42:16.260 --> 02:42:17.860]   Right, done communicating.
[02:42:17.860 --> 02:42:20.760]   That's a very unilateral type of effectiveness,
[02:42:20.760 --> 02:42:21.760]   which can make sense.
[02:42:21.760 --> 02:42:23.440]   Sometimes I want information out of a patient
[02:42:23.440 --> 02:42:25.040]   because I wanna know what to do next, right?
[02:42:25.040 --> 02:42:26.920]   So, it doesn't have to always be negative,
[02:42:26.920 --> 02:42:29.360]   but it can also be a tool of manipulation, right?
[02:42:29.360 --> 02:42:31.840]   If someone would say coming from envy or narcissism,
[02:42:31.840 --> 02:42:33.680]   I wanna communicate with you in a way
[02:42:33.680 --> 02:42:36.000]   that makes you do what I want you to do, right?
[02:42:36.000 --> 02:42:39.540]   Different from that is where it's a shared communication,
[02:42:39.540 --> 02:42:42.680]   where there's like an umbrella, so to speak, over us
[02:42:42.680 --> 02:42:46.040]   and we're doing something that can only happen together
[02:42:46.040 --> 02:42:48.380]   because we're us, we're each person, right?
[02:42:48.380 --> 02:42:50.360]   And we come together to do something
[02:42:50.360 --> 02:42:51.880]   that's a shared effectiveness.
[02:42:51.880 --> 02:42:54.520]   Like I think we're doing now of like elucidating
[02:42:54.520 --> 02:42:57.360]   and pursuing thoughts and getting ideas out.
[02:42:57.360 --> 02:42:59.400]   And I think the best situations
[02:42:59.400 --> 02:43:01.240]   are shared effectiveness situations
[02:43:01.240 --> 02:43:03.200]   'cause you call upon the resourcefulness
[02:43:03.200 --> 02:43:05.960]   and the internal resources of both people.
[02:43:05.960 --> 02:43:09.320]   - But you, especially with strangers,
[02:43:09.320 --> 02:43:12.060]   especially when it's not labeled a therapy session,
[02:43:13.400 --> 02:43:18.400]   you kind of actually stumble into that cooperative state.
[02:43:18.400 --> 02:43:23.720]   Like you have to organically develop a trust together
[02:43:23.720 --> 02:43:30.400]   and almost lose yourself.
